Rank,Gymnast,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Total
,Kōhei Uchimura (JPN),15.766,15.133,15.0,15.633,15.2,15.233,91.965
,Max Whitlock (GBR),15.466,16.0,14.466,15.366,14.975,14.2,90.473
,Yusuke Tanaka (JPN),15.2,14.2,14.733,14.933,15.883,15.5,90.449
4.0,Oleg Verniaiev (UKR),14.833,15.233,14.333,15.4,16.033,14.466,90.298
5.0,David Belyavskiy (RUS),15.133,15.133,14.7,15.033,15.366,14.4,89.765
6.0,Deng Shudi (CHN),15.3,13.833,14.866,15.2,15.7,14.833,89.732
7.0,Sérgio Sasaki (BRA),14.966,14.633,14.8,15.2,14.9,15.066,89.565
8.0,Fabian Hambüchen (GER),14.966,13.466,14.533,15.066,15.433,15.1,88.564
9.0,Nikolai Kuksenkov (RUS),14.766,14.8,14.666,14.6,15.108,14.466,88.406
10.0,Jossimar Calvo (COL),14.2,14.566,14.4,14.266,15.6,15.233,88.265
11.0,Daniel Purvis (GBR),15.133,14.633,14.0,14.733,15.1,14.1,87.699
12.0,Sam Mikulak (USA),15.3,14.8,14.8,14.633,13.4,14.658,87.591
13.0,Cheng Ran (CHN),15.3,13.666,14.683,14.133,15.233,14.566,87.581
14.0,Andrey Likhovitskiy (BLR),14.466,15.333,13.8,14.433,14.933,14.433,87.398
15.0,Petro Pakhnyuk (AZE),14.433,14.366,13.966,14.966,15.375,13.933,87.039
16.0,Andreas Toba (GER),14.466,14.166,14.633,14.333,14.333,14.333,86.264
17.0,Donnell Whittenburg (USA),15.1,13.783,15.266,13.7,14.533,13.866,86.248
18.0,Oliver Hegi (SUI),14.0,14.433,13.933,14.4,15.133,13.333,85.232
19.0,Cristian Bățagă (ROU),14.566,14.1,14.466,14.566,14.133,13.366,85.197
20.0,Cyril Tommasone (FRA),14.366,15.666,13.7,14.166,13.266,13.466,84.63
21.0,Arthur Oyakawa Mariano (BRA),15.208,13.3,14.0,15.0,14.1,12.566,84.174
22.0,Lee Hyeok-jung (KOR),14.366,13.0,13.433,14.366,14.233,13.766,83.164
23.0,Ferhat Arıcan (TUR),12.566,14.133,13.666,14.366,14.2,13.533,82.464
24.0,Ludovico Edalli (ITA),13.666,13.7,13.533,14.266,13.133,13.966,82.264
