Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA
1,Kazuma Kaya,Japan,14.8,14.8,14.3,14,14.45,14.25,86.6
2,Kakeru Tanigawa,Japan,14.725,13.05,13.95,13.6,14.95,14.625,84.9
3,Wataru Tanigawa,Japan,14.35,12.45,14.45,14.4,14.45,14.3,84.4
4,Lee Chih-Kai,Chinese Taipei,13.85,15.15,13.3,14.7,14.4,12.4,83.8
5,Kirill Prokopev,Russia,15.1,13,13.6,14.5,13,13.65,82.85
6,Ivan Stretovich,Russia,13.85,12.35,13.45,14.4,14.4,14.25,82.7
7,Andrea Russo,Italy,14.05,13.05,13.975,13.65,14,13.7,82.425
8,Milad Karimi,Kazakhstan,14.55,13.1,13.05,13.1,14.15,14.25,82.2
9,Lee Jung-hyo,South Korea,13.7,13.65,13.85,14.2,13.9,12.35,81.65
10,Stefano Patron,Italy,13.4,13.65,13.2,13.95,14.05,13.3,81.55
11,Kim Han-sol,South Korea,14.25,12.45,13.6,14.75,13.25,12.85,81.15
12,Marco Walter,Switzerland,14.25,12.75,13.25,14.5,13.5,12.875,81.125
13,Luis Porto,Brazil,13.5,13,13.5,14.35,13.4,12.6,80.35
14,Ivan Tikhonov,Azerbaijan,13.85,13.15,13.4,13.75,13.9,12.05,80.1
15,Vladyslav Hryko,Ukraine,12.275,13.25,13.8,13.7,13.25,13.45,79.725
16,Antoine Borello,France,13.8,12.25,12.95,12.5,14,13.85,79.35
17,Killian Mermet,France,13.5,12.8,12.45,13.9,13.7,13,79.35
18,Martino Morosi,Switzerland,13.6,11.975,13.1,13.9,12.75,13.55,78.875
19,Lee Seung-min,South Korea,13.35,13.2,12.8,12.8,13.6,13.05,78.8
20,Michael Tone,Australia,12.85,13.95,13.45,13.1,13,12.35,78.7
21,Marco Sarrugerio,Italy,13.2,11.7,14.05,12.45,14.1,13.15,78.65
22,Vinzenz Höck,Austria,12.5,11.7,14.45,13.9,13,13.1,78.65
23,Hsu Ping-Chien,Chinese Taipei,12.8,12.3,13.05,14.1,12.85,13.35,78.45
24,Bernardo Almeida,Portugal,13.15,12.5,12.6,13.3,13.15,13.2,77.9
25,Maxime Gentges,Belgium,13.55,10.425,13.4,13.2,13.55,13.35,77.475
26,Fabian de Luna,Mexico,12.35,11.35,13.9,14.2,13.3,12.25,77.35
27,Alexander Benda,Austria,12.9,12,12.2,13.65,13.25,13.3,77.3
28,Justin Pesesse,Belgium,12.85,11,13.15,14.25,12.85,13.15,77.25
29,Jeremy Bartholomeusz,Canada,13.05,13.35,12.8,13.9,10.9,13.125,77.125
30,Tom Nicolaou,Cyprus,13.4,12.2,13.1,14.1,11.9,11.9,76.6
31,Julian Jato,Argentina,12.8,11.6,12.8,12.9,13.5,12.65,76.25
32,Roland Modoianu,Romania,12.35,12.2,12.3,13.3,12.65,12.25,75.05
33,Heath Thorpe,Australia,12.85,11.4,11.5,14.1,12.1,12.85,74.8
34,Eduard Yermakov,Ukraine,11.3,10.95,13.875,12.7,13.35,12,74.175
35,Franz Card,Finland,11.5,11.05,12.55,12.8,12.9,13.2,74
36,Hudson Irwin,Australia,12.3,11.45,12.2,12.15,12.4,12.5,73
37,Ivo Chiapponi,Argentina,12.9,10.55,12.2,12.45,11.85,12.3,72.25
38,Sviataslau Dranitski,Belarus,11.45,11.3,12.7,13.55,10.4,11.95,71.35
39,Guilherme Campos,Portugal,10.2,10.5,12.65,13.7,11.55,12.15,70.75
40,Antoine Pochon,France,0,12.7,13.15,13.2,12.8,13.075,0
40,Abdulla Azimov,Uzbekistan,13.4,14.15,12.9,0,11.55,0,0
40,Ilya Kibartas,Russia,12.75,13.15,13.6,0,0,0,0
40,Yahor Sharamkou,Belarus,12.8,11.35,0,14.3,0,0,0
40,Rasuljon Abdurakhimov,Uzbekistan,0,12.6,12.5,0,11.85,0,0
