Rank,Athlete,Nation,D,E,ND,Total
1,Ibrahim Colak,Turkey,6.2,8.65,,14.85
2,Artur Avetisyan,Armenia,5.9,8.85,,14.75
3,Vinzenz Höck,Austria,5.9,8.55,,14.45
4,Wataru Tanigawa,Japan,6,8.45,,14.45
5,Alexander Diab,United States,5.8,8.55,,14.35
6,Kazuma Kaya,Japan,6.1,8.2,,14.3
7,Tang Chia-Hung,Chinese Taipei,5.5,8.75,,14.25
8,Ahmet Önder,Turkey,6,8.25,,14.25
9,Marco Sarrugerio,Italy,5.5,8.55,,14.05
10,Andrea Russo,Italy,5.5,8.475,,13.975
11,Kakeru Tanigawa,Japan,5.4,8.55,,13.95
12,Fabian de Luna,Mexico,5.8,8.1,,13.9
13,Eduard Yermakov,Ukraine,5.5,8.375,,13.875
14,Lee Jung-hyo,South Korea,5.6,8.25,,13.85
15,Vladyslav Hryko,Ukraine,5.5,8.3,,13.8
16,Kirill Prokopev,Russia,5,8.6,,13.6
17,Kim Han-sol,South Korea,5.5,8.1,,13.6
18,Ilya Kibartas,Russia,6.2,7.4,,13.6
19,Luis Porto,Brazil,4.5,9,,13.5
20,Ivan Stretovich,Russia,4.9,8.55,,13.45
21,Michael Tone,Australia,5.3,8.15,,13.45
22,Maxime Gentges,Belgium,4.9,8.5,,13.4
23,Ivan Tikhonov,Azerbaijan,5.3,8.1,,13.4
24,Joonas Kukkonen,Finland,5.4,8,,13.4
25,Lee Chih-Kai,Chinese Taipei,5.3,8,,13.3
26,Marco Walter,Switzerland,4.8,8.45,,13.25
27,Fellipe Ferreira,Brazil,5,8.25,,13.25
28,Stefano Patron,Italy,4.8,8.4,,13.2
29,Antoine Pochon,France,4.2,8.95,,13.15
30,Justin Pesesse,Belgium,4.7,8.45,,13.15
31,Damien Cachia,Canada,5.7,7.45,,13.15
32,Martino Morosi,Switzerland,4.2,8.9,,13.1
33,Tom Nicolaou,Cyprus,4.4,8.7,,13.1
34,Hsu Ping-Chien,Chinese Taipei,4.5,8.55,,13.05
35,Milad Karimi,Kazakhstan,4.6,8.45,,13.05
36,Antoine Borello,France,4.6,8.35,,12.95
37,Abdulla Azimov,Uzbekistan,4.3,8.6,,12.9
38,Jeremy Bartholomeusz,Canada,4.3,8.5,,12.8
39,Julian Jato,Argentina,4.4,8.4,,12.8
40,Lee Seung-min,South Korea,4.8,8,,12.8
41,Sviataslau Dranitski,Belarus,4.7,8,,12.7
42,Guilherme Campos,Portugal,3.9,8.75,,12.65
43,Bernardo Almeida,Portugal,5.1,7.5,,12.6
44,Franz Card,Finland,4.2,8.35,,12.55
45,Rasuljon Abdurakhimov,Uzbekistan,3.6,8.9,,12.5
46,Luka Bojanc,Slovenia,4.3,8.2,,12.5
47,Killian Mermet,France,4.7,7.75,,12.45
48,Roland Modoianu,Romania,5.1,7.2,,12.3
49,Alexander Benda,Austria,3.8,8.4,,12.2
50,Ivo Chiapponi,Argentina,4.1,8.1,,12.2
51,Hudson Irwin,Australia,4.2,8,,12.2
52,Robert Ghiuzan,Romania,5.1,7,,12.1
53,Nikolai Rønbeck,Norway,3.8,8.2,,12
54,Batuhan Yazici,New Zealand,4.2,7.6,,11.8
55,Heath Thorpe,Australia,4.1,7.4,,11.5
