Rank,Athlete,Club,D,E,ND,Score,Total
1,Colin Van Wicklen,Oklahoma,5.6,8.35,,13.95,27.6
1,Colin Van Wicklen,Oklahoma,5.6,8.05,,13.65,27.6
2,Sam Mikulak,USOPTC,6,8.35,,14.35,27.55
2,Sam Mikulak,USOPTC,6.3,6.9,,13.2,27.55
3,Paul Juda,Michigan,5,8.65,,13.65,27.5
3,Paul Juda,Michigan,5,8.85,,13.85,27.5
4,Marvin Kimble,Salto,6.1,7.45,,13.55,27.4
4,Marvin Kimble,Salto,6.3,7.55,,13.85,27.4
5,Grant Breckenridge,Stanford,5.6,8.5,,14.1,27
5,Grant Breckenridge,Stanford,5.9,7,,12.9,27
6,Ian Gunther,Stanford,4.9,8.3,,13.2,26.65
6,Ian Gunther,Stanford,4.9,8.55,,13.45,26.65
7,Shane Wiskus,Minnesota,5.7,7.95,,13.65,26.6
7,Shane Wiskus,Minnesota,5.9,7.05,,12.95,26.6
8,Nicolas Kuebler,Metropolitan,4.2,9.3,,13.5,26.55
8,Nicolas Kuebler,Metropolitan,4.2,8.85,,13.05,26.55
8,Gage Dyer,Oklahoma,5.2,8.2,,13.4,26.55
8,Gage Dyer,Oklahoma,5.2,7.95,,13.15,26.55
10,Isaiah Drake,Gym Olympica,4.7,8.65,,13.35,26.5
10,Isaiah Drake,Gym Olympica,4.4,8.75,,13.15,26.5
11,Allan Bower,Oklahoma,5.3,8.15,,13.45,26.3
11,Allan Bower,Oklahoma,5.5,7.35,,12.85,26.3
12,Robert Neff,USOPTC,6,7,,13,25.55
12,Robert Neff,USOPTC,6,6.55,,25.55,25.55
13,Colt Walker,AcroTex,4.4,8.35,,12.75,25.4
13,Colt Walker,AcroTex,4.4,8.25,,12.65,25.4
14,Akash Modi,Stanford,6,7.15,,13.15,25.2
14,Akash Modi,Stanford,5.6,6.45,,12.05,25.2
15,Yul Moldauer,Oklahoma,4.7,7.3,,12,25.1
15,Yul Moldauer,Oklahoma,5.4,7.7,,13.1,25.1
16,Kiwan Watts,Arizona State,4.8,6.6,,11.4,25
16,Kiwan Watts,Arizona State,5.1,8.5,,13.6,25
16,Genki Suzuki,Oklahoma,4.9,6.75,,11.65,25
16,Genki Suzuki,Oklahoma,5.6,7.75,,13.35,25
18,Matt Wenske,Oklahoma,5,7.2,,12.2,24.7
18,Matt Wenske,Oklahoma,5,7.5,,12.5,24.7
19,Alex Diab,Illinois,5.1,7.4,,12.5,24.6
19,Alex Diab,Illinois,4.8,7.3,,12.1,24.6
20,Cameron Bock,Michigan,4.9,7.55,,12.45,24.35
20,Cameron Bock,Michigan,5.2,6.7,,11.9,24.35
