Rank,Athlete,Club,FX,PH,SR,VT,PB,HB,AA
1,Sam Mikulak,USOPTC,14.6,14.5,13.85,14.15,15.35,14.35,86.8
2,Shane Wiskus,Minnesota,14.2,13.4,14.35,14.45,14.5,13.65,84.55
3,Brody Malone,Stanford,13.7,13.95,13.8,14.4,14.6,13.5,83.95
4,Grant Breckenridge,Stanford,13.85,13.35,13.9,14.1,14.6,14.1,83.9
5,Yul Moldauer,Oklahoma,13.85,14.2,13.9,14.3,14.1,12,82.35
5,Allan Bower,Oklahoma,13.25,14.55,13.8,13.75,13.55,13.45,82.35
7,Colin Van Wicklen,Oklahoma,13.9,12.3,14.15,13.7,13.7,13.95,81.7
8,Paul Juda,Michigan,13.85,12.65,13.6,14.3,13.6,13.65,81.65
9,Isaiah Drake,Gym Olympica,13.65,13.4,13.5,13.95,13.7,13.35,81.55
10,Robert Neff,USOPTC,13.2,14.15,13.15,14.1,13.9,13,81.5
10,Ian Gunther,Stanford,13.3,13.8,14,13.55,13.65,13.2,81.5
12,Gage Dyer,Oklahoma,14.4,12.75,12.7,14.2,13.85,13.4,81.3
13,Sean Melton,Ohio State,13.25,13.5,14.4,13.85,14.1,12.15,81.25
13,Cameron Bock,Michigan,14.35,13.05,14.05,13.5,13.85,12.45,81.25
15,Akash Modi,Stanford,13.9,13.1,12.8,14.15,14.05,13.15,81.15
16,Brandon Briones,Stanford,13.75,13.3,13.05,14.3,13.55,13.1,81.05
17,Nicolas Kuebler,Metropolitan,13.9,13.9,13.1,13.65,12.95,13.5,81
18,Riley Loos,Stanford,13.75,13.3,14.15,14.15,12.45,12.6,80.4
19,Colt Walker,AcroTex,13.1,13.1,13,14.25,13.7,12.75,79.9
20,Matt Wenske,Oklahoma,13.45,13.05,13.65,14.05,13.2,12.2,79.6
21,Genki Suzuki,Oklahoma,13.8,13.85,13.5,13.5,12.5,11.65,78.8
21,Timothy Wang,Air Force,14,12.6,13.1,13.45,13.05,12.6,78.8
23,Donothan Bailey,USOPTC,13.6,13,13.35,14,12.45,12.3,78.7
24,Marvin Kimble,Salto,11.5,14.05,14.2,13.7,11.45,13.55,78.45
25,Garrett Braunton,Cypress,12.45,12.7,13.15,13.75,12.75,13.3,78.1
26,Michael Moran,Minnesota,13.95,12.75,12.25,14.1,12.45,12.45,77.95
27,Bennet Huang,Iowa,13.75,12.2,12.2,13.7,13.1,12.95,77.9
28,Jack Freeman,Oklahoma,13.35,11.7,13.35,13.4,12.9,12.15,76.85
29,Taylor Burkhart,5280 Gymnastics,12.95,13.4,12.45,13.85,13.65,10.1,76.4
30,Kiwan Watts,Arizona State,12.05,11.85,12.75,13.75,13.85,11.4,75.65
31,Mathew Davis,Army,12.65,12.35,12.65,13.3,12.25,12.1,75.3
32,Anthony Mills,Arizona State,12.2,12.15,12,13.15,12.85,12.4,74.75
33,Alexei Vernyi,Oklahoma,13.15,12.25,11.8,13.35,11.95,12.2,74.7
34,Brennan Pantazis,Penn State,12.8,11.25,12.05,13.45,12.6,10.9,73.05
35,Benjamin Bloom,Washington,12.5,12.5,11.45,13,11.9,11.35,72.7
36,Eddie Penev,USOPTC,13.9,12,0,14.25,12.25,11.9,64.3
37,Adrian De Los Angeles,USOPTC,14.05,10.8,0,13.6,12.65,12.75,63.85
38,Jordan Kovach,Illinois,0,12.45,12.7,12.1,11.8,12.15,61.2
39,Alex Diab,Illinois,13.4,0,14.6,13.7,0,12.5,54.2
40,Alec Yoder,Ohio State,0,14.7,0,0,0,0,14.7
41,Frankie Valentin,Air Force,0,12.7,0,0,0,0,12.7
