Rank,Athlete,Club,D,E,ND,Score,Total
1,Sam Mikulak,USOPTC,6.4,8.59,,15.35,29.4
1,Sam Mikulak,USOPTC,6.5,7.55,,14.05,29.4
2,Grant Breckenridge,Stanford,5.4,9.2,,14.6,29.05
2,Grant Breckenridge,Stanford,5.7,8.75,,14.45,29.05
3,Yul Moldauer,Oklahoma,6.1,8,,14.1,28.2
3,Yul Moldauer,Oklahoma,5.9,8.2,,14.1,28.2
4,Akash Modi,Stanford,6.1,7.95,,14.05,27.95
4,Akash Modi,Stanford,6.1,7.8,,13.9,27.95
5,Robert Neff,USOPTC,5.8,8.1,,13.9,27.5
5,Robert Neff,USOPTC,5.8,7.8,,13.6,27.5
6,Colin Van Wicklen,Oklahoma,5.7,8,,13.7,27.1
6,Colin Van Wicklen,Oklahoma,5.7,7.7,,13.4,27.1
7,Colt Walker,AcroTex,5.6,8.1,,13.7,27.05
7,Colt Walker,AcroTex,5.5,7.85,,13.35,27.05
7,Gage Dyer,Oklahoma,5.3,8.55,,13.85,27.05
7,Gage Dyer,Oklahoma,5.3,7.9,,13.2,27.05
9,Ian Gunther,Stanford,5.5,8.15,,13.65,27
9,Ian Gunther,Stanford,5.5,7.85,,13.35,27
10,Kiwan Watts,Arizona State,5.6,8.25,,13.85,26.9
10,Kiwan Watts,Arizona State,5.2,7.85,,13.05,26.9
10,Isaiah Drake,Gym Olympica,5.3,8.4,,13.7,26.9
10,Isaiah Drake,Gym Olympica,5.2,8,,13.2,26.9
12,Paul Juda,Michigan,5.4,8.2,,13.6,26.8
12,Paul Juda,Michigan,5.4,7.8,,26.8,26.8
13,Cameron Bock,Michigan,5.7,8.15,,13.85,26.75
13,Cameron Bock,Michigan,5.7,7.2,,12.9,26.75
14,Sean Melton,Ohio State,6,8.1,,14.1,26.55
14,Sean Melton,Ohio State,6,6.45,,12.45,26.55
15,Timothy Wang,Air Force,5.9,7.15,,13.05,26.2
15,Timothy Wang,Air Force,5.9,7.25,,13.15,26.2
16,Adrian De Los Angeles,USOPTC,5.6,7.05,,12.65,25.5
16,Adrian De Los Angeles,USOPTC,5.7,7.15,,12.85,25.5
17,Nicolas Kuebler,Metropolitan,5,7.95,,12.95,24.5
17,Nicolas Kuebler,Metropolitan,4.5,7.05,,11.55,24.5
18,Michael Moran,Minnesota,4.7,7.75,,12.45,24.4
18,Michael Moran,Minnesota,4.7,7.25,,11.95,24.4
