Rank,Athlete,Club,D,E,ND,Score,D,E,ND,Score,Total
1,Yul Moldauer,Oklahoma,5.2,9.1,,14.3,5.2,9.3,,14.5,28.8
2,Eddie Penev,USOPTC,5.4,8.85,,14.25,5.2,9.3,,14.5,28.75
2,Shane Wiskus,Minnesota,5.2,9.25,,14.45,5.2,9.1,,14.3,28.75
4,Colt Walker,AcroTex,5.2,9.05,,14.25,5.2,9.2,,14.4,28.65
4,Gage Dyer,Oklahoma,5.6,8.6,,14.2,5.6,8.95,-0.1,14.45,28.65
6,Robert Neff,USOPTC,5.2,9,-0.1,14.1,5.2,9.2,,14.4,28.5
7,Colin Van Wicklen,Oklahoma,5.6,8.1,,13.7,5.6,9.15,,14.75,28.45
8,Akash Modi,Stanford,5.2,8.95,,14.15,5.2,9.05,,14.25,28.4
8,Marvin Kimble,Salto,5.6,8.1,,13.7,5.6,9.1,,14.7,28.4
10,Isaiah Drake,Gym Olympica,5.2,8.75,,13.95,5.2,9.05,,14.25,28.2
11,Timothy Wang,Air Force,5.2,8.25,,13.45,5.2,9.25,,14.45,27.9
12,Donothan Bailey,USOPTC,5.2,8.8,,14,5.2,8.75,-0.1,13.85,27.85
13,Paul Juda,Michigan,5.2,9.1,,14.3,5.2,8.3,,13.5,27.8
14,Alex Diab,Illinois,5.2,8.5,,13.7,5.2,8.8,,14,27.7
15,Cameron Bock,Michigan,5.2,8.3,,13.5,5.2,8.5,-0.1,13.6,27.1
16,Kiwan Watts,Arizona State,4.8,8.95,,13.75,5.2,8.1,,13.3,27.05
16,Sean Melton,Ohio State,5.2,8.75,-0.1,13.85,5.2,8,,13.2,27.05
18,Michael Moran,Minnesota,5.2,8.9,,14.1,5.2,7.65,-0.1,12.75,26.85
19,Nicolas Kuebler,Metropolitan,4.8,8.85,,13.65,4,9.15,,13.15,26.8
20,Ian Gunther,Stanford,5.2,8.35,,13.55,4.8,7.25,-0.3,11.75,25.3
