0,1,2,3,4,5,6,7
Rank,Athlete,Club,D,E,ND,Score,Total
1,Curran Phillips,Stanford,6.8,8.600,,15.997 (+0.597),32.094 (+1.194)
1,Curran Phillips,Stanford,6.8,8.700,,16.097 (+0.597),32.094 (+1.194)
2,Blake Sun,Stanford,6.4,8.400,,15.044 (+0.244),30.288 (+0.488)
2,Blake Sun,Stanford,6.4,8.600,,15.244 (+0.244),30.288 (+0.488)
3,Shane Wiskus,EVO,6.0,8.050,,14.050,28.700
3,Shane Wiskus,EVO,6.0,8.650,,14.650,28.700
,Joshua Karnes,Penn State,6.0,8.400,,14.400,28.700
,Joshua Karnes,Penn State,6.0,8.300,,14.300,28.700
5,David Shamah,EVO,5.4,8.000,,13.400,27.750
5,David Shamah,EVO,5.4,8.950,,14.350,27.750
6,Jeremy Bischoff,Stanford,5.7,7.950,,13.650,27.650
6,Jeremy Bischoff,Stanford,5.7,8.300,,14.000,27.650
7,Evan Hymanson,Stanford Boys,5.8,7.950,,13.750,27.500
7,Evan Hymanson,Stanford Boys,5.8,7.950,,13.750,27.500
8,Isaiah Drake,Navy,4.8,8.750,,13.550,27.050
8,Isaiah Drake,Navy,4.8,8.700,,13.500,27.050
9,Riley Loos,Stanford,4.9,8.450,,13.350,27.050
9,Riley Loos,Stanford,4.9,8.800,,13.700,27.050
10,Cameron Bock,Michigan,5.6,7.700,,13.300,27.000
10,Cameron Bock,Michigan,5.3,8.400,,13.700,27.000
11,Matt Cormier,Penn State,5.3,8.150,,13.450,26.950
11,Matt Cormier,Penn State,5.3,8.200,,13.500,26.950
12,Mike Fletcher,Illinois,5.3,8.250,,13.550,26.900
12,Mike Fletcher,Illinois,5.3,8.050,,13.350,26.900
13,Ian Gunther,Stanford,5.6,6.850,,12.450,26.650
13,Ian Gunther,Stanford,5.3,8.900,,14.200,26.650
14,Landen Blixt,Michigan,5.2,8.600,,13.800,26.500
14,Landen Blixt,Michigan,4.9,7.800,,12.700,26.500
15,Maxim Bereznev,Roswell,4.2,8.900,,13.100,26.400
15,Maxim Bereznev,Roswell,4.2,9.100,,13.300,26.400
16,Taylor Christopulos,Nebraska,5.0,7.950,,12.950,26.300
16,Taylor Christopulos,Nebraska,5.0,8.350,,13.350,26.300
17,Rithik Puri,Michigan,4.9,8.100,,13.000,26.250
17,Rithik Puri,Michigan,4.9,8.350,,13.250,26.250
18,Javier Alfonso,Michigan,5.0,7.600,,12.600,26.150
18,Javier Alfonso,Michigan,5.0,8.550,,13.550,26.150
19,Noah Newfeld,Berkeley,5.5,7.850,,13.350,25.800
19,Noah Newfeld,Berkeley,5.1,7.350,,12.450,25.800
20,Spencer Goodell,Oklahoma,5.4,8.350,,13.750,24.750
20,Spencer Goodell,Oklahoma,4.6,6.400,,11.000,24.750
21,Drake Andrews,EVO,4.9,6.500,,11.400,23.000
21,Drake Andrews,EVO,4.9,6.700,,11.600,23.000
