Rank,Athlete,Nation,D,E,ND,Total
1,Artur Dalaloyan,Russia,6.2,8.633,,14.833
2,Kenzo Shirai,Japan,6.8,8.033,,14.833
3,Nikita Nagornyy,Russia,6.4,8.4,,14.8
4,Carlos Edriel Yulo,Philippines,6.2,8.566,,14.766
5,Ahmet Önder,Turkey,6,8.533,,14.533
6,Yul Moldauer,United States,5.8,8.633,,14.433
7,Artem Dolgopyat,Israel,6.4,8,,14.4
8,Samuel Mikulak,United States,5.7,8.633,,14.333
8,Kazuma Kaya,Japan,5.7,8.633,,14.333
10,James Hall,Great Britain,5.9,8.433,,14.333
11,Benjamin Gischard,Switzerland,6,8.233,,14.233
12,Loris Frasca,France,5.9,8.3,,14.2
13,Casimir Schmidt,Netherlands,6,8.2,,14.2
14,Xiao Ruoteng,China,6.1,8.1,,14.2
14,Kim Han-sol,South Korea,6.1,8.1,,14.2
16,Deng Shudi,China,5.9,8.366,-0.1,14.166
17,Milad Karimi,Kazakhstan,5.8,8.366,,14.166
18,Marcel Nguyen,Germany,6.1,8.066,,14.166
19,Dominick Cunningham,Great Britain,6,8.116,,14.116
20,Tang Chia-Hung,Chinese Taipei,6.1,8.1,-0.1,14.1
21,Rayderley Zapata,Spain,6.4,8,-0.3,14.1
22,Pablo Brägger,Switzerland,5.6,8.466,,14.066
23,Jonathan Vrolix,Belgium,5.9,8.166,,14.066
24,Tomas Gonzalez,Chile,6.1,7.966,,14.066
25,Stian Skjerahaug,Norway,5.4,8.633,,14.033
26,Wataru Tanigawa,Japan,5.9,8.133,,14.033
27,Arthur Mariano,Brazil,5.6,8.466,-0.1,13.966
28,Noah Kuavita,Belgium,5.5,8.466,,13.966
29,Lee Jun-ho,South Korea,5.8,8.166,,13.966
29,Maksym Vasylenko,Ukraine,5.8,8.166,,13.966
31,Max Whitlock,Great Britain,5.9,8.066,,13.966
32,Colin van Wicklen,United States,5.5,8.433,,13.933
33,Lee Chih-Kai,Chinese Taipei,5.8,8.133,,13.933
34,Marian Dragulescu,Romania,5.5,8.4,,13.9
35,Dmitrii Lankin,Russia,6.1,8.1,-0.3,13.9
36,Heikki Saarenketo,Finland,6,8,-0.1,13.9
37,Randy Leru,Cuba,5.9,8,,13.9
38,Oskar Kirmes,Finland,5.5,8.366,,13.866
39,Julien Gobaux,France,5.8,8.133,-0.1,13.833
40,Nicolau Mir,Spain,5.7,8.133,,13.833
41,Scott Morgan,Canada,5.9,7.933,,13.833
42,Filip Lidbeck,Sweden,5.1,8.708,,13.808
43,Yusuke Tanaka,Japan,5.1,8.966,-0.3,13.766
44,Oleg Verniaiev,Ukraine,5.7,8.066,,13.766
45,Maxime Gentges,Belgium,5.2,8.533,,13.733
46,Ibrahim Colak,Turkey,5.3,8.433,,13.733
47,Brinn Bevan,Great Britain,5.9,8.133,-0.3,13.733
48,Ivan Tikhonov,Azerbaijan,5.5,8.208,,13.708
49,Tomas Kuzmickas,Lithuania,5.3,8.4,,13.7
50,Dzianis Sanuvonh,Belarus,5.4,8.3,,13.7
51,Marios Georgiou,Cyprus,5.5,8.2,,13.7
51,Park Min-soo,South Korea,5.5,8.2,,13.7
51,Bart Deurloo,Netherlands,5.5,8.2,,13.7
54,Nestor Abad,Spain,5.8,8,-0.1,13.7
55,Artur Davtyan,Armenia,5.5,8.166,,13.666
56,Rene Cournoyer,Canada,5.6,8.066,,13.666
57,Frank Rijken,Netherlands,5.1,8.6,-0.1,13.6
58,Tikumporn Surintornta,Thailand,5.5,8.2,-0.1,13.6
59,Paul Degouy,France,5.4,8.2,,13.6
59,Odin Kalvø,Norway,5.4,8.2,,13.6
61,Ilyas Azizov,Kazakhstan,5.3,8.266,,13.566
61,Shiao Yu-Jan,Chinese Taipei,5.3,8.266,,13.566
63,Oliver Hegi,Switzerland,5.5,8.066,,13.566
64,Elias Koski,Finland,5.3,8.233,,13.533
65,Caio Souza,Brazil,5.5,8.033,,13.533
66,Daniel Ponizil,Czech Republic,4.9,8.6,,13.5
67,Ruben Lopez,Spain,5.5,8.3,-0.3,13.5
68,Dariy Morozov,Azerbaijan,5.5,8.1,-0.1,13.5
69,Daniel Aguero,Peru,5.4,8.1,,13.5
69,Andrei Muntean,Romania,5.4,8.1,,13.5
71,Adelin Kotrong,Romania,5.7,7.8,,13.5
72,Kim Vanström,Sweden,5.5,8.266,-0.3,13.466
73,Ethan Dick,New Zealand,5.3,8.166,,13.466
74,Kyleab Ellis,New Zealand,5.6,7.866,,13.466
75,Clay Mason Stephens,Australia,5.5,8.033,-0.1,13.433
76,Krisztian Boncser,Hungary,5.9,7.833,-0.3,13.433
77,Rasuljon Abdurakhimov,Uzbekistan,5,8.4,,13.4
78,David Rumbutis,Sweden,5.3,8.066,,13.366
79,Ludovico Edalli,Italy,5.1,8.233,,13.333
80,Akim Mussayev,Kazakhstan,5.2,8.133,,13.333
80,Sofus Heggemsnes,Norway,5.2,8.133,,13.333
82,Francisco Rojo,Mexico,5.6,7.833,-0.1,13.333
83,Yahor Sharamkou,Belarus,6.1,7.633,-0.4,13.333
84,Slavomir Michnak,Slovakia,4.8,8.5,,13.3
85,Christian Riisberg,Denmark,5.3,8,,13.3
85,Ferhat Arican,Turkey,5.3,8,,13.3
87,Lukas Dauser,Germany,5.2,8.066,,13.266
88,Lucas Bitencourt,Brazil,5.7,7.566,,13.266
89,Daniel Radovesnicky,Czech Republic,4.9,8.333,,13.233
90,Yu Chao-Wei,Chinese Taipei,4.8,8.4,,13.2
91,Vigen Khachatryan,Armenia,5,8.2,,13.2
92,Scott Costin,Australia,5.1,8.1,,13.2
93,Marco Sarrugerio,Italy,5.2,8,,13.2
93,Yerbol Jantykov,Kazakhstan,5.2,8,,13.2
95,Ri Yong Min,North Korea,5.3,7.9,,13.2
96,Sun Wei,China,5.5,7.7,,13.2
97,Julian Jato,Argentina,5,8.166,,13.166
97,Loo Phay Xing,Malaysia,5,8.166,,13.166
99,Botond Kardos,Hungary,5.4,7.766,,13.166
100,Eddy Yusof,Switzerland,5.3,7.933,-0.1,13.133
101,Cory Paterson,Canada,5.3,7.833,,13.133
101,Reiss Beckford,Jamaica,5.3,7.833,,13.133
103,Antoine Borello,France,5,8.1,,13.1
104,Antonios Tantalidis,Greece,5.5,7.9,-0.3,13.1
105,Israel Chiriboga,Ecuador,4.7,8.366,,13.066
106,Arthur Zanetti,Brazil,5.8,7.566,-0.3,13.066
107,Jossimar Calvo,Colombia,5.6,7.566,-0.1,13.066
108,Daniel Villafane,Argentina,5.6,7.466,,13.066
109,Christopher Remkes,Australia,6.2,6.866,,13.066
110,Samuel Zakutney,Canada,5.3,7.733,,13.033
111,Andrey Likhovitskiy,Belarus,4.8,8.5,-0.3,13
112,Bram Louwije,Netherlands,4.8,8.2,,13
113,Devy Dyson,New Zealand,4.9,8.1,,13
114,Santiago Mayol,Argentina,5.1,7.9,,13
114,Petrix Barbosa,Portugal,5.1,7.9,,13
116,Marco Lodadio,Italy,5.4,7.6,,13
116,Fabian de Luna,Mexico,5.4,7.6,,13
118,Karl Idesjö,Sweden,4.8,8.166,,12.966
119,Alexander Shatilov,Israel,5.6,7.666,-0.3,12.966
120,Mikhail Koudinov,New Zealand,5.1,7.833,,12.933
121,Lin Chaopan,China,6,7.233,-0.3,12.933
122,Dinh Phuong Thanh,Vietnam,4.7,8.2,,12.9
123,Ryan Sheppard,Hungary,5.1,7.8,,12.9
124,Nicolas Cordoba,Argentina,4.4,8.466,,12.866
125,Raman Antropau,Belarus,4.9,8.066,-0.1,12.866
126,Nikolaos Iliopoulos,Greece,4.7,8.133,,12.833
126,Nikola Jurkovic,Serbia,4.7,8.133,,12.833
128,Severin Kranzlmüller,Austria,4.1,8.633,,12.733
129,Pham Phuoc Hung,Vietnam,4.6,8.133,,12.733
130,Bobur Toshpulatov,Uzbekistan,4.8,7.933,,12.733
131,Andrea Russo,Italy,4.8,7.9,,12.7
132,Alec Yoder,United States,5.3,7.666,-0.3,12.666
133,Saba Abesadze,Georgia,5.1,7.666,-0.1,12.666
134,Konstantin Kuzovkov,Georgia,5,7.666,,12.666
135,Svjatoslav Solovjev,Czech Republic,4.8,8.133,-0.3,12.633
136,Igor Radivilov,Ukraine,5.4,7.833,-0.6,12.633
137,Ri Se Gwang,North Korea,5,7.566,,12.566
138,Petar Velickovic,Serbia,5.2,7.366,,12.566
139,Yordan Aleksandrov,Bulgaria,4.7,7.833,,12.533
140,Abdulla Azimov,Uzbekistan,5.2,7.733,-0.4,12.533
141,Patricio Razo,Mexico,5,7.533,,12.533
142,Stephen Lewis,Jamaica,5.1,7.4,,12.5
143,David Belyavskiy,Russia,5.7,6.8,,12.5
144,Michalis Krasias,Cyrpus,4.8,7.866,-0.2,12.466
145,Le Thanh Tung,Vietnam,4.6,7.866,,12.466
146,Joshua Valle,Mexico,4.7,7.766,,12.466
147,Harald Wibye,Norway,5.2,7.266,,12.466
148,Philipp Herder,Germany,5.8,6.766,-0.1,12.466
149,Carlos Calvo,Colombia,5.2,7.533,-0.3,12.433
150,Vahagn Davtyan,Armenia,4,8.708,-0.3,12.408
151,Yazan Al Souliman,Syria,4.5,7.9,,12.4
151,Petar Vefic,Serbia,4.5,7.9,,12.4
153,Nikolaos Kranitis,Greece,5.3,7.266,-0.2,12.366
154,Simao Almeida,Portugal,5,7.633,-0.3,12.333
155,Filip Ude,Croatia,3.9,8.7,-0.3,12.3
156,Andres Martinez,Colombia,5.5,6.866,-0.1,12.266
157,Andrew Smith,Ireland,4.8,7.733,-0.3,12.233
158,Saleem Naghouj,Jordan,4.5,7.8,-0.1,12.2
159,Rafael Szabo,Romania,4.8,7.4,,12.2
160,Erick Vargas,Colombia,5,7.2,,12.2
161,Akobir Khamrokulov,Uzbekistan,4.6,7.666,-0.1,12.166
162,Matthias Schwab,Austria,5.2,6.866,,12.066
163,Adam Steele,Ireland,5,7.333,-0.3,12.033
164,Michael Sorokine,Israel,4.8,7.233,,12.033
165,Eleftherios Petrounias,Greece,5.1,6.933,,12.033
166,Mustafa Arca,Turkey,5.4,6.633,,12.033
167,Caleb Faulk,Jamaica,4.8,7.2,,12
168,Valgard Reinhardsson,Iceland,5.3,7.366,-0.7,11.966
