Rank,Athlete,Nation,D,E,ND,Total
1,Kohei Uchimura,Japan,6.4,8.2,,14.6
2,Samuel Mikulak,United States,6.1,8.466,,14.566
3,Xiao Ruoteng,China,6.1,8.333,,14.433
4,Epke Zonderland,Netherlands,6.2,8.2,,14.4
5,Tin Srbic,Croatia,6,8.3,,14.3
6,Deng Shudi,China,6.1,8.2,,14.3
7,Tang Chia-Hung,Chinese Taipei,6,8.2,,14.2
8,Artur Dalaloyan,Russia,5.7,8.466,,14.166
9,Manrique Larduet,Cuba,6.3,7.866,,14.166
10,Yusuke Tanaka,Japan,6,8.133,,14.133
11,Tyson Bull,Australia,5.9,8.166,,14.066
12,Bart Deurloo,Netherlands,6.1,7.933,,14.033
13,Umit Samiloglu,Turkey,5.9,8.1,,14
14,Sun Wei,China,6,8,,14
15,Francisco Barretto,Brazil,6.1,7.9,,14
16,Nikita Nagornyy,Russia,5.8,8.166,,13.966
17,Lin Chaopan,China,6.2,7.766,,13.966
18,David Belyavskiy,Russia,5.6,8.333,,13.933
19,Randy Leru,Cuba,6.1,7.833,,13.933
20,Nestor Abad,Spain,5.7,8.166,,13.866
21,Jossimar Calvo,Colombia,6.3,7.566,,13.866
22,Marios Georgiou,Cyprus,5.8,8,,13.8
23,Caio Souza,Brazil,5.9,7.9,,13.8
24,David Vecsernyes,Hungary,5.7,8.066,,13.766
25,Eddy Yusof,Switzerland,5.5,8.233,,13.733
26,Cory Paterson,Canada,5.7,8,,13.7
27,Paul Degouy,France,5.9,7.8,,13.7
28,Rene Cournoyer,Canada,5.4,8.2,,13.6
29,Nicolas Cordoba,Argentina,5.8,7.8,,13.6
29,Christian Baumann,Switzerland,5.8,7.8,,13.6
31,Samuel Zakutney,Canada,5.4,8.133,,13.533
32,Ilias Georgiou,Cyprus,5,8.5,,13.5
33,Joe Fraser,Great Britain,5.3,8.166,,13.466
33,Petro Pakhniuk,Ukraine,5.3,8.166,,13.466
35,Arthur Mariano,Brazil,5.8,7.666,,13.466
36,Julien Gobaux,France,5.1,8.333,,13.433
37,Andrey Likhovitskiy,Belarus,5.5,7.933,,13.433
38,Lukas Dauser,Germany,5.6,7.833,,13.433
38,Carlo Macchini,Italy,5.6,7.833,,13.433
38,Yerbol Jantykov,Kazakhstan,5.6,7.833,,13.433
41,Anton Kovacevic,Croatia,5.9,7.533,,13.433
42,Tomas Kuzmickas,Lithuania,5.1,8.3,,13.4
43,Ludovico Edalli,Italy,5.6,7.733,,13.333
44,Oliver Hegi,Switzerland,6.2,7.133,,13.333
45,Kazuma Kaya,Japan,5.5,7.8,,13.3
45,Nikolai Kuksenkov,Russia,5.5,7.8,,13.3
47,Andrei Muntean,Romania,4.9,8.333,,13.233
48,Zachary Clay,Canada,5,8.233,,13.233
49,Botond Kardos,Hungary,5.1,8.133,,13.233
50,Colin van Wicklen,United States,5.2,8,,13.2
51,Akash Modi,United States,5.8,7.366,,13.166
52,Pablo Brägger,Switzerland,5.9,7.266,,13.166
53,Le Thanh Tung,Vietnam,5,8.133,,13.133
54,Milad Karimi,Kazakhstan,5.9,7.233,,13.133
55,Kenzo Shirai,Japan,6.1,7.033,,13.133
56,Oskar Kirmes,Finland,5,8.1,,13.1
57,Bae Ga-ram,South Korea,5.9,7.166,,13.066
58,Frank Rijken,Netherlands,5.3,7.7,,13
59,Ryan Sheppard,Hungary,5,7.966,,12.966
60,Vladyslav Hryko,Ukraine,5.2,7.766,,12.966
61,Nikolaos Iliopoulos,Greece,5.6,7.366,,12.966
62,Antoine Borello,France,5.4,7.533,,12.933
63,Stian Skjerahaug,Norway,4.5,8.4,,12.9
64,Krisztian Boncser,Hungary,4.9,8,,12.9
65,Ivan Tikhonov,Azerbaijan,5.1,7.8,,12.9
66,James Hall,Great Britain,5.6,7.3,,12.9
67,Thierno Diallo,Spain,4.8,8.066,,12.866
68,Jacob Buus,Denmark,4.9,7.966,,12.866
69,Ruben Lopez,Spain,5,7.866,,12.866
70,Bram Louwije,Netherlands,5.1,7.766,,12.866
70,Karl Idesjö,Sweden,5.1,7.766,,12.866
72,Luka van den Keybus,Belgium,5.4,7.433,,12.833
73,Lee Hyeok-jung,South Korea,5.5,7.3,,12.8
74,Vinzenz Höck,Austria,4.6,8.166,,12.766
75,Artem Dolgopyat,Israel,4.9,7.866,,12.766
76,Philipp Herder,Germany,5.2,7.566,,12.766
77,Petar Vefic,Serbia,4.3,8.433,,12.733
78,Antonios Tantalidis,Greece,4.5,8.233,,12.733
79,Dominick Cunningham,Great Britain,5.1,7.633,,12.733
80,Didier Lugo,Colombia,6,6.733,,12.733
81,Loris Frasca,France,5.1,7.6,,12.7
81,Hsu Ping-Chien,Chinese Taipei,5.1,7.6,,12.7
83,Alexander Shatilov,Israel,5.6,7.1,,12.7
84,Mitchell Morgans,Australia,5.6,7.066,,12.666
85,Slavomir Michnak,Slovakia,4.4,8.233,,12.633
86,Israel Chiriboga,Ecuador,4.5,8.133,,12.633
87,Clay Mason Stephens,Australia,4.8,7.833,,12.633
88,Lee Chih-Kai,Chinese Taipei,4.9,7.7,,12.6
89,Nikola Jurkovic,Serbia,5,7.6,,12.6
90,Matthias Schwab,Austria,5.1,7.5,,12.6
91,Noah Kuavita,Belgium,5.7,6.9,,12.6
92,Georgios Chatziefstathiou,Greece,4.3,8.266,,12.566
93,Daniel Radovesnicky,Czech Republic,4.9,7.666,,12.566
94,Franz Card,Finland,4.5,8.033,,12.533
95,Mikhail Koudinov,New Zealand,4.9,7.633,,12.533
96,Cristian Bataga,Romania,5.1,7.433,,12.533
97,Marco Sarrugerio,Italy,4.6,7.9,,12.5
97,Ahmed Al Dyani,Qatar,4.6,7.9,,12.5
99,Bernardo Almeida,Portugal,4.9,7.6,,12.5
100,Isaac Nuñez,Mexico,5.1,7.366,,12.466
101,Sofus Heggemsnes,Norway,4.1,8.333,,12.433
102,Adam Steele,Ireland,4.5,7.933,,12.433
103,Yul Moldauer,United States,5,7.433,,12.433
104,Pham Phuoc Hung,Vietnam,4.4,8,,12.4
105,Ferhat Arican,Turkey,5.2,7.2,,12.4
106,Ilyas Azizov,Kazakhstan,4.1,8.266,,12.366
107,Oleg Verniaiev,Ukraine,4.9,7.466,,12.366
108,Michael Sorokine,Israel,5.1,7.266,,12.366
109,Elias Koski,Finland,4.4,7.933,,12.333
110,Shiao Yu-Jan,Chinese Taipei,4,8.3,,12.3
111,Lukas Kranzlmüller,Austria,4.3,8,,12.3
111,Ethan Dick,New Zealand,4.3,8,,12.3
113,Robert Tvorogal,Lithuania,5.3,7,,12.3
114,David Rumbutis,Sweden,4.2,8.066,,12.266
115,Adelin Kotrong,Romania,4.4,7.866,,12.266
116,Maksym Vasylenko,Ukraine,5.3,6.966,,12.266
117,Lee Jun-ho,South Korea,5.5,6.766,,12.266
118,Dinh Phuong Thanh,Vietnam,5.2,7.033,,12.233
119,Brinn Bevan,Great Britain,5.5,6.733,,12.233
120,Raman Antropau,Belarus,4.8,7.4,,12.2
121,Ri Yong Min,North Korea,5.4,6.8,,12.2
122,Santiago Mayol,Argentina,4.5,7.666,,12.166
123,Reiss Beckford,Jamaica,4.8,7.366,,12.166
124,Kyleab Ellis,New Zealand,4.1,8.033,,12.133
125,Artur Davtyan,Armenia,4.3,7.833,,12.133
126,Han Jong Hyok,North Korea,6,6.133,,12.133
127,Jonathan Vrolix,Belgium,4,8.066,,12.066
127,Kim Vanström,Sweden,4,8.066,,12.066
