Rank,Athlete,Nation,FX,PH,SR,VT,PB,HB,AA
1,Xiao Ruoteng,China,14.2,14.633,14.133,14.933,15,14.433,87.332
2,Nikita Nagornyy,Russia,14.8,14,14.633,14.733,14.966,13.966,87.098
3,Samuel Mikulak,United States,14.333,14.133,14.2,14.333,15.033,14.566,86.598
4,Artur Dalaloyan,Russia,14.833,11.766,14.1,14.666,15.041,14.166,84.572
5,Sun Wei,China,13.2,13.441,13.933,14.7,14.733,14,84.007
6,Kenzo Shirai,Japan,14.833,12.966,13.733,14.733,14.466,13.133,83.864
7,Lin Chapoan,China,12.933,12.866,13.833,14.6,15.266,13.966,83.464
8,David Belyavskiy,Russia,12.5,14,13.533,14.333,15.033,13.933,83.332
9,James Hall,Great Britain,14.333,13.033,14.1,14.366,14.466,12.9,83.198
10,Kazuma Kaya,Japan,14.333,12.425,13.966,14.2,14.691,13.3,82.915
11,Caio Souza,Brazil,13.533,11.166,14.433,14.633,14.766,13.8,82.331
12,Nestor Abad,Spain,13.7,12.4,13.666,13.7,14.175,13.866,81.507
13,Brinn Bevan,Great Britain,13.733,12.6,13.6,14.6,14.525,12.233,81.291
14,Carlos Edriel Yulo,Philippines,14.766,12.166,13.7,14.666,14.366,11.566,81.23
15,Ahmet Önder,Turkey,14.533,12,13.866,14.3,14.3,12,80.999
16,Pablo Brägger,Switzerland,14.066,12.966,13.333,12.9,14.333,13.166,80.764
17,Lukas Dauser,Germany,13.266,11.808,13.333,13.766,14.933,13.433,80.539
18,Oleg Verniaiev,Ukraine,13.766,11.2,13.366,14.366,15.458,12.366,80.522
19,Yul Moldauer,United States,14.433,11.5,13.233,14.266,14.5,12.433,80.365
20,Oliver Hegi,Switzerland,13.566,13.509,13.133,13.916,12.8,13.333,80.248
21,Andrei Muntean,Romania,13.5,10.8,13.858,14.433,14.4,13.233,80.224
22,Park Min-soo,South Korea,13.7,13.5,13.766,13.533,13.766,11.7,79.965
23,Rene Cournoyer,Canada,13.666,11.366,13.4,13.933,13.733,13.6,79.698
24,Marcel Nguyen,Germany,14.166,11.233,14.133,13.666,14.566,11.933,79.697
25,Ferhat Arican,Turkey,13.3,11.966,12.533,14.4,14.866,12.4,79.465
26,Marios Georgiou,Cyprus,13.7,12.433,13.3,13.533,12.566,13.8,79.332
27,Artur Davtyan,Armenia,13.666,11.366,13.866,14.7,13.6,12.133,79.331
28,Ludovico Edalli,Italy,13.333,11.633,13.2,13.4,14.2,13.333,79.099
29,Loris Frasca,France,14.2,10.1,13.433,14.833,13.633,12.7,78.899
