Rank,Athlete,Nation,D,E,ND,Total
1,Zou Jingyuan,China,6.6,9.2,,15.8
2,Oleg Verniaiev,Ukraine,6.7,8.758,,15.458
3,Lin Chapoan,China,6.4,8.866,,15.266
4,Jossimar Calvo,Colombia,6.5,8.6,,15.1
5,Artur Dalaloyan,Russia,6.4,8.641,,15.041
6,David Belyavskiy,Russia,6.4,8.633,,15.033
6,Samuel Mikulak,United States,6.4,8.633,,15.033
8,Xiao Ruoteng,China,6.2,8.8,,15
9,Nikita Nagornyy,Russia,6.4,8.566,,14.966
10,Lukas Dauser,Germany,6.3,8.633,,14.933
11,Ferhat Arican,Turkey,6.6,8.266,,14.866
12,Yusuke Tanaka,Japan,6.3,8.533,,14.833
13,Wataru Tanigawa,Japan,6.2,8.6,,14.8
13,Petro Pakhniuk,Ukraine,6.2,8.6,,14.8
15,Caio Souza,Brazil,6.1,8.666,,14.766
16,Sun Wei,China,5.7,9.033,,14.733
17,Dmitrii Lankin,Russia,6.4,8.333,,14.733
18,Kazuma Kaya,Japan,6.3,8.391,,14.691
19,Epke Zonderland,Netherlands,5.9,8.733,,14.633
20,Marcel Nguyen,Germany,6.4,8.166,,14.566
20,Dinh Phuong Thanh,Vietnam,6.4,8.166,,14.566
22,Brinn Bevan,Great Britain,5.9,8.625,,14.525
23,Yul Moldauer,United States,5.9,8.6,,14.5
24,James Hall,Great Britain,6,8.466,,14.466
25,Kenzo Shirai,Japan,6.2,8.266,,14.466
26,Andrei Muntean,Romania,5.9,8.5,,14.4
27,Carlos Edriel Yulo,Philippines,5.7,8.666,,14.366
28,Pham Phuoc Hung,Vietnam,6.3,8.066,,14.366
29,Lee Jun-ho,South Korea,5.7,8.633,,14.333
30,Pablo Brägger,Switzerland,6.3,8.033,,14.333
31,Ahmet Önder,Turkey,6,8.3,,14.3
32,Philipp Herder,Germany,6.1,8.2,,14.3
33,Nicolau Mir,Spain,5.5,8.766,,14.266
34,Isaac Nuñez,Mexico,5.6,8.633,,14.233
35,Ludovico Edalli,Italy,5.8,8.4,,14.2
36,Nestor Abad,Spain,5.5,8.675,,14.175
37,Kim Han-sol,South Korea,5.6,8.533,,14.133
38,Andrey Likhovitskiy,Belarus,5.5,8.6,,14.1
39,Vladyslav Hryko,Ukraine,5.7,8.4,,14.1
40,Ruben Lopez,Spain,5.6,8.466,,14.066
41,Eddy Yusof,Switzerland,6,8.066,,14.066
42,Marco Sarrugerio,Italy,5.5,8.533,,14.033
42,Frank Rijken,Netherlands,5.5,8.533,,14.033
44,Casimir Schmidt,Netherlands,5.2,8.766,,13.966
45,Tomas Kuzmickas,Lithuania,5.4,8.566,,13.966
46,Arthur Mariano,Brazil,5.2,8.733,,13.933
47,Cory Paterson,Canada,5.5,8.433,,13.933
48,Ilias Georgiou,Cyprus,5.2,8.7,,13.9
49,Samuel Zakutney,Canada,5.4,8.5,,13.9
50,Randy Leru,Cuba,5.9,8,,13.9
50,Joe Fraser,Great Britain,5.9,8,,13.9
52,Bram Louwije,Netherlands,5.5,8.366,,13.866
53,Dominick Cunningham,Great Britain,5.6,8.266,,13.866
53,Bae Ga-ram,South Korea,5.6,8.266,,13.866
55,Carlo Macchini,Italy,5.2,8.633,,13.833
56,Andreas Toba,Germany,5.3,8.5,,13.8
57,Akim Mussayev,Kazakhstan,5.2,8.566,,13.766
58,Park Min-soo,South Korea,5.3,8.466,,13.766
59,Ri Yong Min,North Korea,5.8,7.966,,13.766
60,Rene Cournoyer,Canada,5.5,8.233,,13.733
61,Alec Yoder,United States,5,8.7,,13.7
62,Paul Degouy,France,5.1,8.6,,13.7
62,Nikolaos Iliopoulos,Greece,5.1,8.6,,13.7
64,Zachary Clay,Canada,5.6,8.1,,13.7
65,Noah Kuavita,Belgium,5.7,8,,13.7
66,Adam Steele,Ireland,5,8.666,,13.666
67,Fabian de Luna,Mexico,5.4,8.266,,13.666
68,Loris Frasca,France,4.9,8.733,,13.633
69,Lucas Bitencourt,Brazil,5.7,7.933,,13.633
70,Artur Davtyan,Armenia,4.5,9.1,,13.6
71,Robert Tvorogal,Lithuania,5.6,8,,13.6
72,Adam Babos,Hungary,5.1,8.466,,13.566
73,Ivan Tikhonov,Azerbaijan,5.3,8.233,,13.533
73,Cristian Bataga,Romania,5.3,8.233,,13.533
75,Francisco Barretto,Brazil,6,7.533,,13.533
76,Maxime Gentges,Belgium,5.1,8.425,,13.525
77,Alexander Shatilov,Israel,4.9,8.6,,13.5
78,Andres Martinez,Colombia,5.1,8.4,,13.5
79,Oskar Kirmes,Finland,5.5,8,,13.5
80,Daniel Radovesnicky,Czech Republic,5,8.466,,13.466
81,Andrea Russo,Italy,5.4,8.066,,13.466
82,Rasuljon Abdurakhimov,Uzbekistan,5.7,7.766,,13.466
83,David Vecsernyes,Hungary,4.8,8.633,,13.433
84,Maksym Vasylenko,Ukraine,5.3,8.133,,13.433
85,Jamorn Prommanee,Thailand,5.4,8.033,,13.433
86,Simao Almeida,Portugal,4.9,8.5,,13.4
87,Thierno Diallo,Spain,5.3,8.066,,13.366
88,Mikhail Koudinov,New Zealand,5.6,7.766,,13.366
89,Jonathan Vrolix,Belgium,5,8.333,,13.333
90,Michael Sorokine,Israel,4.7,8.6,,13.3
91,Nicolas Cordoba,Argentina,4.6,8.666,,13.266
92,Ryan Sheppard,Hungary,5.2,8.033,,13.233
93,Petrix Barbosa,Portugal,5.9,7.325,,13.225
94,Severin Kranzlmüller,Austria,4.8,8.4,,13.2
95,Christian Baumann,Switzerland,6.1,7.1,,13.2
96,Artem Dolgopyat,Israel,5,8.166,,13.166
97,Manrique Larduet,Cuba,5.7,7.466,,13.166
98,Dzianis Sanuvonh,Belarus,4.7,8.433,,13.133
99,Yu Chao-Wei,Chinese Taipei,5,8.133,,13.133
