Rank,Athlete,Nation,D,E,ND,Total
1,Hashimoto Daiki,Japan,6.5,8.133,,14.633
2,Hu Xuwei,China,6.4,8.133,,14.533
3,Milad Karimi,Kazakhstan,6.4,8.033,,14.433
4,Brody Malone,United States,6.5,7.866,,14.366
5,Uchimura Kohei,Japan,6.3,8,,14.3
6,Carlo Macchini,Italy,6.3,7.966,,14.266
7,Ilias Georgiou,Cyprus,5.8,8.433,,14.233
8,Illia Kovtun,Ukraine,6.2,8,,14.2
9,Zhang Boheng,China,6.2,7.966,,14.166
10,Andreas Bretschneider,Germany,6.2,7.9,,14.1
11,Noah Kuavita,Belgium,6,8.066,,14.066
12,Ivan Stretovich,Russia,6.3,7.7,,14
13,Kaya Kazuma,Japan,6.1,7.866,,13.966
14,Maxime Gentges,Belgium,5.6,8.3,,13.9
15,David Vecsernyes,Hungary,5.8,8.066,,13.866
16,Shi Cong,China,6.1,7.766,,13.866
17,Adem Asil,Turkey,6.2,7.633,,13.833
18,Henji Mboyo,Switzerland,5.8,8,,13.8
19,Alexander Myakinin,Israel,6.1,7.7,,13.8
20,Arthur Mariano,Brazil,6.2,7.566,,13.766
21,Luka van den Keybus,Belgium,5.6,8.066,,13.666
22,Robert Tvorogal,Lithuania,6,7.6,,13.6
23,Nikita Ignatyev,Russia,5.6,7.833,,13.433
24,Felix Dolci,Canada,5.6,7.8,,13.4
25,Alexander Benda,Austria,5.2,8.166,,13.366
26,Ryu Sunghyun,South Korea,4.9,8.433,,13.333
27,Sofus Heggemsnes,Norway,5,8.3,,13.3
28,Krisztofer Meszaros,Hungary,5.3,8,,13.3
29,Yul Moldauer,United States,5.3,7.933,,13.233
30,Lee Junghyo,South Korea,5.1,8.1,,13.2
31,Caio Souza,Brazil,5.7,7.5,,13.2
32,Joshua Nathan,Great Britain,5,8.166,,13.166
33,Isaac Nuñez,Mexico,5.7,7.466,,13.166
34,William Emard,Canada,4.8,8.333,,13.133
35,Joel Plata,Spain,5.4,7.7,,13.1
36,Vladyslav Hryko,Ukraine,5.1,7.966,,13.066
37,Hung Yuan-Hsi,Taiwan,5,8,,13
38,Ahmet Önder,Turkey,5.7,7.266,,12.966
39,Oskar Kirmes,Finland,4.6,8.3,,12.9
40,Jossimar Calvo,Colombia,5.7,7.166,,12.866
41,Harald Wibye,Norway,4.5,8.333,,12.833
42,Nikolaos Iliopoulos,Greece,5.3,7.533,,12.833
43,Marios Georgiou,Cyprus,5.9,6.9,,12.8
44,Israel Chiriboga,Ecuador,4.6,8.133,,12.733
45,Glenn Trebing,Germany,5,7.733,,12.733
46,Nguyen Van Khanh Phong,Vietnam,4.5,8.2,,12.7
47,Javier Sandoval,Colombia,5.3,7.366,,12.666
48,Joseph Cemlyn-Jones,Great Britain,4.7,7.933,,12.633
49,Eyal Indig,Israel,4.5,8.1,,12.6
50,Yordan Aleksandrov,Bulgaria,5.2,7.366,,12.566
51,Nestor Abad,Spain,5.5,7,,12.5
52,Adria Vera,Spain,5,7.466,,12.466
53,Kim Wanström,Sweden,4.2,8.2,,12.4
54,Martin Gudmundsson,Iceland,4,8.266,,12.266
54,Jose Nogueira,Portugal,4,8.266,,12.266
56,Jonas Thorisson,Iceland,4.2,8.066,,12.266
57,Ricards Plate,Latvia,4.7,7.533,,12.233
58,Frantisek Cerny,Czech Republic,5,7.2,,12.2
59,Andres Martinez,Colombia,4.2,7.933,,12.133
59,Valgard Reinhardsson,Iceland,4.2,7.933,,12.133
61,Abhijeet Kumar,India,4.5,7.633,,12.133
62,Farukh Nabiyev,Kazakhstan,4.9,7.1,,12
63,Carlo Hörr,Germany,5.2,6.8,,12
64,Moreno Kratter,Switzerland,5.5,6.475,,11.975
65,Tomas Kuzmickas,Lithuania,4.8,7.166,,11.966
66,Sergei Naidin,Russia,5.8,6.1,,11.9
67,Ricardo Rudy,Austria,3.5,8.333,,11.833
68,Omar Mohamed,Egypt,4.6,7.2,,11.8
68,Roman Vashchenko,Ukraine,4.6,7.2,,11.8
70,Robert Kirmes,Finland,4.6,7.166,,11.766
71,Jermain Grünberg,Netherlands,4.1,7.6,,11.7
72,Bernardo Almeida,Portugal,4.4,7.233,,11.633
73,Abdelrahman Abdelhaleem,Egypt,4.4,7.2,,11.6
74,Teodor Trifonov,Bulgaria,4.6,6.9,,11.5
75,Gytis Chasazyrovas,Lithuania,3.8,7.6,,11.4
76,Josue Juarez,Mexico,4.5,6.833,,11.333
77,Mohamed Afify,Egypt,4.5,6.8,,11.3
78,Kerem Sener,Turkey,4.4,6.766,,11.166
79,Sviataslau Dranitski,Belarus,4.4,6.633,,11.033
80,Rene Cournoyer,Canada,5.2,5.833,,11.033
81,Guilherme Campos,Portugal,4,6.966,,10.966
82,Ivan Tikhonov,Azerbaijan,5.4,5.566,,10.966
83,Benedek Tomcsanyi,Hungary,4.9,6.033,,10.933
84,Yogeshwar Singh,India,4.6,6.2,,10.8
85,Lee Junho,South Korea,5,5.733,,10.733
86,Taha Serhani,Switzerland,5.4,5.266,,10.666
87,Tikumporn Surintornta,Thailand,4,6.633,,10.633
88,Hung Shih-Tung,Taiwan,4.5,5.766,,10.266
89,Suphacheep Baobenmad,Thailand,3.5,6.333,,9.833
90,Pablo Broszio,Panama,3,6.333,,9.333
91,Diego Neumaier,Mexico,4.5,4.533,-0.6,8.433
