Rank,Athlete,Nation,D,E,ND,Total
1,Lan Xingyu,China,6.4,8.866,,15.266
2,Zhang Boheng,China,6.1,8.766,,14.866
3,Vinzenz Höck,Austria,6.2,8.566,,14.766
3,Grigoriy Klimentev,Russia,6.2,8.566,,14.766
3,Ibrahim Colak,Turkey,6.2,8.566,,14.766
6,William Emard,Canada,6,8.733,,14.733
7,Courtney Tulloch,Great Britain,6.2,8.466,,14.666
7,Salvatore Maresca,Italy,6.2,8.466,,14.666
9,Marco Lodadio,Italy,6.3,8.3,,14.6
10,Adem Asil,Turkey,6.2,8.333,,14.533
11,Ali Zahran,Egypt,6.2,8.033,,14.233
12,Nguyen Van Khanh Phong,Vietnam,6,8.166,,14.166
13,Lin Guan-Yi,Taiwan,6.1,8.033,,14.133
14,Caio Souza,Brazil,6,8.033,,14.033
15,Chris Kaji,Canada,6.2,7.766,,13.966
15,Kaya Kazuma,Japan,6.2,7.766,,13.966
17,Ahmet Önder,Turkey,5.8,8.133,,13.933
18,Shi Cong,China,6,7.933,,13.933
19,Felix Dolci,Canada,5.2,8.466,,13.666
20,Stavros Gkinis,Greece,6,7.666,,13.666
21,Ilias Georgiou,Cyprus,4.8,8.7,,13.5
22,Nestor Abad,Spain,5.2,8.266,,13.466
23,Jon Gunnarsson,Iceland,5.8,7.666,,13.466
23,Yul Moldauer,United States,5.8,7.666,,13.466
25,Konstantinos Konstantinidis,Greece,6,7.4,,13.4
26,Kristopher Bohorquez,Colombia,5.5,7.866,,13.366
27,Alexander Diab,United States,6,7.366,,13.366
28,Hashimoto Daiki,Japan,5.2,8.133,,13.333
28,Henji Mboyo,Switzerland,5.2,8.133,,13.333
30,Joel Plata,Spain,5,8.3,,13.3
31,Nikolaos Iliopoulos,Greece,4.7,8.433,,13.133
32,Robert Tvorogal,Lithuania,4.5,8.6,,13.1
33,Joseph Cemlyn-Jones,Great Britain,5.6,7.5,,13.1
34,Sofus Heggemsnes,Norway,4.6,8.4,,13
35,Ryu Sunghyun,South Korea,5.1,7.9,,13
36,Hung Yuan-Hsi,Taiwan,4.8,8.166,,12.966
37,Krisztofer Meszaros,Hungary,5,7.933,,12.933
38,Lee Junho,South Korea,5,7.9,,12.9
39,David Rumbutis,Sweden,4.4,8.433,,12.833
40,Lee Junghyo,South Korea,5.5,7.333,,12.833
41,Tomas Kuzmickas,Lithuania,4.2,8.566,,12.766
42,Nikita Ignatyev,Russia,5.4,7.366,,12.766
43,Van Vi Luong,Vietnam,4.4,8.333,,12.733
44,Zaid Khater,Egypt,4.9,7.833,,12.733
45,Omar Mohamed,Egypt,5.5,7.233,,12.733
46,Robert Kirmes,Finland,4.6,8.066,,12.666
47,Guilherme Campos,Portugal,4.2,8.433,,12.633
48,Joshua Nathan,Great Britain,4.1,8.5,,12.6
49,Alexander Benda,Austria,4.3,8.3,,12.6
50,Illia Kovtun,Ukraine,5,7.5,,12.5
51,Yordan Aleksandrov,Bulgaria,4.7,7.766,,12.466
52,Benedek Tomcsanyi,Hungary,5.2,7.25,,12.45
53,Luka van den Keybus,Belgium,4.5,7.933,,12.433
54,Eyal Indig,Israel,4.1,8.3,,12.4
55,Thierno Diallo,Spain,4.7,7.666,,12.366
56,Glenn Trebing,Germany,5,7.333,,12.333
57,Ricardo Rudy,Austria,4.1,8.2,,12.3
58,Jossimar Calvo,Colombia,4.8,7.5,,12.3
59,Roman Vashchenko,Ukraine,6,6.3,,12.3
60,Carlo Hörr,Germany,4.9,7.366,,12.266
61,Oskar Kirmes,Finland,4.5,7.7,,12.2
62,Adam Dobrovitz,Hungary,4.9,7.3,,12.2
63,Milad Karimi,Kazakhstan,3.7,8.433,,12.133
64,Yogeshwar Singh,India,4.4,7.733,,12.133
65,Ashish Kumar,India,4.5,7.6,,12.1
66,Harald Wibye,Norway,4.3,7.733,,12.033
67,Noah Kuavita,Belgium,5.1,6.866,,11.966
68,Valgard Reinhardsson,Iceland,4.6,7.266,,11.866
69,Phan Ngoc Hung,Vietnam,4,7.8,,11.8
70,Gytis Chasazyrovas,Lithuania,3.9,7.833,,11.733
71,Hung Shih-Tung,Taiwan,4.1,7.6,,11.7
72,Santos Martinez,Mexico,4.8,6.9,,11.7
73,Israel Chiriboga,Ecuador,3.7,7.866,,11.566
74,Ricards Plate,Latvia,4,7.566,,11.566
75,Jonas Thorisson,Israel,4.1,7.4,,11.5
76,Tikumporn Surintornta,Thailand,4.2,7.266,,11.466
77,Pavel Gulidov,Israel,5,6.466,,11.466
78,Sviataslau Dranitski,Belarus,4.5,6.933,,11.433
79,Frantisek Cerny,Czech Republic,3.6,7.6,,11.2
80,Abhijeet Kumar,India,3.9,7.266,,11.166
81,Pablo Broszio,Panama,4.2,6.933,,11.133
82,Jermain Grünberg,Netherlands,4.5,6.433,,10.933
83,Andres Martinez,Colombia,4.7,6.233,,10.933
84,Jose Nogueira,Portugal,4.2,6.6,,10.8
85,Teodor Trifonov,Bulgaria,4.6,6.066,,10.666
86,Kim Wanström,Sweden,4.3,5.825,-0.3,9.825
87,Farukh Nabiyev,Kazakhstan,3.7,6.066,,9.766
88,Igor Radivilov,Ukraine,3.9,7.266,-4,7.166
89,Suphacheep Baobenmad,Thailand,2.9,5.8,-4,4.7
