Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Hashimoto Daiki Japan,14.666,14.333,13.866,14.9,15,14.433,87.198
2,Zhang Boheng China,14.033,14.233,14.1,14.9,15.066,14.433,86.765
3,Tanigawa Wataru Japan,14.266,13.766,13.833,15,14.766,13.6,85.231
4,Brody Malone United States,14.133,13.766,13.666,14.5,14.366,14.5,84.931
5,Jake Jarman Great Britain,14.433,13.333,13,14.8,14.166,13.133,82.865
6,Asher Hong United States,14.266,13.7,13.833,14.166,14.9,11.5,82.365
7,Illia Kovtun Ukraine,14,13.933,12.666,14.3,14.6,12.866,82.365
8,Carlos Yulo Philippines,15.166,11.9,13.8,14.166,15.166,11.9,82.098
9,Tang Chia-Hung Taiwan,14.133,13.033,13.366,14,13.366,14.066,81.964
10,Caio Souza Brazil,13.766,12.766,13.7,12.7,14.566,14.133,81.631
11,Lukas Dauser Germany,13.666,13.2,12.9,13.766,15.166,12.9,81.598
12,Casimir Schmidt Netherlands,14,12.733,13.8,14.233,13.733,13,81.499
13,Lorenzo Casali Italy,12.966,12.833,13.1,14.233,14.333,12.866,80.331
14,Krisztofer Meszaros Hungary,13.7,12.6,13.066,13.7,14.066,12.833,79.965
15,Krisztian Balazs Hungary,12.833,12.7,12.866,13.2,14.433,13.8,79.832
16,Nestor Abad Spain,13.8,11.266,13.233,13.733,14.2,13.433,79.665
17,Diogo Soares Brazil,12.766,13.433,12.9,14.266,12.433,13.866,79.664
18,Joel Plata Spain,14.333,11.533,13.233,14.7,12.766,13.033,79.598
19,Sofus Heggemsnes Norway,12.766,12.7,12.766,14.466,13.3,12.933,78.931
20,Luka van den Keybus Belgium,13.333,10.566,12.8,14.133,14.066,13.366,78.264
21,Yumin Abbadini Italy,13.566,13.666,13.166,13.866,13.066,9.9,77.23
22,Joe Fraser Great Britain,13.866,13.166,13.6,12.833,11.533,12.1,77.098
23,Gabriel Burtanete Romania,13.1,10.166,13.133,14.5,13.4,12.6,76.899
24,Jossimar Calvo Colombia,13.166,10.4,11.566,14.4,12.366,13.5,75.398
