0,1,2,3,4,5,6
Rank,Athlete,Nation,D,E,ND,Total
1,Hashimoto Daiki,Japan,6.7,8.400,,15.100
2,Sun Wei,China,6.4,8.433,,14.833
3,Zhang Boheng,China,6.2,8.533,,14.733
4,Ilias Georgiou,Cyprus,5.9,8.566,,14.466
5,Brody Malone,United States,6.3,8.133,,14.433
6,Kamoto Yuya,Japan,6.0,8.400,,14.400
7,Arthur Mariano,Brazil,5.9,8.466,,14.366
8,Tyson Bull,Australia,5.9,8.433,,14.333
9,Mitchell Morgans,Australia,6.2,8.133,,14.333
10,Caio Souza,Brazil,6.3,8.033,,14.333
11,Robert Tvorogal,Lithuania,5.7,8.600,,14.300
12,Joe Fraser,Great Britain,6.1,8.166,,14.266
13,Krisztian Balazs,Hungary,5.7,8.400,,14.100
14,Marios Georgiou,Cyprus,6.0,8.100,,14.100
15,Carlo Macchini,Italy,6.1,7.966,,14.066
16,Alexander Myakinin,Israel,6.0,8.000,,14.000
17,Diogo Soares,Brazil,5.7,8.266,,13.966
18,Lucas Bitencourt,Brazil,5.4,8.433,,13.833
19,Milad Karimi,Kazakhstan,6.1,7.733,,13.833
20,Joel Plata,Spain,6.3,7.533,,13.833
21,Doi Ryosuke,Japan,6.3,7.500,,13.800
22,Felix Dolci,Canada,5.9,7.866,,13.766
23,Taha Serhani,Switzerland,5.9,7.800,,13.700
24,Yang Jiaxing,China,5.3,8.366,,13.666
25,Ryu Sunghyun,South Korea,5.1,8.533,,13.633
26,Samuel Zakutney,Canada,5.6,8.033,,13.633
27,Yumin Abbadini,Italy,5.6,8.000,,13.600
28,Adem Asil,Turkey,5.0,8.566,,13.566
29,Paul Degouy,France,5.2,8.366,,13.566
30,Tanigawa Wataru,Japan,5.7,7.866,,13.566
31,Carlos Yulo,Philippines,5.0,8.533,,13.533
32,Illia Kovtun,Ukraine,5.7,7.833,,13.533
33,Matteo Levantesi,Italy,5.4,8.100,,13.500
34,Hung Yuan-Hsi,Taiwan,4.9,8.533,,13.433
35,Noah Kuavita,Belgium,5.4,8.000,,13.400
36,Jossimar Calvo,Colombia,5.7,7.700,,13.400
37,Robert Kirmes,Finland,4.9,8.466,,13.366
38,Mikhail Koudinov,New Zealand,5.6,7.700,,13.300
39,Rasuljon Abdurakhimov,Uzbekistan,4.6,8.666,,13.266
40,Kim Jaeho,South Korea,4.7,8.566,,13.266
41,Heath Thorpe,Australia,4.9,8.366,,13.266
42,You Hao,China,5.3,7.933,,13.233
43,Botond Kardos,Hungary,5.1,8.100,,13.200
,Asher Hong,United States,5.1,8.100,,13.200
45,Colt Walker,United States,5.6,7.600,,13.200
46,Tin Srbic,Croatia,5.7,7.500,,13.200
47,Nicolau Mir,Spain,4.9,8.266,,13.166
48,Nestor Abad,Spain,5.0,8.166,,13.166
49,Javier Sandoval,Colombia,5.1,8.033,,13.133
50,Andreas Toba,Germany,5.4,7.733,,13.133
51,Jake Jarman,Great Britain,4.8,8.300,,13.100
,Sofus Heggemsnes,Norway,4.8,8.300,,13.100
53,Glenn Trebing,Germany,5.2,7.900,,13.100
54,Alexander Benda,Austria,5.3,7.800,,13.100
55,Georgios Angonas,Cyprus,4.9,8.166,,13.066
56,Andres Martinez,Colombia,4.9,8.133,,13.033
57,Casimir Schmidt,Netherlands,5.1,7.933,,13.033
58,Noe Seifert,Switzerland,5.7,7.333,,13.033
59,Elias Koski,Finland,4.9,8.100,,13.000
,Harald Wibye,Norway,4.9,8.100,,13.000
61,Ahmed Abdelrahman,Egypt,4.4,8.566,,12.966
62,Razvan-Denis Marc,Romania,4.8,8.166,,12.966
63,Yordan Aleksandrov,Bulgaria,5.2,7.766,,12.966
64,Ferhat Arican,Turkey,4.4,8.533,,12.933
65,Tomas Kuzmickas,Lithuania,4.8,8.100,,12.900
66,Lee Junghyo,South Korea,5.3,7.566,,12.866
67,Chris Kaji,Canada,4.7,8.133,,12.833
68,Abdelrahman Abdelhaleem,Egypt,4.6,8.166,,12.766
69,Severin Kranzlmüller,Austria,4.7,8.033,,12.733
70,Nikolaos Iliopoulos,Greece,5.0,7.733,,12.733
71,Clay Mason Stephens,Australia,5.3,7.433,,12.733
72,Luka van den Keybus,Belgium,5.4,7.333,,12.733
73,Tang Chia-Hung,Taiwan,5.5,7.233,,12.733
74,Dominick Cunningham,Ireland,4.9,7.800,,12.700
75,Jordi Hagenaar,Netherlands,5.0,7.700,,12.700
76,Yogeshwar Singh,India,4.5,8.166,,12.666
77,Mohamed Afify,Egypt,4.6,8.033,,12.633
78,Leo Saladino,France,5.0,7.633,,12.633
79,Askhab Matiev,Austria,4.3,8.266,,12.566
80,Gabriel Burtanete,Romania,4.5,8.066,,12.566
81,David Rumbutis,Sweden,5.2,7.366,,12.566
82,Benedek Tomcsanyi,Hungary,4.6,7.933,,12.533
83,Jose Nogueira,Portugal,4.4,8.100,,12.500
84,Santiago Mayol,Argentina,4.7,7.800,,12.500
85,Toma Modoianu-Zseder,Romania,5.0,7.466,,12.466
86,Manuel Martinez,Colombia,4.5,7.933,,12.433
87,Abdulla Azimov,Uzbekistan,4.7,7.733,,12.433
88,Thierno Diallo,Spain,4.9,7.500,,12.400
89,Vinzenz Höck,Austria,4.6,7.766,,12.366
90,Joel Alvarez,Chile,5.0,7.366,,12.366
91,Krisztofer Meszaros,Hungary,5.2,7.166,,12.366
92,Martijn de Veer,Netherlands,4.9,7.433,,12.333
93,Yeh Cheng,Taiwan,4.8,7.500,,12.300
94,Lee Junho,South Korea,5.6,6.633,,12.233
95,Joakim Lenberg,Sweden,3.8,8.400,,12.200
96,Gytis Chasazyrovas,Lithuania,3.9,8.300,,12.200
97,Robert Burtanete,Romania,4.2,7.966,,12.166
98,Pantely Kolodii,Ukraine,4.5,7.666,,12.166
99,Jose Lopez,Puerto Rico,4.9,7.233,,12.133
100,Lukas Dauser,Germany,5.0,7.133,,12.133
,Jermain Grünberg,Netherlands,5.0,7.133,,12.133
102,Moreno Kratter,Switzerland,5.1,7.033,,12.133
103,Ivan Tikhonov,Azerbaijan,4.6,7.500,,12.100
104,Ahmet Önder,Turkey,4.6,7.466,,12.066
105,Abderrazak Nasser,Morocco,4.2,7.833,,12.033
106,Mathias Philippe,France,5.2,6.833,,12.033
107,Lorenzo Casali,Italy,4.8,7.200,,12.000
108,Takumi Onoshima,Belgium,4.9,7.066,,11.966
109,Gaurav Kumar,India,4.3,7.600,,11.900
110,Donnell Whittenburg,United States,5.3,6.600,,11.900
111,Mehmet Ayberk Kosak,Turkey,4.1,7.766,,11.866
112,Cameron-Lie Bernard,France,4.3,7.566,,11.866
113,Valgard Reinhardsson,Iceland,4.5,7.366,,11.866
114,Guilherme Campos,Portugal,4.1,7.733,,11.833
115,Michalis Chari,Cyprus,3.7,8.066,,11.766
116,Jonas Thorisson,Iceland,4.1,7.666,,11.766
117,Pascal Brendel,Germany,4.7,7.033,,11.733
118,Omar Mohamed,Egypt,4.5,7.200,,11.700
119,Emil Akhmejanov,Kazakhstan,4.8,6.866,,11.666
120,James Hall,Great Britain,5.5,6.133,,11.633
121,Ilyas Azizov,Kazakhstan,4.4,7.100,,11.500
122,Lais Najjar,Syria,4.5,6.966,,11.466
123,Khabibullo Ergashev,Uzbekistan,4.6,6.866,,11.466
124,Leandro Peña,Dominican Republic,4.7,6.700,,11.400
