Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Chiba Kenta Japan,13.9,14.7,13.666,14.333,14.7,14.5,85.799
2,Kaya Kazuma Japan,14.1,14.066,14.2,14.266,14.8,14.166,85.598
3,Hashimoto Daiki Japan,14.5,13.266,13.7,14.366,14.6,15,85.432
4,Jake Jarman Great Britain,14.366,13.9,13.233,14,14.566,13.966,84.031
5,James Hall Great Britain,13.966,14.033,13.833,13.5,14.466,13.833,83.631
6,Fred Richard United States,14.6,14.2,13.4,14.533,14.6,12.233,83.566
7,Milad Karimi Kazakhstan,14.5,12.2,13.166,14.566,14.2,14.6,83.232
8,Asher Hong United States,14.3,13.1,13.966,14.766,14.833,12.2,83.165
9,Artem Dolgopyat Israel,15.1,13.5,12.833,14.4,13.866,13.3,82.999
10,Adem Asil Türkiye,13.8,12.866,14.166,14.566,13.866,13.366,82.63
11,Yumin Abbadini Italy,13.533,13.5,13.5,13.966,14,14.033,82.532
12,Noe Seifert Switzerland,14.2,12.766,13.366,14.066,14.333,13.733,82.464
13,Lukas Dauser Germany,13.433,13.233,12.966,13.866,15.3,13.566,82.364
14,Sun Wei China,13.6,12.966,13.633,14.2,14.233,13.466,82.098
15,Lorenzo Casali Italy,13.6,13.2,13.566,14.566,14,13.133,82.065
16,Artur Davtyan Armenia,13.233,13.833,13.833,15.033,13.2,12.9,82.032
17,Rene Cournoyer Canada,13.5,12.933,13.666,14.233,13.8,13.866,81.998
18,Krisztofer Meszaros Hungary,14.2,13.5,13.7,14.133,14.2,12.2,81.933
19,Illia Kovtun Ukraine,13.133,14.366,13.133,14.266,15.233,11.8,81.931
20,Florian Langenegger Switzerland,14.2,13.366,12.933,14.266,13.866,13.233,81.864
21,Casimir Schmidt Netherlands,13.533,13.133,13.933,14.366,13.6,13.266,81.831
22,Mario Macchiati Italy,13.633,13.2,13.1,14.5,14.166,13.2,81.799
23,Lee Junho South Korea,13.633,12.666,13.566,14.3,14,13.5,81.665
24,Ilia Liubimov Israel,13.633,13.9,12.466,14.033,13.933,13.433,81.398
25,Ahmet Önder Türkiye,14.266,12.966,13.4,14.166,12.766,13.6,81.164
26,Diogo Soares Brazil,12.866,13.766,13,14.033,14.233,13.166,81.064
27,Nestor Abad Spain,14.166,13.1,13.6,13.2,13.8,13.033,80.899
28,Thierno Diallo Spain,13.633,13.6,13.3,14,14.366,11.9,80.799
29,Luka van den Keybus Belgium,13.933,12.066,12.8,14.4,14.366,13.233,80.798
30,Andrei Muntean Romania,13.633,11.666,13.5,14.5,14.4,12.966,80.665
31,Khabibullo Ergashev Uzbekistan,13.233,13.966,13.1,14,13.133,13.233,80.665
32,Ivan Tikhonov Azerbaijan,13.733,13.466,13.533,13.966,13.266,12.666,80.63
33,Sofus Heggemsnes Norway,13.2,12.8,13.066,14.3,13.933,13.2,80.499
34,Pascal Brendel Germany,14,13.3,13.2,12.833,12.8,13.933,80.066
35,Patrick Sampaio Brazil,13.6,11.966,13.366,13.866,13.533,13.6,79.931
36,Abdulla Azimov Uzbekistan,13.7,14.333,12.366,13.833,12.533,13.1,79.865
37,Omar Mohamed Egypt,13.566,12.333,12.9,14,13.666,13.2,79.665
38,Clay Mason Stephens Australia,13.833,12.133,12.566,14.2,13.666,13.266,79.664
39,Oskar Kirmes Finland,13.233,12.4,13.266,13.933,13.766,13.033,79.631
40,Ilias Georgiou Cyprus,12.433,12.066,13.4,14.366,14.133,13.066,79.464
41,Oleg Verniaiev Ukraine,13.533,12,12.866,13.366,14.8,12.6,79.165
