0,1,2,3,4,5,6,7,8
Rank,Nation,FX,PH,SR,VT,PB,HB,Total
1,JAPAN,41.666,41.532,41.499,44.533,44.432,41.932,255.594
1,Chiba Kenta,12.933,13.066,13.766,——,——,13.566,255.594
1,Hashimoto Daiki,14.300,14.266,——,14.900,14.866,14.366,255.594
1,Kaya Kazuma,——,14.200,14.033,14.633,14.733,14.000,255.594
1,Minami Kazuki,14.433,——,——,15.000,——,——,255.594
1,Sugimoto Kaito,——,——,13.700,——,14.833,——,255.594
2,CHINA,41.933,40.866,43.832,43.299,44.365,39.499,253.794
2,Lin Chaopan,13.800,13.200,——,13.733,14.666,14.133,253.794
2,Liu Yang,——,——,15.000,——,——,——,253.794
2,Su Weide,14.100,——,——,14.700,——,11.166,253.794
2,Sun Wei,14.033,14.266,13.966,14.866,14.733,14.200,253.794
2,You Hao,——,13.400,14.866,——,14.966,——,253.794
3,UNITED STATES,42.698,39.633,41.466,44.166,43.166,41.299,252.428
3,Asher Hong,13.966,——,14.000,15.100,14.200,——,252.428
3,Paul Juda,——,——,13.600,14.400,——,13.933,252.428
3,Yul Moldauer,14.366,13.533,13.866,——,14.933,——,252.428
3,Fred Richard,14.366,12.500,——,——,14.033,14.533,252.428
3,Khoi Young,——,13.600,——,14.666,——,12.833,252.428
4,GREAT BRITAIN,41.299,40.432,41.666,44.599,42.432,39.033,249.461
4,James Hall,13.966,11.933,13.466,——,14.466,12.433,249.461
4,Harry Hepworth,12.800,——,14.100,14.866,——,——,249.461
4,Jake Jarman,14.533,13.233,——,15.400,14.166,13.200,249.461
4,Courtney Tulloch,——,——,14.100,14.333,——,——,249.461
4,Max Whitlock,——,15.266,——,——,13.800,13.400,249.461
5,SWITZERLAND,39.399,40.165,39.899,42.299,41.232,41.432,244.426
5,Christian Baumann,——,——,13.566,——,14.133,13.866,244.426
5,Luca Giubellini,12.033,13.166,——,14.433,——,——,244.426
5,Florian Langenegger,13.766,13.433,13.000,14.233,——,——,244.426
5,Noe Seifert,13.600,13.566,13.333,——,14.033,13.800,244.426
5,Taha Serhani,——,——,——,13.633,13.066,13.766,244.426
6,GERMANY,41.466,40.532,40.332,41.432,41.198,39.066,244.026
6,Pascal Brendel,14.000,13.566,12.766,14.100,13.566,13.800,244.026
6,Lukas Dauser,——,——,——,——,15.366,13.266,244.026
6,Nils Dunkel,——,13.466,13.700,——,——,——,244.026
6,Nick Klessing,14.100,——,13.866,12.966,——,——,244.026
6,Lucas Kochan,13.366,13.500,——,14.366,12.266,12.000,244.026
7,CANADA,40.166,39.066,41.066,42.766,41.799,38.165,243.028
7,Zachary Clay,——,14.200,——,——,——,——,243.028
7,Rene Cournoyer,12.600,11.033,13.533,14.400,13.666,13.866,243.028
7,Félix Dolci,14.033,——,13.733,14.333,14.100,14.033,243.028
7,William Emard,13.533,——,13.800,14.033,14.033,10.266,243.028
7,Jayson Rampersad,——,13.833,——,——,——,——,243.028
8,ITALY,41.999,36.499,39.899,43.299,39.432,40.032,241.160
8,Yumin Abbadini,13.900,12.733,13.266,——,——,14.033,241.160
8,Nicola Bartolini,14.033,13.133,——,14.566,——,——,241.160
8,Lorenzo Casali,14.066,——,13.500,14.400,12.900,——,241.160
8,Matteo Levantesi,——,——,——,——,12.366,13.166,241.160
8,Mario Macchiati,——,10.633,13.133,14.333,14.166,12.833,241.160
