Rank,Athlete,Nation,D,E,ND,Total
1,Artem Dolgopyat,Israel,6.4,8.633,,15.033
2,Lin Chaopan,China,6.2,8.733,,14.933
3,Nikita Nagornyy,Russia,6.4,8.5,,14.9
4,Xiao Ruoteng,China,6.2,8.633,,14.833
5,Artur Dalaloyan,Russia,6.5,8.233,,14.733
6,Kim Han-sol,South Korea,6.1,8.566,,14.666
7,Carlos Edriel Yulo,Philippines,6.5,8.133,,14.633
8,Dominick Cunningham,Great Britain,6.1,8.5,,14.6
9,Nicolau Mir,Spain,6,8.533,,14.533
10,Yul Moldauer,United States,5.8,8.666,,14.466
11,Daiki Hashimoto,Japan,5.8,8.633,,14.433
12,Milad Karimi,Kazakhstan,6.2,8.333,-0.1,14.433
13,Lee Jun-ho,South Korea,6,8.366,,14.366
14,Lee Chih Kai,Chinese Taipei,5.8,8.533,,14.333
15,Giarnni Regini-Moran,Great Britain,5.9,8.416,,14.316
16,Alexander Shatilov,Israel,5.9,8.4,,14.3
17,William Emard,Canada,5.9,8.333,,14.233
18,Tang Chia-Hung,Chinese Taipei,5.4,8.766,,14.166
19,Sun Wei,China,5.5,8.666,,14.166
20,James Hall,Great Britain,5.7,8.566,-0.1,14.166
21,Arthur Mariano,Brazil,5.6,8.566,,14.166
21,Emil Soravuo,Finland,5.6,8.566,,14.166
23,Loris Frasca,France,5.7,8.466,,14.166
24,Deng Shudi,China,6.3,8.166,-0.3,14.166
25,Pablo Brägger,Switzerland,6,8.441,-0.3,14.141
26,Luka van den Keybus,Belgium,5.6,8.533,,14.133
27,Petro Pakhniuk,Ukraine,5.7,8.433,,14.133
27,Yevgen Yudenkov,Ukraine,5.7,8.433,,14.133
29,Stian Skjerahaug,Norway,5.6,8.6,-0.1,14.1
30,Nicola Bartolini,Italy,5.8,8.3,,14.1
31,Nestor Abad,Spain,5.9,8.2,,14.1
32,Nick Klessing,Germany,5.7,8.366,,14.066
33,Marian Dragulescu,Romania,5.9,8.166,,14.066
34,Caio Souza,Brazil,5.5,8.533,,14.033
35,Benjamin Gischard,Switzerland,5.7,8.333,,14.033
36,Casimir Schmidt,Netherlands,5.9,8.133,,14.033
37,Niccolo Mozzato,Italy,5.5,8.5,,14
37,Bart Deurloo,Netherlands,5.5,8.5,,14
39,Tomas Gonzalez,Chile,5.9,8.1,,14
40,David Rumbutis,Sweden,5.5,8.466,,13.966
41,Dzianis Sanuvonh,Belarus,5.4,8.533,,13.933
41,Konstantin Kuzovkov,Georgia,5.4,8.533,,13.933
43,Kazuma Kaya,Japan,5.8,8.433,-0.3,13.933
44,Ahmet Önder,Turkey,5.6,8.333,,13.933
45,Philipp Herder,Germany,5.7,8.233,,13.933
