Rank,Athlete,Nation,D,E,ND,Total
1,Lukas Dauser,Germany,6.3,8.733,,15.033
2,Petro Pakhniuk,Ukraine,6.5,8.533,,15.033
3,Joe Fraser,Great Britain,6.6,8.4,,15
4,Xiao Ruoteng,China,6.2,8.766,,14.966
5,Ferhat Arican,Turkey,6.5,8.433,,14.933
6,Sun Wei,China,6.2,8.6,,14.8
6,Ahmet Önder,Turkey,6.2,8.6,,14.8
8,Kazuma Kaya,Japan,6.3,8.5,,14.8
9,Nikita Nagornyy,Russia,6.4,8.4,,14.8
10,Oleg Verniaiev,Ukraine,6.6,8.2,,14.8
11,Artur Dalaloyan,Russia,6.4,8.333,,14.733
12,Yuya Kamoto,Japan,6.5,8.2,,14.7
13,Pablo Brägger,Switzerland,6.2,8.466,,14.666
14,Caio Souza,Brazil,6.1,8.533,,14.633
15,Kakeru Tanigawa,Japan,6.2,8.433,,14.633
16,Zou Jingyuan,China,6.3,8.333,,14.633
17,Christian Baumann,Switzerland,5.9,8.666,,14.566
18,Akash Modi,United States,6.1,8.433,,14.533
19,Deng Shudi,China,6.4,8.066,,14.466
19,Dinh Phuong Thanh,Vietnam,6.4,8.066,,14.466
21,Nicolau Mir,Spain,5.8,8.633,,14.433
22,Carlos Edriel Yulo,Philippines,5.9,8.533,,14.433
22,Andrei Muntean,Romania,5.9,8.533,,14.433
22,Oliver Hegi,Switzerland,5.9,8.533,,14.433
25,Yul Moldauer,United States,6,8.4,,14.4
26,Rasuljon Abdurakhimov,Uzbekistan,5.6,8.733,,14.333
27,Epke zonderland,Netherlands,5.9,8.433,,14.333
28,Samuel Mikulak,United States,6.4,7.933,,14.333
29,Andrey Likhovitskiy,Belarus,5.5,8.766,,14.266
30,Jackson Payne,Canada,5.8,8.466,,14.266
30,Lee Jung-hyo,South Korea,5.8,8.466,,14.266
32,Ivan Stretovich,Russia,5.9,8.366,,14.266
32,Eddy Yusof,Switzerland,5.9,8.366,,14.266
34,Ilias Georgiou,Cyprus,5.4,8.7,,14.1
35,Robert Tvorogal,Lithuania,5.6,8.5,,14.1
36,Joel Plata,Spain,5.4,8.666,,14.066
37,Yevgen Yudenkov,Ukraine,5.8,8.233,,14.033
38,Shane Wiskus,United States,6,8.033,,14.033
39,Audrys Nin Reyes,Dominican Republic,5.3,8.725,,14.025
40,Yordan Aleksandrov,Bulgaria,5.5,8.508,,14.008
41,Max Whitlock,Great Britain,5.3,8.7,,14
42,Nestor Abad,Spain,5.5,8.5,,14
43,Cory Paterson,Canada,5.6,8.4,,14
43,Kim Han-sol,South Korea,5.6,8.4,,14
45,Milad Karimi,Kazakhstan,5.8,8.2,,14
46,Lee Chih Kai,Chinese Taipei,5.8,8.166,,13.966
47,Nikolaos Iliopoulos,Greece,5.4,8.5,,13.9
48,Ludovico Edalli,Italy,5.8,8.1,,13.9
49,Mikhail Koudinov,New Zealand,5.9,8,,13.9
50,Wataru Tanigawa,Japan,6.4,7.5,,13.9
51,Samuel Zakutney,Canada,5.5,8.366,,13.866
52,Noah Kuavita,Belgium,5.6,8.266,,13.866
53,Rene Cournoyer,Canada,5.2,8.6,,13.8
54,Andreas Toba,Germany,5.3,8.5,,13.8
55,David Huddleston,Bulgaria,5.4,8.4,,13.8
56,Vladyslav Hryko,Ukraine,5.7,8.1,,13.8
57,Frank Rijken,Netherlands,5.6,8.166,,13.766
58,James Hall,Great Britain,5.8,7.966,,13.766
58,Daniel Corral,Mexico,5.8,7.966,,13.766
60,Yu Chao Wei,Chinese Taipei,5.3,8.433,,13.733
61,Karl Idesjö,Sweden,5.4,8.333,,13.733
62,Cyril Tommasone,France,5.3,8.4,,13.7
63,Tomas Kuzmickas,Lithuania,5.1,8.566,,13.666
64,Artem Dolgopyat,Israel,5.2,8.466,,13.666
64,Loo Phay Xing,Malaysia,5.2,8.466,,13.666
66,Vlad Cotuna,Romania,5.6,8.033,,13.633
67,Alexander Shatilov,Israel,5,8.6,,13.6
68,Akim Mussayev,Kazakhstan,5.2,8.4,,13.6
