Rank,Athlete,Nation,D,E,ND,Total
1,Ibrahim Colak,Turkey,6.2,8.658,,14.858
2,Arthur Zanetti,Brazil,6.1,8.6,,14.7
3,Samir Aït Saïd,France,6.2,8.5,,14.7
4,Eleftherios Petrounias,Greece,6.3,8.4,,14.7
5,Marco Lodadio,Italy,6.3,8.366,,14.666
6,Denis Abliazin,Russia,6.1,8.5,,14.6
7,Nick Klessing,Germany,6,8.566,,14.566
8,Artur Tovmasyan,Armenia,6.1,8.466,,14.566
9,Igor Radivilov,Ukraine,6.3,8.233,,14.533
10,Federico Molinari,Argentina,6.2,8.3,,14.5
11,Mahdi Ahmad Kohani,Iran,6.2,8.233,,14.433
12,Nikita Nagornyy,Russia,6,8.4,,14.4
13,Ali Zahran,Egypt,6.2,8.2,,14.4
14,Andrei Muntean,Romania,5.9,8.433,,14.333
15,Zou Jingyuan,China,5.8,8.5,,14.3
16,Vinzenz Höck,Austria,6.2,8.1,,14.3
17,Yuya Kamoto,Japan,6.2,8.083,,14.283
18,Konstantinos Konstantinidis,Greece,6,8.133,,14.133
18,Artur Dalaloyan,Russia,6,8.133,,14.133
20,Ng Kiu Chung,Hong Kong,6.2,7.933,,14.133
21,Deng Shudi,China,6.2,7.9,,14.1
22,Fabian de Luna,Mexico,6,8.066,,14.066
22,Caio Souza,Brazil,6,8.066,,14.066
24,Kazuma Kaya,Japan,6.1,7.933,,14.033
24,Trevor Howard,United States,6.1,7.933,,14.033
26,Andreas Toba,Germany,5.8,8.2,,14
27,Sun Wei,China,5.9,8.1,,14
28,Wataru Tanigawa,Japan,6,7.966,,13.966
29,Oleg Verniaiev,Ukraine,5.7,8.233,,13.933
30,Ahmet Önder,Turkey,6,7.933,,13.933
31,Nikita Simonov,Azerbaijan,5.8,8.066,,13.866
31,Joe Fraser,Great Britain,5.8,8.066,,13.866
33,Dominick Cunningham,Great Britain,5.5,8.333,,13.833
34,Xiao Ruoteng,China,5.7,8.133,,13.833
35,Yu Chao Wei,Chinese Taipei,5.8,8.033,,13.833
36,Artur Davtyan,Armenia,5.3,8.5,,13.8
37,Yul Moldauer,United States,5.6,8.2,,13.8
38,Yang Hak-seon,South Korea,5.8,8,,13.8
39,William Emard,Canada,5.9,7.9,,13.8
40,James Hall,Great Britain,5.6,8.166,,13.766
40,Park Min-soo,South Korea,5.6,8.166,,13.766
42,Tang Chia-Hung,Chinese Taipei,5.7,8.066,,13.766
43,Eddy Yusof,Switzerland,5.5,8.233,,13.733
44,Samuel Mikulak,United States,5.4,8.3,,13.7
45,Casimir Schmidt,Netherlands,5.4,8.266,,13.666
46,Manrique Larduet,Cuba,5.6,8.066,,13.666
47,Yevgen Yudenkov,Ukraine,5.7,7.966,,13.666
48,Yunus Gündogdu,Turkey,5.9,7.766,,13.666
48,Akash Modi,United States,5.9,7.766,,13.666
50,Kakeru Tanigawa,Japan,5.4,8.233,,13.633
51,Nestor Abad,Spain,5.5,8.1,,13.6
52,Lee Jung-hyo,South Korea,5.4,8.166,,13.566
53,Christian Baumann,Switzerland,5.1,8.433,,13.533
54,Kim Han-sol,South Korea,5.4,8.133,,13.533
55,Lee Chih Kai,Chinese Taipei,5.3,8.2,,13.5
56,Petrix Barbosa,Portugal,5.6,7.9,,13.5
57,Petro Pakhniuk,Ukraine,5.3,8.166,,13.466
58,Ivan Tikhonov,Azerbaijan,5.3,8.133,,13.433
