Rank,Athlete,Nation,D,E,ND,Total
1,Ahmet Önder,Turkey,5.9,8.366,,14.266
2,Rayderley Zapata,Spain,6.1,8.225,-0.1,14.225
3,Carlos Edriel Yulo,Philippines,6.2,8.033,-0.1,14.133
4,Kim Han-sol,South Korea,6.2,7.933,,14.133
5,Hibiki Arayashiki,Japan,5.9,8.2,,14.1
6,Dominick Cunningham,Great Britain,5.8,8.266,,14.066
7,Casimir Schmidt,Netherlands,5.9,8.066,,13.966
8,Christopher Remkes,Australia,6.3,7.633,-0.1,13.833
9,Arthur Zanetti,Brazil,5.8,7.966,,13.766
10,Milad Karimi,Kazakhstan,6,7.733,,13.733
11,Alexander Shatilov,Israel,5.4,8.266,,13.666
12,Heikki Saarenketo,Finland,6,7.666,,13.666
13,Bram Verhofstad,Netherlands,5.9,7.733,-0.1,13.533
14,Akim Mussayev,Kazakhstan,6,7.233,-0.3,12.933
15,Zhou Caisong,China,6,6.866,,12.866
16,Hung Shih-Tung,Chinese Taipei,5.4,7.633,-0.2,12.833
17,Rok Klavora,Slovenia,5.7,7.133,,12.833
18,Loris Frasca,France,5.8,7.033,,12.833
19,Daniel Villafane,Argentina,5.6,7.2,,12.8
20,Valgard Reinhardsson,Iceland,5.3,7.466,,12.766
21,Lincoln Liqht Man,Singapore,4.8,7.833,,12.633
22,Heath Thorpe,Australia,5.7,6.933,,12.633
23,Tomomasa Hasegawa,Japan,5.4,7.233,-0.1,12.533
24,Shin Jea-hwan,South Korea,5.4,7.333,-0.3,12.433
25,Wei An Terry Tay,Singapore,5.5,6.7,,12.2
26,Yazan Al Souliman,Syria,4.9,6.8,,11.7
