Rank,Athlete,Nation,D,E,ND,Total
1,Hidetaka Miyachi,Japan,5.9,8.733,,14.633
2,Tin Srbic,Croatia,5.9,8.733,,14.633
3,Zhang Chenglong,China,6.5,7.9,,14.4
4,Tyson Bull,Australia,5.6,8.566,,14.166
5,Milad Karimi,Kazakhstan,6,8.033,,14.033
5,Mitchell Morgans,Australia,6,8.033,,14.033
7,Ahmet Önder,Turkey,5.6,8.366,,13.966
8,Epke Zonderland,Netherlands,6.3,7.166,,13.466
9,Alexander Shatilov,Israel,5.2,8.233,,13.433
10,Tang Chia-Hung,Chinese Taipei,5.6,7.5,,13.1
11,Valgard Reinhardsson,Iceland,4.8,8.166,,12.966
12,Bram Verhofstad,Netherlands,5.5,7.2,,12.7
13,Hung Shih-Tung,Chinese Taipei,5,7.633,,12.633
14,Lincoln Liqht Man,Singapore,4.5,7.9,,12.4
15,Mikhail Koudinov,New Zealand,5.1,6.8,,11.9
16,Lim Kae-son,South Korea,3.1,8.333,,11.433
17,David Vecsernyes,Hungary,4.8,6.666,-0.3,11.166
