Rank,Athlete,Nation,D,E,ND,Total
1,Liu Yang,China,6.4,8.6,,15
2,You Hao,China,6.4,8.333,,14.733
3,Arthur Zanetti,Brazil,6.1,8.6,,14.7
4,Courtney Tulloch,Great Britain,6.4,8.3,,14.7
5,Igor Radivilov,Ukraine,6.3,8.333,,14.633
6,Ali Zahran,Egypt,6.2,7.966,,14.166
7,Ryan Oehrlein,Canada,6.1,8,,14.1
8,Kazuya Takahashi,Japan,6.2,7.833,,14.033
9,Ahmet Önder,Turkey,5.8,8,,13.8
10,Federico Molinari,Argentina,5.9,7.666,,13.566
11,Casimir Schmidt,Netherlands,5.7,7.666,,13.366
12,Daniel Villafane,Argentina,5.9,7.466,,13.366
13,Samir Aït Saïd,France,5.8,7.2,,13
14,Hung Shih-Tung,Chinese Taipei,4.9,7.6,,12.5
15,Michael Tone,Australia,5,7.1,,12.1
16,Wei An Terry Tay,Singapore,4.3,4.466,,8.766
