Rank,Athlete,Nation,D,E,ND,Total
1,Eleftherios Petrounias,Greece,6.3,8.8,,15.1
2,Liu Yang,China,6.4,8.6,,15
3,Lan Xingyu,China,6.4,8.533,,14.933
4,Arthur Zanetti,Brazil,6.2,8.566,,14.766
5,Courtney Tulloch,Great Britain,6.2,8.433,,14.633
6,Igor Radivilov,Ukraine,6,8.6,,14.6
7,Ali Zahran,Egypt,6.2,8.233,,14.433
8,Ng Kiu Chung,Hong Kong,6,8.133,,14.133
9,Konstantinos Konstantinidis,Greece,6.1,7.758,,13.858
10,Yunus Gündogdu,Turkey,5.9,7.933,,13.833
11,Alexey Rostov,Russia,5.5,8.266,,13.766
12,Abdelrahman Magdy Elgamal,Turkey,5.7,8.033,,13.733
13,Federico Molinari,Argentina,5.9,7.8,,13.7
14,Mahdi Ahmad Kohani,Iran,6.2,7.266,,13.466
15,Javidan Babayev,Azerbaijan,6,7.433,,13.433
16,Mitchell Morgans,Australia,4.9,8.333,,13.233
17,Marco Rizzo,Switzerland,5.7,7.533,,13.233
18,Rick Jacobs,Netherlands,5,8.066,,13.066
19,Takaaki Sugino,Japan,5.3,7.6,,12.9
20,Ivan Tikhonov,Azerbaijan,5.7,7.133,,12.833
21,Sebastian Gawronski,Poland,4.6,8.133,,12.733
22,Casimir Schmidt,Netherlands,5.1,7.633,,12.733
23,Dmitriy Patanin,Kazakhstan,4.5,8.066,,12.566
24,Lin Guan-Yi,Chinese Taipei,5.3,7,,12.3
25,Filip Sasnal,Poland,4.2,7.633,,11.833
26,Konstantin Kuzovkov,Georgia,3.6,8,,11.6
27,Tseng Wei-Sheng,Chinese Taipei,4.4,6.333,,10.733
