Rank,Athlete,Nation,D,E,ND,Total
1,Artem Dolgopyat,Israel,6.6,8.3,,14.9
2,Rayderley Zapata,Spain,6.3,8.3,,14.6
3,Milad Karimi,Kazakhstan,6.4,8.133,-0.1,14.433
4,Antonios Tantalidis,Greece,6.2,8.066,,14.266
5,Ilyas Azizov,Kazakhstan,6,8.191,,14.191
6,Adem Asil,Turkey,6.2,8.233,-0.3,14.133
7,Petro Pakhniuk,Ukraine,5.5,8.5,,14
8,Ahmet Önder,Turkey,6,7.933,-0.1,13.833
9,Marios Georgiou,Cyprus,5.5,8.366,-0.1,13.766
10,Diogo Soares,Brazil,5.2,8.466,,13.666
11,Yahor Sharamkou,Belarus,6.5,7.133,,13.633
12,Alexander Shatilov,Israel,5.4,8.066,,13.466
13,Yevgen Yudenkov,Ukraine,5.7,7.966,-0.3,13.366
14,Dzmitry Hurynovich,Belarus,5.6,7.766,,13.366
15,Nicolau Mir,Spain,5.8,7.4,,13.2
16,Tomas Rodrigues,Brazil,5.1,6.8,-0.1,11.8
17,Marko Jovicic,Croatia,4.9,6.466,,11.366
