Rank,Athlete,Nation,D,E,ND,Total
1,Nariman Kurbanov,Kazakhstan,6.4,8.5,,14.9
2,Marios Georgiou,Cyprus,6.4,8.5,,14.9
3,Saeedreza Keikha,Iran,6.1,8.566,,14.666
4,Kameyama Kohei,Japan,6.3,8.233,,14.533
5,Ahmad Abu Al Soud,Jordan,5.6,8.766,,14.366
6,Matvei Petrov,Albania,6.2,7.866,,14.066
7,Ferhat Arican,Turkey,5.7,8.233,,13.933
8,Milad Karimi,Kazakhstan,5.7,7.733,,13.433
9,Francisco Barretto,Brazil,5.7,7.7,,13.4
10,Andrey Likhovitskiy,Belarus,6,7.233,,13.233
11,Petro Pakhniuk,Ukraine,5.9,7.3,,13.2
12,Yevgen Yudenkov,Ukraine,5.6,7.333,,12.933
13,Artem Dolgopyat,Israel,5.8,7.133,,12.933
14,Ahmet Önder,Turkey,5.8,6.9,,12.7
15,Joel Plata,Spain,5.3,7.2,,12.5
16,Yahor Sharamkou,Belarus,4.8,7.4,,12.2
17,Ahmed Al Dyani,Qatar,5.4,6.633,,12.033
18,Antonios Tantalidis,Greece,5.3,6.633,,11.933
19,Tomas Rodrigues,Brazil,4.5,6.533,,11.033
20,Nestor Abad,Spain,4.6,5.4,,10
21,Mohamed Ashour,Egypt,5.1,4.866,,9.966
