Rank,Athlete,Nation,D,E,ND,Total
1,Eleftherios Petrounias,Greece,6.3,8.833,,15.133
2,Ibrahim Colak,Turkey,6.2,8.633,,14.833
3,Arthur Zanetti,Brazil,6.1,8.566,,14.666
4,Igor Radivilov,Ukraine,6,8.633,,14.633
5,Caio Souza,Brazil,6,8.6,,14.6
6,Mahdi Ahmad Kohani,Iran,6.2,8.3,,14.5
7,Ali Zahran,Egypt,6.2,8,,14.2
8,Ahmet Önder,Turkey,6,8.1,,14.1
9,Nestor Abad,Spain,5.5,8.433,,13.933
10,Marios Georgiou,Cyprus,5,8.233,,13.233
11,Joel Plata,Spain,5.5,7.666,,13.166
12,Milad Karimi,Kazakhstan,4.9,7.8,,12.7
13,Yevgen Yudenkov,Ukraine,5.6,6.966,,12.566
