0,1,2,3,4,5,6,7
Rank,Athlete,Nation,D,E,ND,Total,Average
1,Yonekura Hidenobu,Japan,6.0,8.900,,14.900,14.633
1,Yonekura Hidenobu,Japan,5.6,8.766,,14.366,14.633
2,Igor Radivilov,Ukraine,5.6,8.933,,14.533,14.616
2,Igor Radivilov,Ukraine,5.6,9.100,,14.700,14.616
3,Mahdi Olfati,Iran,5.6,9.000,,14.600,14.433
3,Mahdi Olfati,Iran,5.2,9.066,,14.266,14.433
4,Adem Asil,Turkey,6.0,8.766,,14.766,14.116
4,Adem Asil,Turkey,5.6,7.966,-0.1,13.466,14.116
5,Milad Karimi,Kazakhstan,5.6,9.108,,14.708,14.037
5,Milad Karimi,Kazakhstan,4.8,8.666,-0.1,13.366,14.037
6,Shin Jea-hwan,South Korea,6.0,7.933,,13.933,14.024
6,Shin Jea-hwan,South Korea,5.6,8.816,-0.3,14.116,14.024
7,Rayderley Zapata,Spain,5.6,8.900,-0.1,14.400,14.016
7,Rayderley Zapata,Spain,4.8,8.833,,13.633,14.016
8,Andrey Medvedev,Israel,5.6,7.900,-0.3,13.200,13.933
8,Andrey Medvedev,Israel,6.0,8.766,-0.1,14.666,13.933
9,Antonios Tantalidis,Greece,5.2,8.708,-0.1,13.808,13.920
9,Antonios Tantalidis,Greece,5.2,8.933,-0.1,14.033,13.920
10,Caio Souza,Brazil,5.6,8.066,-0.3,13.366,13.853
10,Caio Souza,Brazil,5.6,8.741,,14.341,13.853
11,Ahmet Önder,Turkey,5.6,7.800,-0.1,13.300,13.633
11,Ahmet Önder,Turkey,5.2,8.766,,13.966,13.633
12,Marios Georgiou,Cyprus,5.2,7.833,,13.033,13.549
12,Marios Georgiou,Cyprus,4.8,9.266,,14.066,13.549
13,Tomas Rodrigues,Brazil,5.2,8.866,,14.066,13.466
13,Tomas Rodrigues,Brazil,5.2,7.766,-0.1,12.866,13.466
14,Yahor Sharamkou,Belarus,5.6,7.800,-0.3,13.100,13.283
14,Yahor Sharamkou,Belarus,4.6,7.866,,13.466,13.283
15,Jorge Vega Lopez,Guatemala,5.2,9.233,,14.433,13.149
15,Jorge Vega Lopez,Guatemala,4.8,7.966,-0.1,12.666,13.149
