Rank,Team,vt,ub,bb,fx,Total
1,ROC,43.799 (1),44.699 (1),39.532 (4),41.498 (1),169.528
,Lilia Akhaimova(ROC),14.733,,,,
,Viktoria Listunova(ROC),,14.9,14.333,14.166,
,Angelina Melnikova(ROC),14.6,14.933,12.566,13.966,
,Vladislava Urazova(ROC),14.466,14.866,12.633,13.366,
2,United States,42.732 (4),43.266 (2),41.232 (2),38.866 (8),166.096
,Simone Biles(USA),13.766,,,,
,Jordan Chiles(USA),14.666,14.166,13.433,11.7,
,Sunisa Lee(USA),,15.4,14.133,13.666,
,Grace McCallum(USA),14.3,13.7,13.666,13.5,
3,Great Britain,43.132 (3),41.765 (3),38.866 (6),40.333 (3),164.096
,Jennifer Gadirova(GBR),14.433,,13.3,13.7,
,Jessica Gadirova(GBR),14.433,13.566,,13.833,
,Alice Kinsella(GBR),14.266,14.166,13.333,12.8,
,Amelie Morgan(GBR),,14.033,12.233,,
4,Italy,42.665 (5),41.499 (5),39.108 (5),40.366 (2),163.638
,Alice D'Amato(ITA),14.166,14.166,13.133,13.1,
,Asia D'Amato(ITA),14.266,13.9,12.9,13.166,
,Vanessa Ferrari(ITA),14.233,,,14.1,
,Martina Maggio(ITA),,13.433,13.075,,
5,Japan,42.349 (6),40.133 (8),40.732 (3),40.066 (4),163.28
,Hitomi Hatakeda(JPN),,14.1,13.333,12.8,
,Yuna Hiraiwa(JPN),13.9,,13.566,,
,Mai Murakami(JPN),14.266,12.7,13.833,14.066,
,Aiko Sugihara(JPN),14.183,13.333,,13.2,
6,France,43.600 (2),41.399 (6),38.465 (7),39.800 (5),163.264
,Marine Boyer(FRA),,,12.066,13,
,Mélanie de Jesus dos Santos(FRA),14.5,14.2,13.566,13.7,
,Aline Friess(FRA),14.9,13.733,,,
,Carolann Héduit(FRA),14.2,13.466,12.833,13.1,
7,China,39.366 (8),41.066 (7),41.599 (1),39.165 (7),161.196
,Lu Yufei(CHN),,13.333,13.966,13.166,
,Ou Yushan(CHN),12.7,13.233,,,
,Tang Xijing(CHN),12.6,14.5,13.733,12.866,
,Zhang Jin(CHN),14.066,,13.9,13.133,
8,Belgium,41.732 (7),41.632 (4),36.999 (8),39.332 (6),159.965
,Maellyse Brassart(BEL),14.033,,10.933,,
,Nina Derwael(BEL),,15.4,13.866,13.366,
,Lisa Vaelen(BEL),14.233,13.766,,12.9,
,Jutta Verkest(BEL),13.466,12.466,12.2,13.066,
