Rank,Athlete,Nation,D,E,ND,Total
1,Polina Fedorova,Russia,5.9,8.2,,14.1
2,Kelly Simm,Great Britain,5.8,8.1,,13.9
3,Daria Elizarova,Russia,5.6,8.3,-0.1,13.8
4,Asuka Teramoto,Japan,5.5,8.2,,13.7
5,Farah Ann Abdul Hadi,Malaysia,5.3,8.25,,13.55
6,Filipa Martins,Portugal,5.5,8.05,,13.55
7,Natsumi Sasada,Japan,5.4,8.1,,13.5
8,Alla Sidorenko,Russia,5.5,8,,13.5
9,Wakana Inoue,Japan,5.2,8.15,,13.35
10,Park Jisoo,South Korea,5.2,8.05,,13.25
11,Dilnoza Abdusalimova,Uzbekistan,5.2,8,,13.2
12,Maria Paseka,Russia,4.6,8.4,,13
13,Heo Seonmi,South Korea,5.1,7.9,,13
14,Claudia Cummins,South Africa,4.9,8,,12.9
15,Sakura Yumoto,Japan,4.9,8.05,-0.1,12.85
16,Eum Dayeon,South Korea,4.9,7.9,,12.8
17,Park Eunkyung,South Korea,4.9,7.8,,12.7
18,Tan Ing Yueh,Malaysia,4.6,8.05,,12.65
19,Emma Nedov,Australia,4.9,7.9,-0.4,12.4
20,Tracie Ang,Malaysia,4.9,7.8,-0.3,12.4
21,Mariana Vazquez,Mexico,4.9,7.375,,12.275
22,Simone Penker,Austria,4.4,7.7,,12.1
23,Nur Eli Ellina Azmi,Malaysia,4.7,7.55,-0.3,11.95
24,Sofie Bråten,Norway,4.6,7.45,-0.2,11.85
25,Tiril Døvre,Norway,4.3,7.25,,11.55
26,Carmen Horvat,Slovenia,3.8,7.5,,11.3
27,Elisabeth Geurts,Netherlands,3.9,7.4,-0.3,11
28,Jordan Rae,New Zealand,1.1,8.25,-6,3.35
