Rank,Athlete,Pen.1,D Score1,E Score1,Score1,D Score2,E Score2,Pen.2,Score2,Total
1,Marina Nekrasova(AZE),1,5.4,8.7,14.1,5.2,8.8,0.1,13.9,14
,,,,,,,,,,
2,Lilia Akhaimova(RUS),1,5.8,8.55,14.35,4.8,8.8,,13.6,13.975
,,,,,,,,,,
3,Tatiana Nabieva(RUS),1,5.4,9.1,14.5,4.8,8.65,0.1,13.35,13.925
,,,,,,,,,,
4,Yana Fedorova(UKR),1,4.6,9.1,13.7,4,9,,13,13.35
,,,,,,,,,,
5,Rifda Irfanaluthfi(INA),1,4.4,8.7,13.1,4.6,8.85,,13.45,13.275
,,,,,,,,,,
6,Elze Geurts(NED),1,5,8.75,13.75,4.2,8.45,,12.65,13.2
,,,,,,,,,,
7,Tan Ing Yueh(MAS),1,4.6,8.5,13.275,4.6,8.5,0.3,12.8,13.037
,,,,,,,,,,
8,Fang Ko-ching(TPE),1,4.6,8.65,13.25,4.2,8.6,,12.8,13.025
