Rank,Gymnast,vt,ub,bb,fx,Total
1,Viktoria Listunova,14.466,14.333,14.066,13.866,56.731
2,Angelina Melnikova,14.733,13.733,12.833,14.133,55.432
3,Jessica Gadirova,14.6,13.3,13.5,13.7,55.1
4,Amelie Morgan,13.633,13.733,13.433,12.766,53.565
5,Elisabeth Seitz,13.566,14.033,12.933,12.866,53.398
6,Martina Maggio,14.233,11.8,13.4,12.933,52.366
7,Kim Bui,13.566,13.933,11.766,13.033,52.298
8,Lieke Wevers,13.566,13.3,12.866,12.533,52.265
9,Naomi Visser,13.433,13,13.233,12.533,52.199
10,Jutta Verkest,13.5,12.466,13.5,12.666,52.132
11,Filipa Martins,13.533,14.225,11.566,12.433,51.757
12,Carolann Héduit,13.866,13.266,11.7,12.833,51.665
13,Maisa Kuusikko,13.866,13,12.5,11.9,51.266
14,Tonya Paulsson,13.658,12.9,12.4,12,50.958
15,Sheyen Petit,13.266,11.7,13.133,12.666,50.765
16,Zója Székely,13.2,13.066,11.966,12.4,50.632
17,Csenge Bácskay,13.9,12.733,11.466,11.9,49.999
18,Barbora Mokošová,13.266,13.2,11.6,11.933,49.999
19,Emma Slevin,13.233,12.4,11.9,12.3,49.833
20,Anastasiia Bachynska,12.466,12.5,12.066,12.666,49.698
21,Ada Hautala,13.533,11.333,11.3,11.666,47.832
22,Lihie Raz,13.4,10.666,11.533,11.9,47.499
23,Elīna Vihrova,13.466,12.433,10.566,10.933,47.398
WD,Marta Pihan-Kulesza,0,0,0,5.166,DNF
