Rank,Athlete,Nation,D,E,ND,Total
1,Denisa Golgota,Romania,5.6,7.533,,13.133
2,Anastasiia Bachynska,Ukraine,5.1,7.966,,13.066
3,Jessica Castles,Sweden,4.9,8.066,,12.966
4,Angelina Radivilova,Ukraine,5.4,7.666,-0.1,12.966
5,Adela Sajn,Slovenia,4.7,8.166,,12.866
6,Aneta Holasova,Czech Republic,4.9,8.066,-0.1,12.866
7,Anastasiya Alistratava,Belarus,4.9,8.033,-0.1,12.833
8,Angelina Melnikova,Russia,5.4,7.4,,12.8
9,Georgia-Mae Fenton,Great Britain,4.9,7.833,,12.733
10,Diana Varinska,Ukraine,5.2,7.8,-0.3,12.7
11,Naomi Visser,Netherlands,4.9,7.766,,12.666
12,Elina Vihrova,Latvia,5.1,7.5,,12.6
13,Lorette Charpy,France,5,7.633,-0.1,12.533
14,Cintia Rodriguez,Spain,4.2,8.266,,12.466
15,Filipa Martins,Portugal,4.5,7.9,,12.4
16,Aline Friess,France,5,7.666,-0.3,12.366
17,Zoja Szekely,Hungary,4.6,7.733,,12.333
18,Aleksandra Shchekoldina,Russia,5.4,6.933,,12.333
19,Gabriela Janik,Poland,4.4,7.8,,12.2
19,Tjasa Kysselef,Slovenia,4.4,7.8,,12.2
21,Bianka Schermann,Hungary,4.9,7.166,,12.066
22,Dominika Ponizilova,Czech Republic,4.4,7.6,,12
23,Carolann Heduit,France,4.8,7.066,,11.866
24,Senna Deriks,Belgium,4.9,7.033,-0.1,11.833
25,Sara Peter,Hungary,5.1,6.666,,11.766
26,Emma Slevin,Ireland,4.5,7.533,-0.3,11.733
27,Chiara Bunce,Slovakia,4.6,6.966,,11.566
28,Ganna Metelitsa,Belarus,4.4,7.266,-0.3,11.366
29,Bianca Frysak,Austria,4.2,7.166,,11.366
30,Agnes Suto-Tuuha,Iceland,4,7.233,,11.233
31,Elvira Katsali,Greece,4.4,6.833,,11.233
32,Celeste Mordenti,Luxembourg,4.1,7.1,,11.2
33,Ofir Netzer,Israel,4.6,6.666,-0.1,11.166
34,Laney Madsen,Bulgaria,4.4,6.733,,11.133
35,Nazli Savranbasi,Turkey,4.8,6.3,,11.1
36,Laura de Witt,Netherlands,4.7,5.333,,10.033
