Rank,Athlete,Nation,D,E,ND,Total
1,Becky Downie,Great Britain,6.3,8.133,,14.433
2,Nina Derwael,Belgium,6.6,7.833,,14.433
3,Anastasia Iliankova,Russia,6.2,8.1,,14.3
4,Anastasiya Alistratava,Belarus,5.9,8.266,,14.166
5,Naomi Visser,Netherlands,5.7,8.4,,14.1
6,Angelina Melnikova,Russia,5.9,8.2,,14.1
7,Georgia-Mae Fenton,Great Britain,6.1,8,,14.1
8,Lorette Charpy,France,5.8,8.2,,14
9,Carolann Heduit,France,6.2,7.733,,13.933
10,Diana Varinska,Ukraine,6,7.9,,13.9
11,Bianka Schermann,Hungary,5.9,7.966,,13.866
12,Filipa Martins,Portugal,5.5,8.133,,13.633
13,Senna Deriks,Belgium,5.7,7.833,,13.533
14,Zoja Szekely,Hungary,5.6,7.866,,13.466
15,Aleksandra Shchekoldina,Russia,5.8,7.633,,13.433
16,Anastasiia Bachynska,Ukraine,5.5,7.766,,13.266
17,Laura de Witt,Netherlands,5.1,7.7,,12.8
17,Denisa Golgota,Romania,5.1,7.7,,12.8
19,Gabriela Janik,Poland,5.2,7.533,,12.733
20,Dominika Ponizilova,Czech Republic,4.8,7.9,,12.7
21,Ganna Metelitsa,Belarus,5.2,7.366,,12.566
22,Elina Vihrova,Latvia,4.4,8,,12.4
23,Aneta Holasova,Czech Republic,5,7.3,,12.3
24,Emma Slevin,Ireland,4.7,7.566,,12.266
25,Aline Friess,France,5.1,7.066,,12.166
26,Chiara Bunce,Slovakia,4.6,6.966,,11.566
27,Agnes Suto-Tuuha,Iceland,4,7.533,,11.533
28,Nazli Savranbasi,Turkey,4.6,6.866,,11.466
29,Angelina Radivilova,Ukraine,5.5,5.533,,11.033
30,Celeste Mordenti,Luxembourg,3.6,7,,10.6
31,Cintia Rodriguez,Spain,5.2,5.2,,10.4
32,Bianca Frysak,Austria,3.9,6.466,,10.366
33,Tjasa Kysselef,Slovenia,1.3,8.666,,9.966
34,Jessica Castles,Sweden,4.5,4.933,,9.433
35,Laney Madsen,Bulgaria,3.7,5.333,,9.033
36,Elvira Katsali,Greece,2.5,4.9,,7.4
