Rank,Athlete,Nation,D,E,ND,Total
1,Jonna Adlerteg,Sweden,6.2,8.4,,14.6
2,Nina Derwael,Belgium,6.3,8.1,,14.4
3,Uliana Perebinosova,Russia,6.1,8.166,,14.266
4,Kim Bui,Germany,6,8.2,,14.2
5,Juliette Bossu,France,6,8.166,,14.166
6,Angelina Melnikova,Russia,5.9,8.133,,14.033
7,Irina Alexeeva,Russia,5.9,8.033,,13.933
8,Lorette Charpy,France,5.8,8.1,,13.9
9,Kelly Simm,Great Britain,6,7.866,,13.866
10,Diana Varinska,Ukraine,5.9,7.9,,13.8
11,Melanie De Jesus Dos Santos,France,5.8,7.933,,13.733
12,Sanne Wevers,Netherlands,5.1,8.566,,13.666
13,Vera van Pol,Netherlands,5.2,8.2,,13.4
14,Ana Perez,Spain,5.3,8.1,,13.4
15,Celine van Gerner,Netherlands,5,8.333,,13.333
16,Axelle Klinckaert,Belgium,5.6,7.7,,13.3
17,Leah Griesser,Germany,5.4,7.866,,13.266
18,Filipa Martins,Portugal,5.3,7.9,,13.2
19,Barbora Mokosova,Slovakia,5.3,7.866,,13.166
20,Lucy Stanhope,Great Britain,5.4,7.666,,13.066
21,Senna Deriks,Belgium,5.6,7.4,,13
22,Pauline Schäfer,Germany,4.9,8,,12.9
23,Nora Feher,Hungary,5.2,7.633,,12.833
24,Helena Bonilla,Spain,5,7.8,,12.8
25,Dorina Böczögö,Hungary,4.9,7.8,,12.7
25,Caterina Cereghetti,Italy,4.9,7.8,,12.7
27,Georgia-Mae Fenton,Great Britain,6.1,6.566,,12.666
28,Leonie Meier,Switzerland,4.7,7.933,,12.633
29,Giada Grisetti,Italy,5.5,7.033,,12.533
30,Elisa Hämmerle,Austria,4.9,7.6,,12.5
31,Stefanie Siegenthaler,Switzerland,4.6,7.866,,12.466
32,Yana Fedorova,Ukraine,5.1,7.2,,12.3
33,Paula Raya,Spain,5.2,7.1,,12.3
34,Maija Leinonen,Finland,4.3,7.9,,12.2
35,Noemi Makra,Hungary,5,7.166,,12.166
35,Francesca Noemi Linari,Italy,5,7.166,,12.166
37,Evangelia Plyta,Greece,5,7.133,,12.133
38,Wiktoria Lopuszanska,Poland,4.2,7.866,,12.066
39,Helmi Murto,Finland,4.3,7.7,,12
40,Jasmin Mader,Austria,4.4,7.566,,11.966
41,Mariia Smirnova,Azerbaijan,4,7.933,,11.933
42,Thea Nygaard,Norway,4.3,7.566,,11.866
43,Lucie Jirikova,Czech Republic,4.4,7.466,,11.866
44,Valeriia Osipova,Ukraine,5.3,6.566,,11.866
45,Teja Belak,Slovenia,3.3,8.433,,11.733
46,Lucija Hribar,Slovenia,4.4,7.333,,11.733
47,Tutya Yilmaz,Turkey,4.6,7.133,,11.733
48,Meaghan Smith,Ireland,4.3,7.366,,11.666
49,Dominika Ponizilova,Czech Republic,4.7,6.933,,11.633
50,Denisa Golgota,Romania,4.9,6.733,,11.633
51,Mariana Pitrez,Portugal,4.3,7.3,,11.6
52,Yuliya Inshina,Azerbaijan,4.3,7.2,,11.5
53,Vasiliki Millousi,Greece,4.6,6.666,,11.266
54,Anna Subbotina,Georgia,4.8,6.4,,11.2
55,Marta Pihan-Kulesza,Poland,4.7,6.466,,11.166
56,Agnes Suto-Tuuha,Iceland,3.9,7.233,,11.133
57,Ofir Netzer,Israel,4.4,6.7,,11.1
58,Linnea Wang,Denmark,4,7.066,,11.066
59,Demet Mutlu,Turkey,4.6,6.433,,11.033
60,Julie Erichsen,Norway,4.1,6.866,,10.966
61,Ilaria Käslin,Switzerland,4.8,6.166,,10.966
62,Gabriela Janik,Poland,5.2,5.766,,10.966
63,Christina Zwicker,Croatia,3.4,7.333,,10.733
64,Beatriz Dias,Portugal,4.3,6.433,,10.733
65,Radoslava Kalamarova,Slovakia,4.4,6.3,,10.7
66,Laura Iacob,Romania,4.5,6.2,,10.7
67,Enni Kettunen,Finland,4.5,6.133,,10.633
68,Bianca Frysak,Austria,4.3,5.8,,10.6
69,Aneta Holasova,Czech Republic,4.8,5.8,,10.6
70,Carmen Ghiciuc,Romania,4.6,5.933,,10.533
71,Göksu Üctas Sanli,Turkey,2.8,7.966,-0.3,10.466
72,Thelma Adalsteinsdottir,Iceland,4.5,5.933,,10.433
73,Mette Hulgaard,Denmark,4,6.366,,10.366
74,Edel Fosse,Norway,4.2,6.166,,10.366
75,Argyro Afrati,Greece,4.6,5.666,,10.266
76,Tjasa Kysselef,Slovenia,1.4,8.6,,10
77,Marina Nekrasova,Azerbaijan,3.6,6.4,,10
78,Anastasija Dubova,Latvia,3.3,6.666,,9.966
79,Anastasia Theocharous,Cyprus,4.1,5.666,,9.766
80,Gloria Philassides,Cyprus,3.4,6.333,,9.733
81,Karolina Takacova,Slovakia,4.3,5.4,,9.7
82,Sigridur Bergthorsdottir,Iceland,3.5,5.666,,9.166
83,Agata Vostruchovaite,Lithuania,3.4,5.266,,8.666
84,Linda Tugarinova,Latvia,2.3,6.333,,8.633
85,Emilie Winther,Denmark,1.7,5.966,,7.666
86,Pamela Georgieva,Bulgaria,1.9,5.6,,7.5
87,Greta Banishka,Bulgaria,3.8,3.266,,7.066
88,Marija Ribalcenko,Latvia,4.2,2.466,-0.5,6.166
