Date,Competition,,VT,UB,BB,FX,AA
Oct 29-Nov 6,World Championships,EF,14.516*,0,0,13.733,0
Oct 29-Nov 6,World Championships,AA,14.733,13.166,12.633,14.166,54.698
Oct 29-Nov 6,World Championships,TF,14.8,0,12.8,14.1,0
Oct 29-Nov 6,World Championships,QF,14.6,13.333,13.133,14.066,55.132
Oct 21-22,U.S. Worlds Trials,EF,0,13.65,12.9,0,0
Oct 21-22,U.S. Worlds Trials,AA,14.3,13.6,13.75,13.8,55.45
Sep 24-25,Paris Challenge Cup,EF,14.375*,0,13.75,0,0
Sep 24-25,Paris Challenge Cup,QF,14.350*,0,13.4,0,0
Aug 18-21,U.S. Championships,AA,14.65,13.45,13.3,13.85,55.25
Aug 18-21,U.S. Championships,QF,14.8,13.6,13.2,14.05,55.65
