Date,Competition,,VT,UB,BB,FX,AA
Oct 21-22,U.S. Worlds Trials,EF,0,12.45,13.35,0,0
Oct 21-22,U.S. Worlds Trials,AA,12.9,12.55,12.45,13.05,50.95
Aug 18-21,U.S. Championships,AA,12.95,14.05,12.5,12.2,51.7
Aug 18-21,U.S. Championships,QF,13.1,13.75,11.95,12.35,51.15
Jul 29-31,U.S. Classic,AA,13,13.9,12.5,11.7,51.1
Jul 4-5,U.S. Pan Ams Trials,EF,0,12.833,12.966,0,0
Jul 4-5,U.S. Pan Ams Trials,AA,13.1,13.85,11.75,12.1,50.8
Mar 31-Apr 3,March National Team Camp,AA,12.65,12.2,12.15,12.5,49.5
Mar 18-20,DTB Pokal Team Challenge,EF,0,13.7,0,0,0
Mar 18-20,DTB Pokal Team Challenge,AA,0,14.033,0,0,0
Feb 24-27,Winter Cup,AA,12.85,13.95,13.05,12.8,52.65
12-Feb,WOGA Classic,AA,12.4,13.15,12.55,12.65,50.75
Jan 28-29,All American National Qualifier,AA,12.95,10.9,12.7,0,0
Jan 21-22,Vegas Cup National Qualifier,AA,0,13.5,12.7,0,0
