Date,Competition,,VT,UB,BB,FX,AA
Aug 18-21,U.S. Championships,AA,14,10.25,13.35,13.6,51.2
Aug 18-21,U.S. Championships,QF,14.15,10.95,12.6,13.55,51.25
Jul 14-17,Pan American Championships,EF,13.450*,0,13.2,13.133,0
Jul 14-17,Pan American Championships,AA,14.1,10.467,13.7,13.3,51.567
Jul 4-5,U.S. Pan Ams Trials,EF,0,11.6,13.7,0,0
Jul 4-5,U.S. Pan Ams Trials,AA,14.15,11.65,13.25,13.65,52.7
Apr 9-10,City of Jesolo Trophy,EF,13.500*,0,13.8,12.85,0
Apr 9-10,City of Jesolo Trophy,AA,13.867,11.933,13.633,13.067,52.5
Mar 31-Apr 3,March National Team Camp,AA,12.5,11.4,13.75,13.4,51.05
Mar 18-20,DTB Pokal Team Challenge,EF,13.683*,0,13.166,0,0
Mar 18-20,DTB Pokal Team Challenge,AA,14.1,0,12.766,12.566,0
Feb 24-27,Winter Cup,AA,13.7,9.5,13.85,13.35,50.4
