Rank,Athlete,Nation,Meet,Score
1,Qiu Qiyuan,China,Chinese Championships EF,14.9
1,Angelina Melnikova,Russia,Russian Championships AA,14.9
1,Zlata Osokina*,Russia,Russian Junior Championships AA,14.9
4,Zhang Qingying,China,Asian Championships AA,14.833
5,Simone Biles,United States,U.S. Classic,14.8
6,Ekaterina Andreeva*,Russia,Russian Junior Championships AA,14.6
7,Yana Vorona,Russia,Russian Championships EF,14.5
7,Sunisa Lee,United States,U.S. Classic,14.5
9,Marine Boyer,France,French Championships EF,14.45
10,Alyona Glotova,Russia,Russian Championships QF,14.433
