Rank,Athlete,Nation,Meet,Score
1,Simone Biles,United States,U.S. Classic,58.9
2,Viktoria Listunova,Russia,Russian Championships AA,58.532
3,Angelina Melnikova,Russia,Russian Championships AA,58.166
4,Mélanie De Jesus Dos Santos,France,U.S. Classic,56.2
5,Zlata Osokina*,Russia,Russian Junior Championships AA,56.132
6,Lyudmila Roshchina*,Russia,Russian Junior Championships QF,55.965
7,Alice D’Amato,Italy,1st Italian Serie A,55.95
8,Ekaterina Andreeva*,Russia,Russian Junior Championships AA,55.833
9,Jessica Gadirova,Great Britain,European Championships QF,55.566
10,Manila Esposito,Italy,Italian Serie A Final Six TF,55.5
11,Alice Kinsella,Great Britain,British Championships AA,55.3
12,Zsofia Kovacs,Hungary,European Championships QF,55.231
13,Hezly Rivera*,United States,U.S.-Canada Junior Friendly,55.2
14,Elena Colas*,France,Top 12 Series 3,55.199
15,Ou Yushan,China,Summer Universiade QF,55.198
16,Georgia-Mae Fenton,Great Britain,Welsh Championships,55.1
17,Georgia Godwin,Australia,Australian Championships QF,55.066
18,Ondine Achampong,Great Britain,Welsh Championships,55.05
19,Qiu Qiyuan,China,Asian Championships AA,54.932
20,Ruby Pass,Australia,Australian Championships AA,54.832
21,Elena Gerasimova,Russia,Russian Championships AA,54.732
22,Miyata Shoko,Japan,Summer Universiade QF,54.6
23,Yamaguchi Sara*,Japan,All-Japan Championships QF,54.566
24,Helen Kevric*,Germany,German Junior Championships AA,54.467
25,Maria Agafonova,Russia,Russian Championships AA,54.332
26,Naomi Visser,Netherlands,Dutch Euros Trials 2,54.267
27,Nola Matthews,United States,U.S. Pan Ams Trials,54.2
27,Zoey Molomo*,United States,WOGA Classic,54.2
29,Kishi Rina,Japan,NHK Trophy,54.199
30,Sakaguchi Ayaka,Japan,Summer Universiade QF,54.198
31,Joscelyn Roberson,United States,July National Team Camp,54.15
31,Marissa Neal,United States,Parkettes National Qualifier,54.15
33,Leanne Wong,United States,U.S. Classic,54.1
34,Lisa Vaelen,Belgium,European Championships AA,54.099
35,Nakamura Haruka*,Japan,WOGA Classic,54.05
36,Uliana Perebinosova,Russia,Russian Championships QF,53.966
37,Zhang Qingying,China,Asian Championships AA,53.965
38,Zoe Miller,United States,U.S. Pan Ams Trials,53.95
39,Veranika Semenova*,Russia,Russian Junior Championships QF,53.933
40,Tiana Sumanasekera,United States,Pan American Championships AA,53.9
41,Kristina Shapovalova*,Russia,Russian Junior Championships AA,53.866
41,Ulyana Dubrovskaya*,Russia,Russian Junior Championships AA,53.866
43,Luo Huan,China,Summer Universiade QF,53.766
44,Kaylia Nemour,Algeria,African Championships,53.731
45,Addison Fatta,United States,U.S. Pan Ams Trials,53.7
45,Angela Andreoli,Italy,3rd Italian Serie A,53.7
47,Giulia Perotti*,Italy,1st Italian Serie A,53.65
48,Zhang Xinyi,China,Chinese Championships AA,53.6
49,Anna Smirnova*,Russia,Russian Junior Championships AA,53.599
49,Aurélie Tran,Canada,Canadian Championships QF,53.599
