Rank,Athlete,Nation,Meet,Score
1,Simone Biles,United States,U.S. Classic,15.2
2,Joscelyn Roberson,United States,U.S. Classic,14.65
3,Kishi Rina,Japan,All-Japan Championships AA,14.433
3,Yeo Seojeong,South Korea,Asian Championships EF,14.433
5,Coline Devillard,France,Doha World Cup EF,14.4
5,Ruby Pass,Australia,Australian Championships AA,14.4
5,Zsofia Kovacs,Hungary,Hungarian Team Championships AA,14.4
8,Alexa Moreno,Mexico,Central American & Caribbean Games QF,14.35
8,Ondine Achampong,Great Britain,Welsh Championships,14.35
10,Lisa Vaelen,Belgium,European Championships AA,14.333
10,Miyata Shoko,Japan,All-Japan Championships AA,14.333
