Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Simone Biles,United States,15.1,14.333,14.433,14.533,58.399
2,Rebeca Andrade,Brazil,14.7,14.5,13.5,14.066,56.766
3,Shilese Jones,United States,14.233,14.633,14.066,13.4,56.332
4,Qiu Qiyuan,China,13.2,14.7,13.733,13.166,54.799
5,Alice D’Amato,Italy,13.933,14.666,13.166,12.5,54.265
6,Eythora Thorsdottir,Netherlands,13.833,13.433,13.566,13.266,54.098
7,Alice Kinsella,Great Britain,13.766,13.6,13.433,13.233,54.032
8,Kaylia Nemour,Algeria,12.766,15.2,13.3,12.7,53.966
9,Manila Esposito,Italy,13.766,14.166,12.866,13.1,53.898
10,Mélanie De Jesus Dos Santos,France,14.066,12.5,13.466,13.833,53.865
11,Kishi Rina,Japan,13.8,12.966,13.533,12.9,53.199
12,Naomi Visser,Netherlands,13.133,14.266,12.2,13.533,53.132
13,Ondine Achampong,Great Britain,14.133,12.533,13.6,12.7,52.966
14,Morgane Osyssek,France,13.2,13.1,13.366,13.133,52.799
15,Flavia Saraiva,Brazil,13.833,12.633,14.033,12.2,52.699
16,Ellie Black,Canada,14,12.133,12.933,12.9,51.966
17,Hatakeda Chiaki,Japan,12.966,13.166,13.133,12.6,51.865
18,Alexa Moreno,Mexico,13.966,12.966,12.6,12.233,51.765
19,Lee Yunseo,South Korea,12.733,13.766,12.333,12.9,51.732
20,Georgia Godwin,Australia,13.6,13.5,12.266,12.333,51.699
21,Filipa Martins,Portugal,12.866,13.433,12.566,12.733,51.598
22,Sarah Voss,Germany,13.4,10.9,13.166,13.333,50.799
23,Ana Barbosu,Romania,13.366,11.666,13.533,11.6,50.165
24,Pauline Schäfer,Germany,12.733,12.933,13.566,10.7,49.932
