Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Rebeca Andrade,Brazil,15.066,14.666,13.4,14.2,57.332
2,Shilese Jones,United States,14.2,14.566,13.2,13.8,55.766
3,Jade Carey,United States,14.6,13.333,13.133,14.066,55.132
4,Martina Maggio,Italy,14.2,14.2,12.9,13.5,54.8
5,Jessica Gadirova,Great Britain,14.4,13.166,12.933,14.1,54.599
6,Ou Yushan,China,13,14.166,13.9,13.4,54.466
7,Alice D’Amato,Italy,14.233,14.4,12.133,13.6,54.366
8,Miyata Shoko,Japan,14.3,12.566,13.7,13.6,54.166
9,Naomi Visser,Netherlands,13.366,14.4,12.733,13.666,54.165
10,Flavia Saraiva,Brazil,13.833,13.2,12.9,14.2,54.133
11,Ellie Black,Canada,13.666,13.933,13.266,13.266,54.131
12,Jordan Chiles,United States,14.466,14.066,11.366,14.1,53.998
13,Mélanie De Jesus Dos Santos,France,13.666,14.4,12.533,13.266,53.865
14,Alice Kinsella,Great Britain,14.266,14.166,13.066,12.3,53.798
15,Ondine Achampong,Great Britain,14.466,12.833,12.966,13.333,53.598
16,Georgia Godwin,Australia,13.6,13.333,13,12.933,52.866
17,Tang Xijing,China,13,14.333,12.466,13.066,52.865
18,Carolann Heduit,France,14.033,13.466,12.033,13.166,52.698
19,Yamada Chiharu,Japan,13.233,13.666,12.466,13.1,52.465
20,Lisa Vaelen,Belgium,13.966,12.566,12.7,13.2,52.432
21,Tisha Volleman,Netherlands,13.2,13.4,12.533,13.2,52.333
22,Aline Friess,France,13.666,13.233,12.266,13.1,52.265
23,Ana Barbosu,Romania,13,13.433,12.5,13.3,52.233
24,Laura Casabuena,Spain,13.2,12.666,12.966,13.2,52.032
25,Lee Yunseo,South Korea,12.8,13.2,12.733,13.1,51.833
26,Manila Esposito,Italy,13.566,13.966,10.8,13.466,51.798
27,Eythora Thorsdottir,Netherlands,13.8,13.833,11.666,12.466,51.765
28,Romi Brown,Australia,13.166,13.566,12.266,12.733,51.731
29,Maisa Kuusikko,Finland,13.233,12.866,12.066,13.066,51.231
30,Maellyse Brassart,Belgium,13.3,12.666,11.833,12.9,50.699
31,Karina Schönmaier,Germany,13.4,12.7,11.933,12.6,50.633
32,Natalia Escalera,Mexico,12.966,12.966,11.6,12.833,50.365
33,Anna-Lena König,Germany,13,12.066,11.933,13,49.999
34,Carolyne Pedro,Brazil,12.933,12.8,11.4,12.833,49.966
35,Camille Rasmussen,Denmark,13.733,12.066,11.5,12.6,49.899
36,Lucija Hribar,Slovenia,13,13.033,11.766,12.1,49.899
37,Ada Hautala,Finland,12.733,12.5,11.566,12.9,49.699
38,Greta Mayer,Hungary,13.2,10.8,12.766,12.833,49.599
39,Ahtziri Sandoval,Mexico,13.633,13.4,10.5,12.033,49.566
40,Jutta Verkest,Belgium,12.833,12.866,11.333,12.533,49.565
41,Lihie Raz,Israel,13.7,10.266,12.633,12.833,49.432
42,Nathalie Westlund,Sweden,12.566,12.466,12.6,11.8,49.432
43,Rocio Saucedo,Argentina,12.8,12.133,11.833,12.633,49.399
44,Selina Kickinger,Austria,12.7,12.5,11.933,12.233,49.366
45,Aneta Holasova,Czech Republic,12.9,12.666,11.1,12.6,49.266
46,Jasmin Mader,Austria,12.8,12.333,11.233,12.9,49.266
47,Caitlin Rooskrantz,South Africa,12.6,13.1,11.3,12.2,49.2
48,Kaia Tanskanen,Finland,13,12.5,10.7,12.8,49
49,Tonya Paulsson,Sweden,13.066,12.866,10.466,12.6,48.998
50,Ting Hua-Tien,Taiwan,12.3,11.3,13,12.266,48.866
51,Eom Dohyun,South Korea,12.6,13.066,10.5,12.633,48.799
52,Zeina Ibrahim,Egypt,12.766,12,12.033,12,48.799
53,Nikolett Szilagyi,Hungary,12.733,11.633,12.133,12.266,48.765
54,Emma Fernandez,Spain,12.433,12.5,11.033,12.6,48.566
55,Maria Tronrud,Norway,12.7,12.1,11.833,11.7,48.333
56,Zala Trtnik,Slovenia,12.833,12.266,11.7,11.5,48.299
57,Csenge Bacskay,Hungary,13.1,12.233,11.366,11.533,48.232
58,Andreea Preda,Romania,12.8,10.666,11.966,12.666,48.098
59,Mai Liu Hsiang-Han,Taiwan,12.266,11.733,11.766,12.166,47.931
60,Jana Abdelsalam,Egypt,12.333,12.8,11,11.766,47.899
61,Naveen Daries,South Africa,12.666,12.366,10.566,12.3,47.898
62,Yuliia Kasianenko,Ukraine,12.7,11,11.833,12.333,47.866
63,Halle Hilton,Ireland,13.1,10.366,12.366,12,47.832
64,Charlize Mörz,Austria,12.5,10.866,11.533,12.833,47.732
65,Rifda Irfanaluthfi,Indonesia,13.066,12.033,9.833,12.766,47.698
66,Bengisu Yildiz,Turkey,12.433,11.6,11.666,11.966,47.665
67,Anina Wildi,Switzerland,12.433,12,10.7,12.466,47.599
68,Celeste Mordenti,Luxembourg,12.1,12,11.2,12.266,47.566
69,Meline Mesropian,Argentina,12.633,11.766,10.966,12.133,47.498
70,Juliane Tøssebro,Norway,12.433,11.366,11.333,12.3,47.432
71,Sevgi Kayisoglu,Turkey,11.866,11.633,11.7,12.2,47.399
72,Valeriia Osipova,Ukraine,13.066,10.6,11.566,12.166,47.398
73,Emma Slevin,Ireland,12.833,11.733,11.533,11.2,47.299
74,Paula Raya,Spain,12.766,10.566,11.033,12.566,46.931
75,Ofir Netzer,Israel,13.1,12.166,9.2,12.4,46.866
76,Alais Perea,Ecuador,12.666,10.9,11.4,11.8,46.766
77,Aida Bauyrzhanova,Kazakhstan,11.766,11.6,11.066,12.333,46.765
78,Olivia Kelly,Barbados,13.066,10.033,11.133,12.5,46.732
79,Mariana Parente,Portugal,12.233,11.6,10.966,11.566,46.365
80,Alva Eriksson,Sweden,11.766,12.033,10.3,12.2,46.299
81,Thelma Adalsteinsdottir,Iceland,12.066,11.033,11.6,11.433,46.132
82,Nadine Joy Nathan,Singapore,12.566,11.3,10.666,11.5,46.032
83,Ana Karina Mendez,Peru,12.3,12.266,9.766,11.633,45.965
84,Lee Dayeong,South Korea,12.5,12.233,10.966,10.033,45.732
85,Lai Pin-Ju,Taiwan,11.133,10.966,10.866,12.566,45.531
86,Reece Cobb,New Zealand,12.066,11.833,9.933,11.666,45.498
87,Sani Mäkelä,Finland,12.166,11.1,10.366,11.733,45.365
88,Keira Rolston-Larking,New Zealand,11.733,10.833,10.966,11.833,45.365
89,Milca Leon,Venezuela,12.2,11.766,9.666,11.7,45.332
90,Jana Aboelhasan,Egypt,11.6,10.9,10.5,12.266,45.266
91,Marharyta Kozlovska,Ukraine,12.2,10.866,10.5,11.633,45.199
92,Klara Peterkova,Czech Republic,12.2,10.833,10.433,11.666,45.132
93,Karla Navas,Panama,13.066,11.066,8.833,12.133,45.098
94,Nicole Diaz,Puerto Rico,12.4,10.766,10.066,11.833,45.065
95,Franchesca Santi,Chile,13.666,10.333,8.833,12.2,45.032
96,Tatiana Bachurina,Cyprus,11.6,10.933,11.133,11.333,44.999
97,Sasiwimon Mueangphuan,Thailand,11.4,10.2,11.266,12.033,44.899
98,Petra Furac,Croatia,12.3,10.666,10.1,11,44.066
99,Hildur Gudmundsdottir,Iceland,12.066,9.833,10.133,12.033,44.065
100,Elvira Katsali,Greece,11.833,9.566,12.333,10.2,43.932
101,Annalise Newman-Achee,Trinidad & Tobago,13,8.566,10.333,11.7,43.599
102,Lahna Salem,Algeria,12.033,10.466,10.233,10.733,43.465
103,Freja Petersen,Denmark,11.8,10.133,11.133,10.133,43.199
104,Ominakhon Khalilova,Uzbekistan,11.6,9.4,10.1,11.866,42.966
105,Fatma Zohra Boukhatem,Algeria,12,10.566,8.5,11.466,42.532
106,Franciny Morales,Costa Rica,12.033,9.9,9.566,10.766,42.265
107,Korkem Yerbossynkyzy,Kazakhstan,11.666,10.633,9.2,10.3,41.799
108,Tara Vella Clark,Malta,12.166,7.566,10.533,11.133,41.398
109,Sakaguchi Ayaka,Japan,14,0,13.466,13.066,40.532
110,Wei Xiaoyuan,China,12.9,14.6,0,12.733,40.233
111,Georgia-Mae Fenton,Great Britain,13.9,14.133,12.1,0,40.133
112,Skye Blakely,United States,0,12.566,13.733,13.6,39.899
113,Marine Boyer,France,0,12.8,13.666,13.3,39.766
114,Laurie Denommée,Canada,13.4,12.866,0,13.266,39.532
115,Yeo Seojeong,South Korea,14.366,0,12.466,12.633,39.465
116,Watanabe Hazuki,Japan,0,13.233,13.6,12.533,39.366
117,Sydney Turner,Canada,0,13.166,12.866,13.3,39.332
118,Zhang Jin,China,13.833,0,12.833,12.366,39.032
119,Emma Spence,Canada,13.633,12.8,12.533,0,38.966
120,Emma Malewski,Germany,0,13.333,12.933,12.666,38.932
121,Denelle Pedrick,Canada,13.9,0,11.7,12.9,38.5
122,Cassandra Loustalot,Mexico,12.466,0,12.533,12.633,37.632
123,Georgia-Rose Brown,Australia,13,13.4,0,11.133,37.533
124,Sira Macias,Argentina,12.766,12.733,0,12.033,37.532
125,Breanna Scott,Australia,13.333,0,11.966,12.066,37.365
126,Lea Marie Quaas,Germany,13.3,0,11.6,12.233,37.133
127,Eve de Ruiter,Netherlands,13,0,11.233,11.9,36.133
128,Leila Martinez,Argentina,12.666,0,10.8,12.1,35.566
129,Paulina Campos,Mexico,0,12.066,11.066,12.033,35.165
130,Nika Kukuljan Frleta,Croatia,11.666,0,9.566,11.766,32.998
131,Selma Halvorsen,Norway,11.566,11.033,0,10.1,32.699
132,Areti Pagoni,Greece,0,9.333,11.566,11.633,32.532
133,Milana Minakovskaya,Azerbaijan,0,10.766,7.866,12.1,30.732
134,Samira Gahramanova,Azerbaijan,11.533,0,9.8,9.2,30.533
135,Ella Borg,Malta,0,8.4,9.6,11.7,29.7
136,Elisabeth Seitz,Germany,13.466,14.4,0,0,27.866
137,Nina Derwael,Belgium,0,14.7,12.566,0,27.266
138,Fukasawa Kokoro,Japan,13.333,13.5,0,0,26.833
139,Zsofia Kovacs,Hungary,13.3,0,13.533,0,26.833
140,Veronica Mandriota,Italy,13.7,0,0,12.933,26.633
141,Giorgia Villa,Italy,0,14.166,12.3,0,26.466
142,Julia Soares,Brazil,0,0,12.466,13.466,25.932
143,Lorrane Oliveira,Brazil,12.666,13.233,0,0,25.899
144,Luo Rui,China,0,14.9,10.766,0,25.666
145,Yléa Tollet,Belgium,12.833,0,0,12.266,25.099
146,Cinthia Ruiz,Mexico,12.1,12.833,0,0,24.933
147,Kate McDonald,Australia,0,14.066,10.733,0,24.799
148,Laia Masferrer,Spain,12.866,0,11.733,0,24.599
149,Emelie Westlund,Sweden,0,13,11.533,0,24.533
150,Malva Lundqvist Wingren,Sweden,12.333,0,0,11.833,24.166
151,Brisa Carraro,Argentina,0,11.833,12.1,0,23.933
152,Mari Kanter,Norway,0,11.666,12.066,0,23.732
153,Maia Llacer,Spain,0,11.066,0,12,23.066
154,Huang Yi-Qin,Taiwan,0,0,11.533,11.233,22.766
155,Alissa Mörz,Austria,0,11.466,11.1,0,22.566
156,Lucie Trnkova,Czech Republic,0,0,10.966,11.1,22.066
157,Diana Savelieva,Ukraine,0,0,10.2,11.733,21.933
158,Wu Sing-Fen,Taiwan,12.7,8.133,0,0,20.833
159,Antonia Marihuan,Chile,0,10.833,8.466,0,19.299
160,Sanna Veerman,Netherlands,0,14.533,0,0,14.533
161,Coline Devillard,France,14.433,0,0,0,14.433
162,Leanne Wong,United States,13.766,0,0,0,13.766
163,Zoja Szekely,Hungary,0,13.766,0,0,13.766
164,Nancy Taman,Egypt,13.733,0,0,0,13.733
165,Jennifer Gadirova,Great Britain,0,0,0,13.6,13.6
166,Pranati Nayak,India,12.8,0,0,0,12.8
167,Shin Solyi,South Korea,0,12.8,0,0,12.8
168,Yelizaveta Hubareva,Ukraine,0,12.766,0,0,12.766
169,Berta Schwaninger,Austria,12.7,0,0,0,12.7
170,Teja Belak,Slovenia,12.566,0,0,0,12.566
171,Mali Neurauter,Norway,12.366,0,0,0,12.366
172,Protistha Samanta,India,12.333,0,0,0,12.333
173,Angel Wong Hiu Ying,Hong Kong,0,0,10.266,0,10.266
174,Charlie Chan Cheuk Lam,Hong Kong,0,0,10.033,0,10.033
175,Dildora Aripova,Uzbekistan,0,9.933,0,0,9.933
176,Konstantina Maragkou,Greece,0,9.7,0,0,9.7
177,Milka Gehani,Sri Lanka,0,0,0,6.7,6.7
