Rank,Athlete,Club,VT,UB,BB,FX,AA
1,Konnor McClain,WOGA,14.4,13.3,14.8,13.9,56.4
1,Konnor McClain,WOGA,14.35,14.05,14.1,13.85,56.35
1,Konnor McClain,WOGA,28.75,27.35,28.9,27.75,112.75
2,Shilese Jones,Ascend,14.55,14.85,13.7,14.1,57.2
2,Shilese Jones,Ascend,14.5,13.6,12.45,14.25,54.8
2,Shilese Jones,Ascend,29.05,28.45,26.15,28.35,112
3,Jordan Chiles,World Champions,14.35,14.25,13.6,13.95,56.15
3,Jordan Chiles,World Champions,14.3,14.1,13.45,13.9,55.75
3,Jordan Chiles,World Champions,28.65,28.35,27.05,27.85,111.9
4,Kayla DiCello,Hill’s,14.2,14.1,13.8,13.85,55.95
4,Kayla DiCello,Hill’s,14.3,13.5,13.55,13.65,55
4,Kayla DiCello,Hill’s,28.5,27.6,27.35,27.5,110.95
5,Jade Carey,Oregon State,14.8,13.6,13.2,14.05,55.65
5,Jade Carey,Oregon State,14.65,13.45,13.3,13.85,55.25
5,Jade Carey,Oregon State,29.45,27.05,26.5,27.9,110.9
6,Skye Blakely,WOGA,14.1,13.85,13.45,13.3,54.7
6,Skye Blakely,WOGA,14.3,13.9,12.95,13.45,54.6
6,Skye Blakely,WOGA,28.4,27.75,26.4,26.75,109.3
7,Lexi Zeiss,Twin City Twisters,13.4,13.9,12.35,13.1,52.75
7,Lexi Zeiss,Twin City Twisters,13.75,13.8,13.05,13.15,53.75
7,Lexi Zeiss,Twin City Twisters,27.15,27.7,25.4,26.25,106.5
8,Elle Mueller,Twin City Twisters,13.85,12.75,13.25,12.95,52.8
8,Elle Mueller,Twin City Twisters,13.5,13.9,12.3,13.45,53.15
8,Elle Mueller,Twin City Twisters,27.35,26.65,25.55,26.4,105.95
9,Katelyn Jong,Metroplex,13.95,12.2,13.2,13.1,52.45
9,Katelyn Jong,Metroplex,13.85,12.7,13.35,13,52.9
9,Katelyn Jong,Metroplex,27.8,24.9,26.55,26.1,105.35
10,Addison Fatta,Prestige,13.05,13.55,12.45,12.65,51.7
10,Addison Fatta,Prestige,13.9,13.3,12.15,13.15,52.5
10,Addison Fatta,Prestige,26.95,26.85,24.6,25.8,104.2
11,Amelia Disidore,GAGE,14.3,11.55,12.65,13.15,51.65
11,Amelia Disidore,GAGE,14.3,12.3,12.3,13.15,52.05
11,Amelia Disidore,GAGE,28.6,23.85,24.95,26.3,103.7
12,Katelyn Rosen,Twin City Twisters,13.65,13.05,12.65,13.55,52.9
12,Katelyn Rosen,Twin City Twisters,13.4,12.75,12.4,11.6,50.15
12,Katelyn Rosen,Twin City Twisters,27.05,25.8,25.05,25.15,103.05
13,Nola Matthews,Airborne,13.1,13.75,11.95,12.35,51.15
13,Nola Matthews,Airborne,12.95,14.05,12.5,12.2,51.7
13,Nola Matthews,Airborne,26.05,27.8,24.45,24.55,102.85
14,Levi Jung-Ruivivar,Twin City Twisters,13.1,12.05,13.15,12.75,51.05
14,Levi Jung-Ruivivar,Twin City Twisters,13.15,13.15,13.1,12.2,51.6
14,Levi Jung-Ruivivar,Twin City Twisters,26.25,25.2,26.25,24.95,102.65
15,Charlotte Booth,Brandy Johnson’s,13.5,12.3,12.7,12.1,50.6
15,Charlotte Booth,Brandy Johnson’s,13.6,13.4,12.35,12.15,51.5
15,Charlotte Booth,Brandy Johnson’s,27.1,25.7,25.05,24.25,102.1
16,Marissa Neal,GAGE,13.65,12.35,13.15,12.35,51.5
16,Marissa Neal,GAGE,13.8,10.75,13.3,12.45,50.3
16,Marissa Neal,GAGE,27.45,23.1,26.45,24.8,101.8
17,Ciena Alipio,Midwest,11.95,12.35,13.6,11.95,49.85
17,Ciena Alipio,Midwest,13.2,12.45,13.95,11.35,50.95
17,Ciena Alipio,Midwest,25.15,24.8,27.75,23.3,100.8
18,Joscelyn Roberson,NE Texas Elite,13.75,10.9,13.25,12.85,50.75
18,Joscelyn Roberson,NE Texas Elite,13.8,11.2,11.95,12.95,49.9
18,Joscelyn Roberson,NE Texas Elite,27.35,22.1,25.2,25.8,100.65
19,Brooke Pierson,WOGA,13.7,13.05,12.05,11.95,50.75
19,Brooke Pierson,WOGA,13.5,13.1,11.7,10.7,49
19,Brooke Pierson,WOGA,27.2,26.15,23.75,22.65,99.75
20,Leanne Wong,GAGE,0,14.2,13.15,0,27.35
20,Leanne Wong,GAGE,0,14.25,13.4,0,27.65
20,Leanne Wong,GAGE,0,28.45,26.55,0,55
21,Olivia Greaves,World Champions,0,13.6,0,0,13.6
21,Olivia Greaves,World Champions,0,13.45,0,0,13.45
21,Olivia Greaves,World Champions,0,27.05,0,0,27.05
