Rank,Athlete,Club,VT,UB,BB,FX,AA
1,Konnor McClain,WOGA,14.1,12.45,14.6,13.15,54.3
2,Skye Blakely,WOGA,13.8,13.15,13.5,13.25,53.7
3,eMjae Frazier,Parkettes,13.75,12.2,13.7,13.5,53.15
4,Ashlee Sullivan,WOGA,13.9,12.6,13.5,12.85,52.85
5,Katelyn Jong,Metroplex,13.8,12.75,13.05,13.05,52.65
5,Nola Matthews,Airborne,12.85,13.95,13.05,12.8,52.65
7,Karis German,World Champions,13.35,12.9,12.65,13.15,52.05
8,Levi Jung-Ruivivar,Twin City Twisters,13.45,13.25,12.7,12.5,51.9
9,Sydney Barros,World Champions,13.1,13,13.1,12.6,51.8
10,Elle Mueller,Twin City Twisters,13,13.45,12.35,12.75,51.55
11,Addison Fatta,Prestige,13.7,13.2,12.55,11.8,51.25
12,Brooke Pierson,WOGA,13.55,13.05,12,12.3,50.9
13,Katelyn Rosen,Twin City Twisters,13.6,11.6,12.3,13,50.5
14,Zoe Miller,World Champions,13.65,13.1,10.95,12.65,50.35
15,Lexi Zeiss,Twin City Twisters,14.05,11.85,11.35,13,50.25
16,Ciena Alipio,Midwest,13.2,12.9,12.25,11.85,50.2
17,Marissa Neal,GAGE,13,10.8,12.9,12.4,49.1
18,Charlotte Booth,Brandy Johnson’s,13.7,12.65,10.6,12.1,49.05
19,Paityn Walker,Head Over Heels,12.65,13.55,11.7,11.05,48.95
19,Skylar Draser,Parkettes,12.35,12.8,12.15,11.65,48.95
21,Joscelyn Roberson,N.E. Texas Elite,12.9,9.75,13.4,12.65,48.7
22,Amelia Disidore,GAGE,13.15,10.05,11.15,12.35,46.7
23,Lauren Little,Everest,12.85,13.45,12.4,0,38.7
24,Camryn Richardson,Pearland Elite,14.25,0,0,11.65,25.9
25,Adriana Consoli,Pearland Elite,12.65,10.75,0,0,23.4
26,Kaylen Morgan,Everest,0,0,12.7,0,12.7
