Rank,Athlete,Club,VT,UB,BB,FX,AA
1,Lexi Zeiss,Twin City Twisters,13.45,13.5,13.1,13.15,53.2
2,Ashlee Sullivan,WOGA,13.6,12.6,13.2,13.35,52.75
3,Nola Matthews,Airborne,13.25,13.45,12.7,13.2,52.6
4,Zoe Miller,World Champions,13.65,13.9,12.55,12.4,52.5
5,Elle Mueller,Twin City Twisters,13.65,13.4,12.2,13,52.25
6,Joscelyn Roberson,World Champions,14,10.85,13.3,13.55,51.7
7,Jordis Eichman,World Champions,13.05,12.9,12.95,12.5,51.4
8,Charlotte Booth,Brandy Johnson’s,13.55,13.75,12.05,11.75,51.1
9,Kaliya Lincoln,WOGA,13.5,12.95,11,13.6,51.05
10,Addison Fatta,Prestige,13.9,12.95,10.8,13.1,50.75
10,Katelyn Rosen,Twin City Twisters,13.6,12.55,11.9,12.7,50.75
12,Dulcy Caylor,World Champions,13.4,13.35,11.95,11.85,50.55
13,Alicia Zhou,Love Gym,12.9,12.85,12.1,12.55,50.4
14,Amelia Disidore,GAGE,13.85,11.3,11.8,13.2,50.15
15,Eveylynn Lowe,GAGE,13.1,11.4,11.95,12.9,49.35
16,Michelle Pineda,Metroplex,13.05,11.5,11.65,12.85,49.05
17,Katelyn Jong,Metroplex,13.5,12.2,10.5,12.7,48.9
18,Brynn Torry,World Class,14.1,13.1,9.2,11.85,48.25
19,Levi Jung-Ruivivar,WOGA,13.5,11.65,10.85,12,48
20,Christiane Popovich,Midwest Gym,12.75,12.05,10.6,12.3,47.7
21,Marissa Neal,GAGE,13.35,10.85,11.6,11.35,47.15
22,Kelise Woolford,Buckeye,12.8,11.5,11.55,10.95,46.8
23,Brooke Pierson,WOGA,12.9,11.6,9.8,12.05,46.35
24,Amari Drayton,World Champions,13.2,11.85,9.65,11.5,46.2
25,Malea Milton,GAGE,13,11.4,11.25,10.45,46.1
26,Annalisa Milton,GAGE,13,9.4,12.2,11.45,46.05
27,Chloe Cho,Gym Olympica,12.9,12,9.4,11.4,45.7
28,Norah Christian,Cascade Elite,11.9,11.2,10.4,11.45,44.95
29,Gabriella Van Frayen,Gym X-Treme,12.95,0,11.3,12.1,36.35
30,Myli Lew,San Mateo,12.95,13.65,0,0,26.6
31,Skye Blakely,WOGA,0,13.15,13.4,0,26.5
32,Tiana Sumanasekera,World Champions,0,12.9,12.6,0,25.5
33,Gabby Disidore,GAGE,0,9.35,0,0,9.35
