Rank,Athlete,Nation,VT,UB,BB,FX,AA
1,Simone Biles,United States,15.066,14.733,14.8,14.833,59.432
2,Sunisa Lee,United States,14.566,15,13.4,14.2,57.166
3,Melanie De Jesus Dos Santos,France,14.6,14.6,13.616,13.966,56.782
4,Angelina Melnikova,Russia,14.433,14.7,13.366,14.1,56.599
5,Grace McCallum,United States,14.566,14.641,12.933,13.766,55.906
6,Liu Tingting,China,13.566,14.766,14.3,13.233,55.865
7,Li Shijia,China,14.466,14.166,14.5,12.6,55.732
8,Nina Derwael,Belgium,13.5,15.141,13.2,13.6,55.441
9,Ellie Black,Canada,14.2,14.266,13.533,13.2,55.199
10,Elisabeth Seitz,Germany,14.6,14.8,12.833,12.766,54.999
11,Flavia Saraiva,Brazil,14.566,12.833,13.7,13.833,54.932
12,Lilia Akhaimova,Russia,14.733,13.366,12.9,13.933,54.932
13,Giorgia Villa,Italy,14.666,14.3,12.533,12.9,54.399
14,Sarah Voss,Germany,14.366,13.766,13.6,12.4,54.132
15,Alice Kinsella,Great Britain,14.3,13.966,13.433,12.433,54.132
16,Asuka Teramoto,Japan,14.633,13.966,12.966,12.566,54.131
17,Aline Friess,France,15,13.566,12.7,12.733,53.999
18,Anastasia Agafonova,Russia,13.4,14.7,13.033,12.666,53.799
19,Giulia Steingruber,Switzerland,15.066,12.4,12.766,13.5,53.732
20,Elisa Iorio,Italy,14.366,14.133,12.633,12.4,53.532
21,Tang Xijing,China,14.266,14.633,11.733,12.866,53.498
22,Georgia Godwin,Australia,13.866,13.566,12.866,13.033,53.331
23,Hitomi Hatakeda,Japan,14.033,13.733,12.966,12.5,53.232
24,Naomi Visser,Netherlands,13.933,13.466,12.466,13.366,53.231
25,Brooklyn Moors,Canada,13.9,13.333,12.133,13.566,52.932
26,Diana Varinska,Ukraine,13.5,13.733,12.966,12.7,52.899
27,Cintia Rodriguez,Spain,13.533,13.866,12.6,12.8,52.799
28,Lee Yunseo,South Korea,13.333,14.133,12.433,12.6,52.499
29,Asia D’Amato,Italy,14.5,14,11.833,12.1,52.433
30,Zsofia Kovacs,Hungary,14.433,14.2,11.566,12.233,52.432
31,Martina Dominici,Argentina,14.2,13.3,12.366,12.566,52.432
32,Ana Perez,Spain,13.666,13.833,11.5,13.2,52.199
33,Yeo Seojeong,South Korea,14.933,12.366,11.833,13.066,52.198
34,Eythora Thorsdottir,Netherlands,14.4,11.466,13.333,12.966,52.165
35,Anastasiia Bachynska,Ukraine,13.866,13.1,11.966,13.233,52.165
36,Abigail Magistrati,Argentina,14.4,12.866,12,12.766,52.032
37,Georgia-Mae Fenton,Great Britain,13.533,14.333,11.566,12.5,51.932
38,Ellie Downie,Great Britain,14.466,12.666,12.366,12.433,51.931
39,Victoria-Kayen Woo,Canada,13.5,13.5,12.3,12.5,51.8
40,Alexa Moreno,Mexico,14.9,12.666,11.9,12.3,51.766
41,Ilaria Käslin,Switzerland,13.6,12.966,12.466,12.466,51.498
42,Roxana Popa,Spain,13.766,13.991,9.9,13.8,51.457
43,Maellyse Brassart,Belgium,13.6,13.133,11.733,12.766,51.232
44,Bianka Schermann,Hungary,13.366,13.966,11.266,12.6,51.198
45,Lieke Wevers,Netherlands,13.733,13.9,10.366,13.033,51.032
46,Thais Fidelis,Brazil,13.633,12.733,12.833,11.833,51.032
47,Danusia Francis,Jamaica,13.5,12.35,12.566,12.566,50.982
48,Emma Nedov,Australia,13.533,12.8,13.1,11.466,50.899
49,Angelina Radivilova,Ukraine,13.566,12.966,11.3,13.066,50.898
50,Kim Su Jong,North Korea,14.2,12.933,11.1,12.633,50.866
51,Aneta Holasova,Czech Republic,13.533,12.233,12.733,12.366,50.766
52,Emelie Petz,Germany,13.766,13.233,11.533,12.166,50.698
53,Marcia Vidiaux,Cuba,14.366,11.8,11.733,12.733,50.632
54,Maria Holbura,Romania,13.3,12.233,12.733,12.366,50.632
55,Elisa Hämmerle,Austria,13.333,12.866,11.933,12.4,50.532
56,Ioana Crisan,Romania,13.833,12.666,11.733,12.066,50.298
57,Anastasiya Alistratava,Belarus,12.9,14.066,10.5,12.6,50.066
58,Anapaula Gutierrez,Mexico,14.133,12.666,10.933,12.266,49.998
59,Farah Ann Abdul Hadi,Malaysia,13.433,12.833,11.066,12.566,49.898
60,Mandy Mohamed,Egypt,13.466,12.366,11.466,12.533,49.831
61,Nazli Savranbasi,Turkey,13.433,12.633,11.733,12,49.799
62,Agustina Pisos,Argentina,13.533,12.666,11.466,12.1,49.765
63,Barbora Mokosova,Slovakia,13.5,13.1,11.366,11.766,49.732
64,Jasmin Mader,Austria,13.433,12.666,11.733,11.9,49.732
65,Filipa Martins,Portugal,13.533,12.233,11.966,11.966,49.698
66,An Chang Ok,North Korea,13.1,13.033,11,12.4,49.533
67,Ana Derek,Croatia,13.433,10.6,12.4,13.033,49.466
68,Caitlin Rooskrantz,South Africa,13.233,13.1,11.3,11.833,49.466
69,Dorina Böczögö,Hungary,13.566,11.633,11.366,12.866,49.431
70,Naveen Daries,South Africa,13.133,12.3,12.1,11.866,49.399
71,Carmen Ghiciuc,Romania,13.366,11.466,12.6,11.966,49.398
72,Kim Son Hyang,North Korea,14.033,12.266,10.533,12.5,49.332
73,Eom Dohyun,South Korea,12.5,11.933,12.333,12.566,49.332
74,Ana Lago,Mexico,13.633,12.333,11.433,11.8,49.199
75,Jonna Adlerteg,Sweden,13.433,12.7,11.033,11.933,49.099
76,Göksu Üctas Sanli,Turkey,13.333,10.8,11.933,13,49.066
