Rank,Country,vt,ub,bb,fx,Total
1,United States,48.132(1),44.799(3),45.299(1),45.366(1),183.596
,Gabby Douglas,15.966,15.2,15.233,15.066,
,Jordyn Wieber,15.933,14.666,,15,
,Aly Raisman,,,14.933,15.3,
,Kyla Ross,,14.933,15.133,,
,McKayla Maroney,16.233,,,,
2,Russia,46.366(2),46.166(2),44.399(3),41.599(6),178.53
,Aliya Mustafina,15.233,15.7,14.533,14.8,
,Viktoria Komova,15.833,15.766,15.033,,
,Ksenia Afanasyeva,,,14.833,14.333,
,Anastasia Grishina,,14.7,,12.466,
,Maria Paseka,15.3,,,,
3,Romania,45.000(3),41.465(8),45.249(2),44.700(2),176.414
,Cătălina Ponor,15.1,,15.416,14.8,
,Larisa Iordache,14.8,13.766,15.3,,
,Diana Bulimar,,14.066,14.533,14.7,
,Sandra Izbașa,15.1,,,15.2,
,Diana Chelaru,,13.633,,,
4,China,44.266(5),46.399(1),42.932(4),40.833(7),174.43
,Huang Qiushuang,15.033,15.1,13.8,12.5,
,Deng Linlin,14.9,,13.766,13.733,
,Sui Lu,,,15.366,14.6,
,Yao Jinnan,14.333,15.533,,,
,He Kexin,,15.766,,,
5,Canada,44.499(4),42.332(6),41.199(6),42.774(3),170.804
,Ellie Black,15.233,,14.266,14.208,
,Dominique Pegg,14.4,,13.5,13.966,
,Brittany Rogers,14.866,14.466,,,
,Victoria Moors,,13.7,,14.6,
,Kristina Vaculik,,14.166,13.433,,
6,Great Britain,43.965(6),44.599(4),39.199(8),42.732(4),170.495
,Hannah Whelan,,14,13.866,14.2,
,Jennifer Pinches,14.833,,11.833,14.366,
,Beth Tweddle,,15.833,,14.166,
,Rebecca Tunney,14.866,14.766,,,
,Imogen Cairns,14.266,,13.5,,
7,Italy,42.366(8),41.666(7),41.999(5),41.899(5),167.93
,Vanessa Ferrari,14.333,14.166,14.8,13.566,
,Carlotta Ferlito,14.3,,14.366,14.1,
,Erika Fasana,13.733,13.6,,14.233,
,Giorgia Campana,,13.9,,,
,Elisabetta Preziosa,,,12.833,,
8,Japan,42.882(7),42.999(5),40.599(7),40.166(8),166.646
,Asuka Teramoto,14.7,14.2,14.233,13.9,
,Rie Tanaka,14.416,14.333,,12.833,
,Kōko Tsurumi,13.766,14.466,,,
,Yuko Shintake,,,13.266,13.433,
,Yu Minobe,,,13.1,,
