Rank,Athlete,Nation,Meet,Score
1,Kara Eaker,United States,U.S. Classic,15.4
2,Ou Yushan*,China,Chinese National Youth Games EF,15.3
3,Riley McCusker,United States,U.S. Classic,15.1
4,Simone Biles,United States,World Championships EF,15.066
5,Guan Chenchen*,China,Chinese Championships AA,15.05
5,Li Shijia,China,Zhaoqing Challenge Cup EF,15.05
7,Mya Witte*,United States,World Champion’s National Qualifier,15
8,Liu Tingting,China,City of Jesolo Trophy AA,14.967
9,Yana Vorona*,Russia,Russian Junior Championships QF,14.9
10,Ana Padurariu,Canada,Elite Canada EF,14.875
