Rank,Athlete,Nation,Meet,Score
1,Simone Biles,United States,U.S. Classic,60
2,Sunisa Lee,United States,U.S. Worlds Trials,58.2
3,Riley McCusker,United States,U.S. Classic,57.9
4,Vladislava Urazova*,Russia,Russian Cup AA,57.732
5,Grace McCallum,United States,U.S. Classic,57.7
6,Mélanie De Jesus Dos Santos,France,French Championships AA,57.15
7,Kara Eaker,United States,U.S. Worlds Trials,57.1
8,Rebeca Andrade,Brazil,DTB Team Challenge TF,56.932
9,Tang Xijing,China,World Championships AA,56.899
10,Leanne Wong,United States,American Cup,56.765
11,Morgan Hurd,United States,U.S. Championships Day 2,56.65
12,Ellie Black,Canada,Canadian Championships AA,56.608
13,Kayla DiCello*,United States,U.S. Championships Day 2,56.6
14,Angelina Melnikova,Russia,World Championships QF,56.599
15,Giorgia Villa,Italy,3rd Italian Serie A,56.55
16,Skye Blakely*,United States,U.S. Junior Worlds Trials,56.5
17,Konnor McClain*,United States,U.S. Championships Day 1,56.4
18,Ou Yushan*,China,Chinese National Youth Games TF,56.35
19,Ana Padurariu,Canada,Canadian Championships QF,56.208
20,Jade Carey,United States,U.S. Championships Day 1,56.1
21,MyKayla Skinner,United States,U.S. Worlds Trials,56.05
22,Nina Derwael,Belgium,World Championships AA,56.033
23,Viktoria Listunova*,Russia,European Youth Olympic Festival AA,56
24,Asuka Teramoto,Japan,All-Japan Championships AA,55.999
24,Elisabeth Seitz,Germany,World Championships AA,55.999
26,Mai Murakami,Japan,All-Japan Championships AA,55.966
27,Liu Tingting,China,City of Jesolo Trophy AA,55.901
28,Silvia Sfiringu*,Romania,Romanian Junior Championships,55.9
29,Emma Malabuyo,United States,City of Jesolo Trophy AA,55.899
30,Ana Maria Barbosu*,Romania,Romanian Individual Championships AA,55.85
31,Flavia Saraiva,Brazil,World Championships AA,55.732
31,Li Shijia,China,World Championships QF,55.732
33,Yana Vorona*,Russia,Russian Junior Championships QF,55.7
34,Ioana Stanciulescu*,Romania,Romanian Junior Championships,55.6
34,Olivia Greaves*,United States,U.S. Championships Day 1,55.6
34,Trinity Thomas,United States,U.S. Championships Day 1,55.6
34,Wei Xiaoyuan*,China,Chinese National Youth Games AA,55.6
38,Aleah Finnegan,United States,U.S. Classic,55.5
38,Ellie Downie,Great Britain,British Championships AA,55.5
38,Jordan Chiles,United States,U.S. Championships Day 2,55.5
41,Georgia Godwin,Australia,Australian Classic AA,55.331
42,Luo Huan,China,Chinese Championships AA,55.3
43,Amelie Morgan,Great Britain,English Championships,55.25
43,Faith Torrez,United States,U.S. Classic,55.25
45,Angelina Radivilova,Ukraine,Ukrainian Championships,55.2
45,Asia D’Amato,Italy,Italian Championships AA,55.2
45,Sydney Barros*,United States,U.S. Classic,55.2
48,Alyona Shchennikova,United States,International Gymnix AA,55.198
49,Shilese Jones,United States,U.S. Classic,55.05
50,Brooklyn Moors,Canada,Canadian Championships QF,55.049
