Rank,Athlete,Nation,Meet,Score
1,Fan Yilin,China,Chinese Championships EF,15.233
2,Diana Kustova*,Russia,Voronin Cup EF,15
3,Cheng Shiyi,China,Chinese Championships EF,14.866
4,Giorgia Villa,Italy,1st Italian Serie A,14.85
5,Anastasia Iliankova,Russia,Melbourne World Cup QF,14.8
5,Elisa Iorio,Italy,1st Italian Serie A,14.8
5,Wei Xiaoyuan,China,Chinese Individual Championships EF,14.8
8,Liu Tingting,China,Chinese Championships QF,14.75
9,Lu Yufei,China,Chinese Championships QF,14.7
10,Alice D’Amato,Italy,Italian Championships AA,14.6
