Rank,Athlete,Nation,Meet,Score
1,Jade Carey,United States,Melbourne World Cup QF,15.266
2,Murakami Mai,Japan,All-Japan Championships AA,15.2
3,Coline Devillard,France,Coupe d’Hiver,15.15
4,Miyakawa Sae,Japan,All-Japan Championships QF,14.9
5,Mélanie De Jesus Dos Santos,France,French Test Meet,14.866
6,Alice D’Amato,Italy,Italian Serie A Final Six TF,14.8
6,Amari Drayton,United States,WOGA Clasjsic,14.8
6,Shilese Jones,United States,Friendship & Solidarity Meet,14.8
6,Sakaguchi Ayaka,Japan,All-Japan Championships QF,14.8
10,Asia D’Amato,Italy,Italian Serie A Final Six TF,14.75
10,Alizée Letrange-Mouakit,France,Coupe d’Hiver,14.75
