Rank,Athlete,Nation,D,E,ND,Total
1,Ekaterina Kramarenko,Russia,6,8.8,,14.8
2,Maria Paseka,Russia,5.9,8.6,,14.5
3,Heo Seonmi,South Korea,5.8,8.15,,13.95
4,Filipa Martins,Portugal,5.6,8.25,,13.85
5,Georgia-Rose Brown,Australia,5.3,8.5,,13.8
6,Asuka Teramoto,Japan,5.7,8.1,,13.8
7,Kelly Simm,Great Britain,5.8,8,,13.8
8,Eum Dayeon,South Korea,5.4,8.2,,13.6
9,Daria Elizarova,Russia,5.1,8.4,,13.5
10,Wakana Inoue,Japan,5,8.45,,13.45
11,Polina Fedorova,Russia,5.2,8.05,,13.25
12,Farah Ann Abdul Hadi,Malaysia,5.3,7.65,,12.95
13,Dilnoza Abdusalimova,Uzbekistan,4.6,7.95,,12.55
14,Tracie Ang,Malaysia,4.7,7.85,,12.55
15,Mary-Anne Monckton,Australia,5.4,7.15,,12.55
16,Emma Nedov,Australia,5,6.95,,12.45
17,Park Jisoo,South Korea,5.3,7.05,,12.35
18,Natsumi Sasada,Japan,5.5,6.65,,12.15
19,Yu Minobe,Japan,5.5,6.6,,12.1
20,Mariana Vazquez,Mexico,4.7,6.95,,11.65
21,Claudia Cummins,South Africa,4.8,6.85,,11.65
22,Annika Urvikko,Finland,5.6,6,,11.6
23,Carmen Horvat,Slovenia,4.5,6.9,,11.4
24,Simone Penker,Austria,4.4,6.85,,11.25
25,Tan Ing Yueh,Malaysia,4.5,6.2,,10.7
26,Nur Eli Ellina Azmi,Malaysia,4.5,6.05,,10.55
27,Park Seyeon,South Korea,5.2,5.35,,10.55
28,Sofie Bråten,Norway,4.4,4.8,,9.2
29,Jordan Rae,New Zealand,3.9,5.1,,9
30,Elisabeth Geurts,Netherlands,4.1,4.45,,8.55
31,Tiril Døvre,Norway,2.2,5.55,,7.75
