Rank,Athlete,Nation,D,E,ND,Score
1,Larisa Iordache,Romania,5.8,8.75,,14.55
2,Diana Bulimar,Romania,5.6,8.75,,14.35
3,Lauren Mitchell,Australia,5.8,8.5,,14.3
4,Isabela Onyshko,Canada,5.6,8.3,,13.9
5,Dorina Böczögö,Hungary,5.3,8.2,,13.5
6,Sasa Golob,Slovenia,5.4,8.25,-0.3,13.35
7,Charlotte Sullivan,New Zealand,5.5,7.7,,13.2
8,Valerija Grisane,Latvia,5.2,7.95,-0.1,13.05
9,Laura Schulte,Switzerland,5,7.85,,12.85
10,Jana Sikulova,Czech Republic,4.8,8.15,-0.2,12.75
11,Nicole Hitz,Switzerland,4.9,7.75,-0.1,12.55
12,Ashly Lau,Singapore,4.5,7.95,,12.45
13,Kristyna Palesova,Czech Republic,5,7.45,,12.45
14,Elena Rega,Uzbekistan,4.4,8.05,-0.1,12.35
15,Tünde Csillag,Hungary,5.4,7,-0.1,12.3
16,Demet Mutlu,Turkey,4,8.2,,12.2
17,Alexandra Eade,Australia,5.4,6.9,-0.1,12.2
18,Katsiaryna Fiadutsik,Belarus,4,8.15,,12.15
19,Anastasiya Yekimenka,Belarus,4.7,7.45,-0.1,12.05
20,Courtney McGregor,New Zealand,5.5,6.45,,11.95
21,Janessa Dai,Singapore,4.8,7,,11.8
22,Shaden Wohdan,Qatar,4.3,7.3,,11.6
23,Kamile Ahsen Göktekin,Turkey,4.3,7.25,,11.55
24,Do Thi Van Anh,Vietnam,4.9,6.55,,11.45
25,Zhanerke Duisek,Kazakhstan,4.5,6.7,-0.6,10.6
26,Ahlam Al Habshi,Qatar,3,7.4,,10.4
