Rank,Athlete,Nation,D,E,ND,Total
1,Jonna Adlerteg,Sweden,6.5,8.533,,15.033
2,Filipa Martins,Portugal,5.6,8.233,,13.833
3,Evangelia Plyta,Greece,6,7.466,,13.466
4,Paula Raya,Spain,5.1,8.166,,13.266
5,Dorina Böczögö,Hungary,4.9,8.3,,13.2
6,Caterina Barloggio,Switzerland,4.9,8.2,,13.1
7,Teja Belak,Slovenia,4.9,8.133,,13.033
8,Kristina Pravdina,Azerbaijan,5.5,7.5,,13
9,Tutya Yilmaz,Turkey,4.9,7.933,,12.833
10,Marta Pihan-Kulesza,Poland,5.5,7.333,,12.833
11,Andreea Iridon,Romania,5.4,7.3,,12.7
12,Tzuf Feldon,Israel,4.8,7.833,,12.633
13,Pauline Tratz,Germany,4.9,7.666,,12.566
14,Boglarka Devai,Hungary,4.4,8,,12.4
15,Gaia Nesurini,Switzerland,4.1,8.166,,12.266
16,Ekin Morova,Turkey,4.7,7.5,,12.2
17,Kim Janas,Germany,5.3,6.666,,11.966
18,Dina Nygaard,Norway,4.5,7.266,,11.766
19,Maria Belen Stoffel,Argentina,4.7,6.966,,11.666
20,Petra Fialova,Czech Republic,5.2,6.466,,11.666
21,Lisa Ecker,Austria,4.5,7.066,,11.566
22,Argyro Afrati,Greece,5.4,6.066,,11.466
23,Veronika Cenkova,Czech Republic,4,7.333,,11.333
24,Ailen Valente,Argentina,4.5,6.8,,11.3
25,Ana Perez,Spain,5.6,5.433,,11.033
26,Jasmin Mader,Austria,3.9,7.1,,11
27,Yuliya Inshina,Azerbaijan,3.5,7.466,,10.966
28,Diana Jerofejeva,Latvia,2.5,7.9,,10.4
29,Nato Dzidziguri,Georgia,2.6,7.666,,10.266
30,Anna Salmi,Finland,3.8,6.033,,9.833
31,Mariana Pitrez,Portugal,2.7,7,,9.7
32,Anastasija Dubova,Latvia,2.4,7.033,,9.433
33,Ellis O’Reilly,Ireland,3.8,4.7,,8.5
