Rank,Athlete,Nation,D,E,ND,Total,Round
1,Nina Derwael,Belgium,5.3,8.266,,13.566,Qual
2,Marine Boyer,France,5.7,7.666,,13.366,Qual
3,Li Qi,China,5.7,7.7,-0.1,13.3,Qual
4,Yumika Nakamura,Japan,5,7.9,,12.9,Qual
5,Ting Hua-Tien,Chinese Taipei,5.3,7.5,,12.8,Qual
6,Adela Sajn,Slovenia,4.9,7.866,,12.766,Qual
7,Soyoka Hanawa,Japan,5.9,6.8,,12.7,Qual
8,Aneta Holasova,Czech Republic,5.1,7.566,,12.666,Qual
9,Marta Pihan-Kulesza,Poland,5.2,7.433,,12.633,Qual
10,Varvara Zubova,Russia,5.6,6.933,,12.533,Qual
11,Diana Varinska,Ukraine,5.3,7,,12.3,Qual
12,Csenge Bacskay,Hungary,5,7.266,,12.266,Qual
13,Lai Pin-Ju,Chinese Taipei,5.1,7.166,,12.266,Qual
14,Gabriela Janik,Poland,4.6,7.533,-0.1,12.033,Qual
15,Coline Devillard,France,5,6.833,,11.833,Qual
16,Elisa Hämmerle,Austria,4.7,7.1,,11.8,Qual
17,Emily Thomas,Great Britain,4.8,6.966,,11.766,Qual
18,Phoebe Jakubczyk,Great Britain,4.9,6.8,,11.7,Qual
19,An Chang Ok,North Korea,4.9,6.7,,11.6,Qual
20,Kim Son Hyang,North Korea,5.3,6.4,-0.1,11.6,Qual
21,Kim Bui,Germany,4.9,6.666,-0.1,11.466,Qual
22,Ominakhon Khalilova,Uzbekistan,4.5,6.933,,11.433,Qual
23,Lucie Jirikova,Czech Republic,4.5,6.666,,11.166,Qual
24,Lara Mori,Italy,5.3,5.633,,10.933,Qual
25,Zhao Shiting,China,5.5,5.4,-0.1,10.8,Qual
26,Marina Nekrasova,Azerbaijan,5.1,5.733,-0.1,10.733,Qual
27,Demet Mutlu,Turkey,4.9,5.766,,10.666,Qual
28,Tutya Yilmaz,Turkey,4.8,5.7,,10.5,Qual
29,Lisa Katharina Hill,Germany,4.2,5.5,,9.7,Qual
30,Zoja Szekely,Hungary,5.1,4.566,-0.1,9.566,Qual
31,Ana Derek,Croatia,4.4,4.233,,8.633,Qual
