Rank,Athlete,Nation,D,E,ND,Score
1,Kristyna Palesova,Czech Republic,5.5,8,,13.5
2,Olivia Vivian,Australia,5.7,7.25,,12.95
3,Jana Sikulova,Czech Republic,5.4,7.4,,12.8
4,Laura Schulte,Switzerland,5,7.3,,12.3
5,Tünde Csillag,Hungary,4.4,7.55,,11.95
6,Anastasiya Yekimenka,Belarus,4.6,7.3,,11.9
7,Dorina Böczögö,Hungary,4.9,7,,11.9
8,Ashly Lau,Singapore,4.4,7.3,,11.7
9,Larisa Iordache,Romania,5.8,5.85,,11.65
10,Zhanerke Duisek,Kazakhstan,4.5,7.1,,11.6
11,Isabela Onyshko,Canada,5.1,6.45,,11.55
12,Demet Mutlu,Turkey,5.2,6.3,,11.5
13,Charlotte Sullivan,New Zealand,4.7,6.7,,11.4
14,Katsiaryna Fiadutsik,Belarus,4.6,6.25,,10.85
15,Janessa Dai,Singapore,4.1,6.6,,10.7
16,Kamile Ahsen Göktekin,Turkey,4.1,6.6,,10.7
17,Elena Rega,Uzbekistan,5.4,5,,10.4
18,Farah Mahmoud,Qatar,3.4,5.05,,8.45
