Rank,Athlete,Nation,D,E,ND,Total,round
1,Nina Derwael,Belgium,6.5,8.533,,15.033,Qual
2,Fan Yilin,China,6.3,8.6,,14.9,Qual
3,Anastasiia Iliankova,Russia,6.3,8.333,,14.633,Qual
4,Diana Varinska,Ukraine,5.7,8.266,,13.966,Qual
5,Kim Bui,Germany,6,7.9,,13.9,Qual
6,Jonna Adlerteg,Sweden,6,7.366,,13.366,Qual
7,Martina Rizzelli,Italy,5.4,7.833,,13.233,Qual
8,Yumika Nakamura,Japan,5.1,8,,13.1,Qual
9,Lisa Katharina Hill,Germany,5.4,7.433,,12.833,Qual
10,Emily Thomas,Great Britain,4.9,7.8,,12.7,Qual
11,Zoja Szekely,Hungary,6,6.7,,12.7,Qual
12,Soyoka Hanawa,Japan,5,7.133,,12.133,Qual
13,Aneta Holasova,Czech Republic,5,7.1,,12.1,Qual
14,Nazli Savranbasi,Turkey,5.2,6.9,,12.1,Qual
15,Marine Boyer,France,4.9,7.066,,11.966,Qual
16,Tutya Yilmaz,Turkey,4.7,7.133,,11.833,Qual
17,An Chang Ok,North Korea,5.2,6.633,,11.833,Qual
18,Phoebe Jakubczyk,Great Britain,5,6.733,,11.733,Qual
19,Marta Pihan-Kulesza,Poland,5.2,6.5,,11.7,Qual
20,Lucie Jirikova,Czech Republic,4.2,7.066,,11.266,Qual
21,Marina Nekrasova,Azerbaijan,4.3,6.933,,11.233,Qual
22,Elisa Hämmerle,Austria,4.7,6.5,,11.2,Qual
23,Anina Wildi,Switzerland,4.3,6.633,,10.933,Qual
24,Gabriela Janik,Poland,4.3,6.166,,10.466,Qual
25,Ting Hua-Tien,Chinese Taipei,4,6.166,,10.166,Qual
26,Ruba Al Daoud,Jordan,2.8,5.6,-0.3,8.1,Qual
