Rank,Athlete,Nation,D,E,ND,Total
1,Lara Mori,Italy,5.3,7.966,,13.266
2,Vanessa Ferrari,Italy,4.8,8.166,,12.966
3,Audrey Rousseau,Canada,4.9,7.933,,12.833
4,Angelina Radivilova,Ukraine,5,7.766,,12.766
5,Thais Fidelis,Brazil,5.2,7.566,,12.766
6,Ondine Achampong,Great Britain,4.8,7.833,,12.633
7,Georgia-Rose Brown,Australia,4.6,8,,12.6
8,Yana Vorona,Russia,4.9,7.8,-0.1,12.6
9,Ana Derek,Croatia,4.8,7.766,,12.566
10,Ana Lago,Mexico,4.9,7.6,,12.4
11,Marta Pihan-Kulesza,Poland,4.2,8.066,,12.266
12,Anastasiia Bachynska,Ukraine,4.9,7.733,-0.4,12.233
13,Coline Devillard,France,4.7,7.566,-0.1,12.166
14,Sophie Marois,Canada,4.7,7.4,,12.1
15,Dilara Yurtdas,Turkey,4.4,7.633,,12.033
16,Maria Kharenkova,Georgia,4.7,7.433,-0.1,12.033
17,Tjasa Kysselef,Slovenia,4.6,7.7,-0.3,12
18,Tran Doan Quynh Nam,Vietnam,4.3,7.666,,11.966
19,Caitlin Rooskrantz,South Africa,4.6,7.466,-0.1,11.966
20,Cemre Kendirci,Turkey,4.5,7.466,,11.966
21,Anastasiya Savitskaya,Belarus,4.4,7.5,,11.9
22,Isabella Brett,New Zealand,4.5,7.266,,11.766
23,Enni Kettunen,Finland,4.4,7.233,,11.633
24,Samira Gahramanova,Azerbaijan,4.2,7.1,,11.3
25,Sara Loikas,Finland,4.2,6.933,,11.133
26,Lucija Hribar,Slovenia,4.3,6.6,-0.3,10.6
27,Ganna Metelitsa,Belarus,4.6,5.466,,10.066
