Rank,Athlete,Nation,D,E,ND,Total,Average
1,Teja Belak,Slovenia,5.4,8.966,,14.366,14.199
1,Teja Belak,Slovenia,5,9.033,,14.033,14.199
2,Coline Devillard,France,5.8,9,,14.8,14.15
2,Coline Devillard,France,4.6,8.9,,13.5,14.15
3,Marina Nekrasova,Azerbaijan,5.8,8.533,-0.1,14.233,14.133
3,Marina Nekrasova,Azerbaijan,5.2,8.833,,14.033,14.133
4,Sophie Marois,Canada,5.4,8.6,,14,13.75
4,Sophie Marois,Canada,4.8,8.7,,13.5,13.75
5,Tjasa Kysselef,Slovenia,5,8.633,,13.633,13.683
5,Tjasa Kysselef,Slovenia,4.8,8.933,,13.733,13.683
6,Ahtziri Sandoval,Mexico,5.6,7.7,,13.3,13.55
6,Ahtziri Sandoval,Mexico,5,8.8,,13.8,13.55
7,Anastasiia Bachynska,Ukraine,5,8.833,,13.833,13.499
7,Anastasiia Bachynska,Ukraine,4.6,8.566,,13.166,13.499
8,Tijana Korent,Croatia,4.6,8.7,,13.3,13.3
8,Tijana Korent,Croatia,4.6,8.7,,13.3,13.3
9,Audrey Rousseau,Canada,4.6,9,,13.6,13.283
9,Audrey Rousseau,Canada,4,8.966,,12.966,13.283
10,Bilge Tarhan,Turkey,4.6,8.633,,13.233,13.216
10,Bilge Tarhan,Turkey,4.6,8.6,,13.2,13.216
11,Maria Paseka,Russia,5.4,8.766,-0.1,14.066,13.183
11,Maria Paseka,Russia,4.8,7.5,,12.3,13.183
12,Maia Fishwick,New Zealand,4.1,8.6,,12.7,13
12,Maia Fishwick,New Zealand,4.6,8.7,,13.3,13
13,Gabriela Janik,Poland,4.8,7.5,,12.3,12.95
13,Gabriela Janik,Poland,4.8,8.9,-0.1,13.6,12.95
14,Ceren Biner,Turkey,5,7.333,-0.1,12.233,12.816
14,Ceren Biner,Turkey,4.8,8.6,,13.4,12.816
15,Angelina Radivilova,Ukraine,5.4,7.333,-0.3,12.433,12.583
15,Angelina Radivilova,Ukraine,5.2,7.533,,12.733,12.583
16,Lilian Langenskiöld,Finland,4,8.6,,12.6,12.383
16,Lilian Langenskiöld,Finland,3.7,8.466,,12.166,12.383
17,Aliaksandra Varabyova,Belarus,4.6,8.566,-0.1,13.066,12.199
17,Aliaksandra Varabyova,Belarus,4.2,7.233,-0.1,11.333,12.199
18,Enni Kettunen,Finland,4.6,7.3,-0.3,11.6,12.166
18,Enni Kettunen,Finland,4,8.733,,12.733,12.166
19,Yana Vorona,Russia,0,0,-0.1,0,6.45
19,Yana Vorona,Russia,4.2,8.7,,12.9,6.45
—,Georgia-Mae Fenton,Great Britain,5.4,7.433,-0.3,12.533,DNF
—,Georgia-Mae Fenton,Great Britain,DNS,DNS,,DNS,DNF
—,Maria Kharenkova,Georgia,3.5,8.466,,11.966,DNF
—,Maria Kharenkova,Georgia,DNS,DNS,,DNS,DNF
