"","season","mnth","day","hr","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","bikers"
"1",1,"Jan",1,"0",0,6,0,"clear",0.24,0.2879,0.81,0,3,13,16
"2",1,"Jan",1,"1",0,6,0,"clear",0.22,0.2727,0.8,0,8,32,40
"3",1,"Jan",1,"2",0,6,0,"clear",0.22,0.2727,0.8,0,5,27,32
"4",1,"Jan",1,"3",0,6,0,"clear",0.24,0.2879,0.75,0,3,10,13
"5",1,"Jan",1,"4",0,6,0,"clear",0.24,0.2879,0.75,0,0,1,1
"6",1,"Jan",1,"5",0,6,0,"cloudy/misty",0.24,0.2576,0.75,0.0896,0,1,1
"7",1,"Jan",1,"6",0,6,0,"clear",0.22,0.2727,0.8,0,2,0,2
"8",1,"Jan",1,"7",0,6,0,"clear",0.2,0.2576,0.86,0,1,2,3
"9",1,"Jan",1,"8",0,6,0,"clear",0.24,0.2879,0.75,0,1,7,8
"10",1,"Jan",1,"9",0,6,0,"clear",0.32,0.3485,0.76,0,8,6,14
"11",1,"Jan",1,"10",0,6,0,"clear",0.38,0.3939,0.76,0.2537,12,24,36
"12",1,"Jan",1,"11",0,6,0,"clear",0.36,0.3333,0.81,0.2836,26,30,56
"13",1,"Jan",1,"12",0,6,0,"clear",0.42,0.4242,0.77,0.2836,29,55,84
"14",1,"Jan",1,"13",0,6,0,"cloudy/misty",0.46,0.4545,0.72,0.2985,47,47,94
"15",1,"Jan",1,"14",0,6,0,"cloudy/misty",0.46,0.4545,0.72,0.2836,35,71,106
"16",1,"Jan",1,"15",0,6,0,"cloudy/misty",0.44,0.4394,0.77,0.2985,40,70,110
"17",1,"Jan",1,"16",0,6,0,"cloudy/misty",0.42,0.4242,0.82,0.2985,41,52,93
"18",1,"Jan",1,"17",0,6,0,"cloudy/misty",0.44,0.4394,0.82,0.2836,15,52,67
"19",1,"Jan",1,"18",0,6,0,"light rain/snow",0.42,0.4242,0.88,0.2537,9,26,35
"20",1,"Jan",1,"19",0,6,0,"light rain/snow",0.42,0.4242,0.88,0.2537,6,31,37
"21",1,"Jan",1,"20",0,6,0,"cloudy/misty",0.4,0.4091,0.87,0.2537,11,25,36
"22",1,"Jan",1,"21",0,6,0,"cloudy/misty",0.4,0.4091,0.87,0.194,3,31,34
"23",1,"Jan",1,"22",0,6,0,"cloudy/misty",0.4,0.4091,0.94,0.2239,11,17,28
"24",1,"Jan",1,"23",0,6,0,"cloudy/misty",0.46,0.4545,0.88,0.2985,15,24,39
"25",1,"Jan",2,"0",0,0,0,"cloudy/misty",0.46,0.4545,0.88,0.2985,4,13,17
"26",1,"Jan",2,"1",0,0,0,"cloudy/misty",0.44,0.4394,0.94,0.2537,1,16,17
"27",1,"Jan",2,"2",0,0,0,"cloudy/misty",0.42,0.4242,1,0.2836,1,8,9
"28",1,"Jan",2,"3",0,0,0,"cloudy/misty",0.46,0.4545,0.94,0.194,2,4,6
"29",1,"Jan",2,"4",0,0,0,"cloudy/misty",0.46,0.4545,0.94,0.194,2,1,3
"30",1,"Jan",2,"6",0,0,0,"light rain/snow",0.42,0.4242,0.77,0.2985,0,2,2
"31",1,"Jan",2,"7",0,0,0,"cloudy/misty",0.4,0.4091,0.76,0.194,0,1,1
"32",1,"Jan",2,"8",0,0,0,"light rain/snow",0.4,0.4091,0.71,0.2239,0,8,8
"33",1,"Jan",2,"9",0,0,0,"cloudy/misty",0.38,0.3939,0.76,0.2239,1,19,20
"34",1,"Jan",2,"10",0,0,0,"cloudy/misty",0.36,0.3485,0.81,0.2239,7,46,53
"35",1,"Jan",2,"11",0,0,0,"cloudy/misty",0.36,0.3333,0.71,0.2537,16,54,70
"36",1,"Jan",2,"12",0,0,0,"cloudy/misty",0.36,0.3333,0.66,0.2985,20,73,93
"37",1,"Jan",2,"13",0,0,0,"cloudy/misty",0.36,0.3485,0.66,0.1343,11,64,75
