TIME_PERIOD;GEO;OBS_VALUE;OBS_CONFIDENCE;OBS_STATUS
2019;CH040;27.7;0.5;A
2019;CH021;38.8;0.6;A
2019;CH061;34.4;0.7;A
2019;CH062;42.9;3.5;A
2019;CH063;39.4;1.6;A
2019;CH064;47.3;3.7;A
2019;CH065;39.7;3.1;A
2019;CH051;44.4;3.3;A
2019;CH066;32.6;1.2;A
2019;CH022;42.2;1.2;A
2019;CH023;47.3;1.3;A
2019;CH031;15.8;1.1;A
2019;CH032;44.1;1.2;A
2019;CH052;41.6;2.3;A
2019;CH053;46.7;3;A
2019;CH054;56.9;5.6;A
2019;CH055;40.6;0.9;A
2019;CH056;44.3;1.5;A
2019;CH033;47.3;0.8;A
2019;CH057;45.4;1.3;A
2019;CH070;38.1;0.8;A
2019;CH011;29.8;0.5;A
2019;CH012;54.5;1.2;A
2019;CH024;30.3;1;A
2019;CH013;18.1;0.6;A
2019;CH025;49.5;2.5;A
2019;CH;36.4;0.2;A
2020;CH040;27.4;0.4;A
2020;CH021;38.3;0.6;A
2020;CH061;34;0.6;A
2020;CH062;44.4;3.5;A
2020;CH063;41;1.6;A
2020;CH064;47.7;3.6;A
2020;CH065;38.8;2.9;A
2020;CH051;48;3.6;A
2020;CH066;32.1;1.2;A
2020;CH022;41.3;1.1;A
2020;CH023;48.2;1.3;A
2020;CH031;15.4;1.1;A
2020;CH032;44.3;1.2;A
2020;CH052;38.1;2.2;A
2020;CH053;46.4;2.9;A
2020;CH054;58;5.6;A
2020;CH055;40;0.9;A
2020;CH056;44.3;1.5;A
2020;CH033;46.6;0.6;A
2020;CH057;45;0.9;A
2020;CH070;39.2;0.7;A
2020;CH011;29.9;0.5;A
2020;CH012;54.3;0.8;A
2020;CH024;30.6;1;A
2020;CH013;18;0.5;A
2020;CH025;49.3;2.5;A
2020;CH;36.2;0.2;A
2021;CH040;27.6;0.5;A
2021;CH021;38.4;0.6;A
2021;CH061;34;0.7;A
2021;CH062;48.2;3.5;A
2021;CH063;40.2;1.6;A
2021;CH064;44.2;3.6;A
2021;CH065;39.7;3.1;A
2021;CH051;48.4;3.6;A
2021;CH066;31.8;1.2;A
2021;CH022;41.4;1.2;A
2021;CH023;47.3;1.3;A
2021;CH031;16;1.1;A
2021;CH032;44.4;1.3;A
2021;CH052;41.6;2.3;A
2021;CH053;47.2;2.9;A
2021;CH054;56;6;A
2021;CH055;39.9;0.9;A
2021;CH056;44.3;1.5;A
2021;CH033;46.3;0.6;A
2021;CH057;45.1;0.9;A
2021;CH070;38.8;0.8;A
2021;CH011;29.9;0.5;A
2021;CH012;55.2;1.2;A
2021;CH024;31.4;1;A
2021;CH013;18.7;0.6;A
2021;CH025;49.6;2.5;A
2021;CH;36.3;0.2;A
2022;CH040;26.8;0.4;A
2022;CH021;38.1;0.6;A
2022;CH061;33.4;0.6;A
2022;CH062;46.1;3.3;A
2022;CH063;38.5;1.6;A
2022;CH064;46.8;3.5;A
2022;CH065;37.4;3.1;A
2022;CH051;47;3.7;A
2022;CH066;31.1;1.2;A
2022;CH022;41.7;1.2;A
2022;CH023;46.1;1.3;A
2022;CH031;15.5;1.1;A
2022;CH032;43.6;1.2;A
2022;CH052;41.3;2.3;A
2022;CH053;49.1;3;A
2022;CH054;52.8;6.2;A
2022;CH055;39.9;0.9;A
2022;CH056;43.1;1.6;A
2022;CH033;46;0.6;A
2022;CH057;44.8;0.9;A
2022;CH070;39;0.8;A
2022;CH011;30.1;0.5;A
2022;CH012;53.8;1.2;A
2022;CH024;30.7;1;A
2022;CH013;18.9;0.6;A
2022;CH025;48.6;2.6;A
2022;CH;35.9;0.2;A
