Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2000
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2000
size classes,New buildings,Conversion 1),"Demolition, fire etc.",Pure increase,2000
"more than 100,000 inhabitants",2149,-57,299,1793,2000
"10,001 - 100,000 inhabitants",7736,99,367,7468,2000
"5,001 - 10,000 inhabitants",6257,303,128,6432,2000
"2,001 - 5,000 inhabitants",8354,552,223,8683,2000
"2,000 inhabitants or fewer",7718,935,212,8441,2000
Agglomerations of the five largest cities,11076,169,556,10689,2000
1) Negative values indicate a decrease caused by conversion,11076,169,556,10689,2000
